Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,Epoch,Train_Loss,Validation_Loss,Time,Test_Loss
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),1,0.06636689829230309,0.0571080880522728,6.565922737121582,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),2,0.055577413181066515,0.054698642712831494,7.354166746139526,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),3,0.052667863727808,0.049786634612083436,7.294533014297485,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),4,0.0477592591714859,0.04598888117074967,7.316006183624268,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),5,0.04505837355852127,0.043983276283741,7.45510196685791,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),6,0.043144373697042465,0.04266964130401611,7.477209806442261,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),7,0.041894216470718386,0.04148997750282288,7.505206823348999,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),8,0.0411263694024086,0.04057298789024353,7.5545289516448975,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),9,0.0402886891067028,0.03971698687672615,7.644857168197632,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),10,0.03928820748329163,0.03869302396774292,7.84299111366272,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),11,0.03814954411029816,0.03742025284767151,8.472821712493896,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),12,0.03703893125534058,0.03659900068640709,7.589057207107544,0.019510620394349098
MNIST,AE_loss_values,1,0.0005,64,500,Sigmoid(),Sigmoid(),13,0.03608710552692413,0.03548168387413025,7.673887252807617,0.019510620394349098
