Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,1,2.2991293111940223,2.2899221563339234,0.12325,0.169,3.1958329677581787,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,2,2.287766903390487,2.2657157317797343,0.17733333333333334,0.26666666666666666,3.2061071395874023,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,3,2.266957396020492,2.223551183740298,0.23433333333333334,0.31866666666666665,3.189284563064575,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,4,2.231980100721121,2.1587388279040653,0.30141666666666667,0.32166666666666666,3.1879289150238037,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,5,2.1809400795400142,2.081714073618253,0.35325,0.28733333333333333,3.2093138694763184,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,6,2.1156417160729566,1.9784925409158072,0.41008333333333336,0.548,3.171201229095459,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,7,2.0391529500484467,1.876587184468905,0.46675,0.5296666666666666,3.193739414215088,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,8,1.9553425525253019,1.777844752073288,0.49166666666666664,0.558,3.2270803451538086,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,9,1.870068787659208,1.6692191519339878,0.5398333333333334,0.6083333333333333,3.1783738136291504,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,10,1.7852794668326775,1.5745533628265063,0.564125,0.604,3.1669607162475586,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,11,1.7032107799996932,1.4878492367764313,0.5969583333333334,0.663,3.1980912685394287,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,12,1.625601907732586,1.401176367898782,0.6161666666666666,0.6866666666666666,3.1861016750335693,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,13,1.5526351336296649,1.3256171784798305,0.64175,0.7223333333333334,3.1634740829467773,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,14,1.484652033559978,1.2716511066257954,0.659625,0.6086666666666667,3.1737985610961914,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,15,1.4226535574346781,1.1969630071520805,0.676125,0.725,3.167008638381958,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,16,1.3641501163939636,1.1370016552507878,0.6912083333333333,0.706,3.1687867641448975,0.6008998736056189,0.8316666666666667
Audio_MNIST,NN_with_original_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,17,1.3111823723387594,1.1030744565278292,0.7065833333333333,0.7336666666666667,3.1685378551483154,0.6008998736056189,0.8316666666666667
