Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,1,2.220853037014604,2.2096603922049205,0.23441666666666666,0.256,232.8725061416626,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,2,2.187466614271204,2.188607675631841,0.2645416666666667,0.25366666666666665,232.505047082901,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,3,2.174312945753336,2.1830385076999663,0.24370833333333333,0.249,239.3511483669281,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,4,2.161165224959453,2.1717216541369755,0.2505,0.23,237.71429204940796,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,5,2.1475380870948233,2.171540741920471,0.2529166666666667,0.24333333333333335,232.15221452713013,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,6,2.1448755456258852,2.1673146108786265,0.26325,0.22433333333333333,233.55960750579834,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,7,2.141170481989781,2.1614695181449255,0.28608333333333336,0.22866666666666666,232.2216818332672,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,8,2.1392989559471607,2.1590232489506405,0.28241666666666665,0.23166666666666666,239.1112940311432,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,9,2.1386488319188355,2.157572190562884,0.2768333333333333,0.22733333333333333,232.77628564834595,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,10,2.138417115608851,2.1579183834791182,0.277625,0.22566666666666665,234.34222269058228,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,11,2.138059886271755,2.1584557300806044,0.2683333333333333,0.261,233.55818724632263,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,12,2.1379726326465605,2.157194157242775,0.2755416666666667,0.227,232.33936834335327,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,13,2.1376526255657278,2.1583714171250663,0.2705416666666667,0.22833333333333333,239.75483393669128,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,14,2.1374146434664727,2.1567572677135467,0.27295833333333336,0.22666666666666666,233.0040566921234,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,15,2.137363838379582,2.157226898272832,0.2660416666666667,0.23366666666666666,232.42875790596008,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,16,2.1371864699572325,2.1568519870440164,0.26766666666666666,0.22466666666666665,233.3279824256897,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,17,2.1369065134227276,2.1552562097708385,0.2685,0.224,232.2904348373413,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,18,2.136777856548627,2.1582147677739463,0.26645833333333335,0.21933333333333332,238.86755275726318,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,19,2.136664920200904,2.15594999452432,0.2629166666666667,0.228,237.77503514289856,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,20,2.1363395637025437,2.1576924673716227,0.264,0.21866666666666668,232.27045917510986,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,21,2.1360069355616966,2.1540429294109344,0.26425,0.22666666666666666,233.07223439216614,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,22,2.1356530703107515,2.156490034063657,0.2587083333333333,0.23133333333333334,232.46968984603882,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,23,2.1354808430870373,2.1556463946898776,0.2584166666666667,0.24266666666666667,239.13253450393677,2.163906180858612,0.202
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.01,5,50,6,24,2.1352089327325423,2.1550511960188548,0.257375,0.22233333333333333,233.37568759918213,2.163906180858612,0.202
