Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,1,2.275255922923485,2.256149206161499,0.15583333333333332,0.14766666666666667,247.94465565681458,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,2,2.2625346016387144,2.2535461167494457,0.16533333333333333,0.16333333333333333,242.79803276062012,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,3,2.259012358362476,2.243356562058131,0.1665,0.171,241.51677584648132,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,4,2.257516138056914,2.244127939939499,0.16725,0.129,241.16390776634216,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,5,2.256795097688834,2.2418705348173775,0.1665,0.20166666666666666,240.90899443626404,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,6,2.255294782668352,2.2312610375881197,0.16566666666666666,0.22666666666666666,248.71793723106384,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,7,2.2544339944422247,2.228179310162862,0.16579166666666667,0.217,240.80224466323853,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,8,2.2545166247338058,2.2314539790153503,0.159625,0.237,241.27349591255188,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,9,2.2538079456736644,2.232366640170415,0.16291666666666665,0.143,240.9723699092865,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,10,2.253577234024803,2.229071661233902,0.15925,0.146,241.21810841560364,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,11,2.253734398285548,2.234498257637024,0.15695833333333334,0.17633333333333334,249.93616437911987,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,12,2.2530475895355146,2.2270616829395293,0.16104166666666667,0.21566666666666667,241.40037322044373,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,13,2.2526299261301754,2.2330404051144916,0.16191666666666665,0.17166666666666666,241.69369292259216,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,14,2.2527694060653447,2.2260575819015505,0.163125,0.21333333333333335,240.9233431816101,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,15,2.2530228880544505,2.2372739553451537,0.16225,0.13766666666666666,241.53028440475464,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,16,2.2522799915323657,2.2270209622383117,0.15891666666666668,0.14433333333333334,241.9330699443817,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,17,2.2519166665524244,2.2365362393856048,0.16204166666666667,0.11566666666666667,243.14096307754517,2.226539410551389,0.16266666666666665
Audio_MNIST,VQC_angle_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.1,5,50,6,18,2.2515196168919402,2.2262512842814126,0.15733333333333333,0.20933333333333334,241.64842534065247,2.226539410551389,0.16266666666666665
