Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,1,2.3068839306135973,2.3041111409664152,0.10041666666666667,0.096,2.1027393341064453,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,2,2.3037873547275862,2.304586327870687,0.1,0.09633333333333334,2.099992275238037,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,3,2.3030069202681385,2.3023147412141163,0.10429166666666667,0.10666666666666667,2.131516218185425,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,4,2.302530156125625,2.2994513301054638,0.10470833333333333,0.102,2.103015899658203,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,5,2.301799894471963,2.2991625575224557,0.11025,0.10766666666666666,2.130641222000122,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,6,2.300946334898472,2.298613901933034,0.111375,0.10666666666666667,2.0979654788970947,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,7,2.3002790496249994,2.2978548590342203,0.11341666666666667,0.11433333333333333,2.1315228939056396,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,8,2.299257003515959,2.2931907749176026,0.11725,0.129,2.1085431575775146,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,9,2.29752599298954,2.2928894686698915,0.11983333333333333,0.10666666666666667,2.0938565731048584,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,10,2.296293615202109,2.2885695536931356,0.12304166666666666,0.132,2.109534978866577,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,11,2.2941912116110323,2.286223406791687,0.127625,0.10733333333333334,2.13342022895813,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,12,2.2914199329912663,2.2814029200871784,0.13575,0.121,2.114027500152588,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,13,2.2891696457068127,2.2769460888703663,0.13870833333333332,0.13466666666666666,2.1103923320770264,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,14,2.28598832949996,2.2711366577943166,0.14945833333333333,0.18533333333333332,2.1189379692077637,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,15,2.2821156005064647,2.2628914171457293,0.16529166666666667,0.22866666666666666,2.118412971496582,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,16,2.2776494822154443,2.255464090307554,0.171625,0.31366666666666665,2.1060454845428467,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,17,2.2720607538024584,2.2479781438906987,0.18008333333333335,0.201,2.155857801437378,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,18,2.266361478045583,2.2370251794656117,0.19116666666666668,0.23266666666666666,2.103945732116699,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,19,2.2598487967749437,2.22730474849542,0.19754166666666667,0.29133333333333333,2.1044046878814697,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,20,2.252763556316495,2.214591710368792,0.21275,0.2663333333333333,2.1022720336914062,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,21,2.2448853964606923,2.202547499537468,0.22883333333333333,0.2853333333333333,2.098275899887085,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,22,2.2360373563567797,2.1909496359030407,0.23895833333333333,0.263,2.114950656890869,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,23,2.2268228819717963,2.175332309007645,0.257625,0.2936666666666667,2.105687379837036,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,24,2.2167175254722435,2.161707415978114,0.2554166666666667,0.31666666666666665,2.117238998413086,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,25,2.205811717932423,2.1462430397669476,0.28425,0.337,2.136521577835083,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,26,2.1945454089840255,2.1273650616407394,0.2853333333333333,0.4646666666666667,2.1401476860046387,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,27,2.1821172395100197,2.110005021691322,0.3035,0.437,2.1131551265716553,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,28,2.1691125498960417,2.0922752143939336,0.3117083333333333,0.464,2.126528024673462,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,29,2.155838730484247,2.0729514000813167,0.319,0.44566666666666666,2.1168203353881836,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,30,2.141809831609329,2.0556996846199036,0.33475,0.4056666666666667,2.110325813293457,1.643701026936372,0.5866666666666667
Audio_MNIST,sequent_classical_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.01,5,50,6,31,2.1273636871327954,2.0366994833946226,0.3565,0.37633333333333335,2.1149282455444336,1.643701026936372,0.5866666666666667
