Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,1,0.7374597213272627,0.7081259282401008,0.5432999088422972,0.5036496350364964,3.2270731925964355,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,2,0.6922836645744883,0.676655530494495,0.5615314494074749,0.5766423357664233,3.145594596862793,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,3,0.6756602025021177,0.6494854771307785,0.5806745670009116,0.583941605839416,3.2099220752716064,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,4,0.6575162926911221,0.630742721531513,0.601640838650866,0.5912408759124088,3.182187557220459,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,5,0.6380592673038936,0.6003409983032811,0.6298997265268915,0.6277372262773723,3.1199238300323486,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,6,0.6207463762492837,0.5872779042616377,0.6481312670920693,0.6496350364963503,3.197903871536255,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,7,0.604725012750982,0.5699880508175732,0.6681859617137648,0.7007299270072993,3.1820175647735596,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,8,0.5921925657319284,0.562094586826589,0.7064721969006381,0.7445255474452555,3.179236650466919,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,9,0.5828858831033125,0.5490135398224323,0.7356426618049225,0.7591240875912408,3.147508144378662,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,10,0.5765651937170038,0.5349882127594774,0.7465815861440291,0.7956204379562044,3.208017587661743,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,11,0.5719573495055505,0.5353886424189936,0.7675478577939836,0.8029197080291971,3.2098851203918457,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,12,0.5678536709917602,0.5259377164562253,0.7821330902461258,0.8248175182481752,3.1414570808410645,0.5382039322369341,0.8115942028985508
BankNote_Authentication,VQC_amplitude_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,13,0.5651166854169876,0.5297077944243911,0.7848678213309025,0.8321167883211679,3.206587076187134,0.5382039322369341,0.8115942028985508
