Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,1,0.6429877559562306,0.6446895866017592,0.6373626373626373,0.6140350877192983,0.03692173957824707,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,2,0.6275397545688755,0.6360350533535606,0.6373626373626373,0.6140350877192983,0.03673911094665527,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,3,0.6175289809048831,0.6281921853098953,0.6373626373626373,0.6140350877192983,0.03667092323303223,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,4,0.6081154536414932,0.6197381735893718,0.6373626373626373,0.6140350877192983,0.03670167922973633,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,5,0.598578427519117,0.6110925967233223,0.6373626373626373,0.6140350877192983,0.036664724349975586,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,6,0.5886912100262695,0.6009962082954875,0.6373626373626373,0.6140350877192983,0.03666186332702637,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,7,0.5780632345231025,0.5907318257448966,0.6373626373626373,0.6140350877192983,0.03674745559692383,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,8,0.5670337300379198,0.5795604367005197,0.6395604395604395,0.6140350877192983,0.03670454025268555,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,9,0.5552317735913036,0.5672757604665923,0.6417582417582418,0.6140350877192983,0.03665733337402344,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,10,0.5428740123471061,0.5548512219336995,0.6703296703296703,0.631578947368421,0.03673839569091797,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,11,0.5304214653078017,0.5418635183259061,0.6967032967032967,0.631578947368421,0.036748647689819336,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,12,0.5171031752130487,0.5285125881956335,0.7494505494505495,0.7368421052631579,0.036635637283325195,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,13,0.5034952360195118,0.5162999975053888,0.8,0.8245614035087719,0.036682844161987305,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,14,0.49016288217607434,0.5017110119786179,0.8175824175824176,0.8421052631578947,0.03670859336853027,0.27891081368975473,0.8596491228070176
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,0.01,5,100,15,0.47649624878233604,0.48780091185318797,0.8373626373626374,0.8421052631578947,0.03672456741333008,0.27891081368975473,0.8596491228070176
