Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,1,0.6727496916121178,0.7101268559171442,0.6329670329670329,0.5789473684210527,0.037338972091674805,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,2,0.6719783050018352,0.7087292216326061,0.6329670329670329,0.5789473684210527,0.03716540336608887,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,3,0.6713302132192549,0.7074906198601973,0.6329670329670329,0.5789473684210527,0.03709983825683594,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,4,0.6707057333909549,0.7063526803987068,0.6329670329670329,0.5789473684210527,0.03714871406555176,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,5,0.6702025355873528,0.7053234441238537,0.6329670329670329,0.5789473684210527,0.03712320327758789,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,6,0.6696809242059897,0.704361451299567,0.6329670329670329,0.5789473684210527,0.037127017974853516,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,7,0.6691655844122499,0.7034821039751956,0.6329670329670329,0.5789473684210527,0.037137746810913086,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,8,0.6687512417415996,0.7026737034320831,0.6329670329670329,0.5789473684210527,0.037078142166137695,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,9,0.6683431035214729,0.701923131942749,0.6329670329670329,0.5789473684210527,0.03715825080871582,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,10,0.6679258425157149,0.7012132207552592,0.6329670329670329,0.5789473684210527,0.037137746810913086,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,11,0.6675692816357036,0.700531684515769,0.6329670329670329,0.5789473684210527,0.03714489936828613,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,12,0.6672216791373032,0.699890112667753,0.6329670329670329,0.5789473684210527,0.037129878997802734,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,13,0.6669062949143924,0.6993240776814913,0.6329670329670329,0.5789473684210527,0.037120819091796875,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,14,0.6665611823836526,0.6987924654232828,0.6329670329670329,0.5789473684210527,0.037187814712524414,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,15,0.6662541997956706,0.6982430679756298,0.6329670329670329,0.5789473684210527,0.03713583946228027,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,16,0.6659137059699048,0.6977420522455584,0.6329670329670329,0.5789473684210527,0.03714323043823242,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,17,0.6656246466951056,0.6972852725731699,0.6329670329670329,0.5789473684210527,0.03713583946228027,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,18,0.6653317376807496,0.6968358200893068,0.6329670329670329,0.5789473684210527,0.03716254234313965,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,19,0.6650609079298082,0.696400707228142,0.6329670329670329,0.5789473684210527,0.037113189697265625,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,20,0.6647846921459659,0.69596119617161,0.6329670329670329,0.5789473684210527,0.03709530830383301,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,21,0.6644992170098064,0.6955776946586475,0.6329670329670329,0.5789473684210527,0.03713631629943848,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,22,0.6642510543812762,0.6951862155345448,0.6329670329670329,0.5789473684210527,0.03711104393005371,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,23,0.6639667539806157,0.6948116735408181,0.6329670329670329,0.5789473684210527,0.03710532188415527,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,24,0.663725230720017,0.6944558474055508,0.6329670329670329,0.5789473684210527,0.03708481788635254,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,25,0.6634356438458621,0.694122778741937,0.6329670329670329,0.5789473684210527,0.03713345527648926,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,26,0.663182965019247,0.6937986842372961,0.6329670329670329,0.5789473684210527,0.03713703155517578,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,27,0.6629394469680366,0.6934837061062193,0.6329670329670329,0.5789473684210527,0.03710532188415527,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,28,0.6626873363505353,0.6931699075196919,0.6329670329670329,0.5789473684210527,0.03715014457702637,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,29,0.6624570328455704,0.6928478615325794,0.6329670329670329,0.5789473684210527,0.03714632987976074,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,30,0.6621940014781532,0.6925444331085473,0.6329670329670329,0.5789473684210527,0.03719925880432129,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,31,0.6619676914843884,0.6922598136098761,0.6329670329670329,0.5789473684210527,0.03717780113220215,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,32,0.6617069994355296,0.6919732025840826,0.6329670329670329,0.5789473684210527,0.037081241607666016,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,33,0.6614814158324357,0.6916849273338652,0.6329670329670329,0.5789473684210527,0.0371096134185791,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,34,0.6612348615468203,0.6914025524206329,0.6329670329670329,0.5789473684210527,0.03706002235412598,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,35,0.6610234176719582,0.6911368871990003,0.6329670329670329,0.5789473684210527,0.037134408950805664,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,36,0.6607633809466938,0.6908726002040663,0.6329670329670329,0.5789473684210527,0.037111759185791016,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,37,0.6605143533958183,0.6906298555825886,0.6329670329670329,0.5789473684210527,0.037113189697265625,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,38,0.6602992212379372,0.6903631180001978,0.6329670329670329,0.5789473684210527,0.03706645965576172,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,39,0.6600593328475952,0.690117597579956,0.6329670329670329,0.5789473684210527,0.03704953193664551,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,40,0.6598371758565797,0.6898675864202934,0.6329670329670329,0.5789473684210527,0.03706169128417969,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,41,0.6595756915899423,0.689614711100595,0.6329670329670329,0.5789473684210527,0.03706240653991699,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,42,0.6593914421705099,0.6893688963170637,0.6329670329670329,0.5789473684210527,0.03709053993225098,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,43,0.6591448312277323,0.6891355174675322,0.6329670329670329,0.5789473684210527,0.037065744400024414,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,44,0.6589033394069462,0.6889024094531411,0.6329670329670329,0.5789473684210527,0.03712821006774902,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,45,0.6586908599832556,0.6886702211279618,0.6329670329670329,0.5789473684210527,0.03707623481750488,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,46,0.6584509863303258,0.6884296630558214,0.6329670329670329,0.5789473684210527,0.03707480430603027,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,47,0.6582416813452165,0.6882054941696033,0.6329670329670329,0.5789473684210527,0.03706169128417969,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,48,0.658012887606254,0.6879690660719286,0.6329670329670329,0.5789473684210527,0.03708696365356445,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,49,0.657779601249066,0.6877292739717584,0.6329670329670329,0.5789473684210527,0.037039756774902344,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,50,0.6575835618998979,0.6874988967912239,0.6329670329670329,0.5789473684210527,0.037125587463378906,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,51,0.6573344947217585,0.687274155909555,0.6329670329670329,0.5789473684210527,0.037090301513671875,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,52,0.657126669372831,0.687041677926716,0.6329670329670329,0.5789473684210527,0.037073612213134766,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,53,0.6569066689564631,0.6868185285936322,0.6329670329670329,0.5789473684210527,0.03708076477050781,0.6471419763146785,0.631578947368421
Breast_Cancer_Wisconsin,NN_with_compressed_input_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,0.001,5,100,54,0.6566605702206328,0.6865798109456113,0.6329670329670329,0.5789473684210527,0.037230730056762695,0.6471419763146785,0.631578947368421
