Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,1,0.6818750408979563,0.6541930740339714,0.6087912087912087,0.6842105263157895,0.03721046447753906,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,2,0.6628011831870446,0.6330818251559609,0.6087912087912087,0.6842105263157895,0.03727555274963379,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,3,0.6421313318577442,0.6087845982166759,0.6153846153846154,0.7017543859649122,0.037043094635009766,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,4,0.6157948486097566,0.5837297659171256,0.6417582417582418,0.7894736842105263,0.03711223602294922,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,5,0.5842482601548289,0.5513970475447806,0.7604395604395604,0.8245614035087719,0.03701663017272949,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,6,0.546389924628394,0.5167419016361237,0.832967032967033,0.8947368421052632,0.03774285316467285,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,7,0.5042995803958767,0.47761346164502594,0.8835164835164835,0.8947368421052632,0.03841257095336914,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,8,0.4602254740484468,0.4351144976783217,0.9186813186813186,0.8947368421052632,0.03713512420654297,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,9,0.41881972600470535,0.3992173781520442,0.9098901098901099,0.9298245614035088,0.037255048751831055,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,10,0.37951453226608234,0.3653242588043213,0.9230769230769231,0.9298245614035088,0.037077903747558594,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,11,0.3455175503597155,0.33547554727186235,0.9296703296703297,0.9298245614035088,0.03706097602844238,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,12,0.3162250263350351,0.32068070168035073,0.9274725274725275,0.9473684210526315,0.03709077835083008,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,13,0.29148137667676904,0.2997302846950397,0.9340659340659341,0.9473684210526315,0.037109375,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,14,0.2703052478340956,0.27594398458798725,0.9384615384615385,0.9473684210526315,0.037061452865600586,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,15,0.25252667511557486,0.2661118270796642,0.9384615384615385,0.9473684210526315,0.03713846206665039,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,16,0.23736782601246467,0.2533015161752701,0.945054945054945,0.9473684210526315,0.037077903747558594,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,17,0.2242275317619135,0.24706640016091497,0.9472527472527472,0.9298245614035088,0.0371096134185791,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,18,0.21322230053144497,0.23371216327997676,0.9560439560439561,0.9473684210526315,0.03707075119018555,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,19,0.20305764394720177,0.21624335202208736,0.9538461538461539,0.9649122807017544,0.03706717491149902,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,20,0.1945472269185952,0.22219378239752954,0.9472527472527472,0.9473684210526315,0.03713583946228027,0.10076279699671686,0.9298245614035088
Breast_Cancer_Wisconsin,NN_with_original_input_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,0.01,5,100,21,0.18679397585955296,0.20412771364575938,0.9494505494505494,0.9649122807017544,0.0370025634765625,0.10076279699671686,0.9298245614035088
