Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,1,0.706848497574146,0.7023621055117825,0.3626373626373626,0.38596491228070173,0.979090690612793,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,2,0.7003349930375486,0.6971891072758457,0.35824175824175825,0.38596491228070173,0.9807970523834229,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,3,0.6945543472583477,0.6926383125154596,0.4351648351648352,0.5789473684210527,0.9797494411468506,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,4,0.6894349298634372,0.6886489757320338,0.6395604395604395,0.6140350877192983,1.023125410079956,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,5,0.6848387200753767,0.6850980426135816,0.643956043956044,0.6140350877192983,0.97898268699646,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,6,0.6807772608903738,0.6819811892091182,0.6373626373626373,0.6140350877192983,0.9789259433746338,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,7,0.6771115693417225,0.6791943092095224,0.6373626373626373,0.6140350877192983,0.9803955554962158,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,8,0.6738089892890428,0.6767003881303888,0.6373626373626373,0.6140350877192983,0.9801850318908691,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,9,0.670830617239187,0.6744466925922193,0.6373626373626373,0.6140350877192983,1.0254967212677002,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,10,0.6680966366778364,0.6723746165894625,0.6373626373626373,0.6140350877192983,0.9830024242401123,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,11,0.6655824597065265,0.6704865631304289,0.6373626373626373,0.6140350877192983,0.979684591293335,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,12,0.6632489542384724,0.6687159506898177,0.6373626373626373,0.6140350877192983,0.9792623519897461,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,13,0.6610746193718124,0.6670545611465186,0.6373626373626373,0.6140350877192983,1.025299072265625,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,14,0.6590229750989558,0.6654755347653439,0.6373626373626373,0.6140350877192983,0.9800505638122559,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,15,0.657062671996735,0.6639615401887057,0.6373626373626373,0.6140350877192983,0.9801568984985352,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,16,0.6551833729167561,0.6624884751805088,0.6373626373626373,0.6140350877192983,0.9826300144195557,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,17,0.6533596554955283,0.6610379532763833,0.6373626373626373,0.6140350877192983,1.0243830680847168,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,18,0.6515910795756749,0.6596046309722098,0.6373626373626373,0.6140350877192983,0.9788937568664551,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,19,0.649847462282076,0.6581732683014452,0.6373626373626373,0.6140350877192983,0.9807937145233154,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,20,0.6481287158452548,0.6567353167031941,0.6373626373626373,0.6140350877192983,0.980565071105957,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,21,0.6463922209792085,0.6552818197953073,0.6373626373626373,0.6140350877192983,1.0221583843231201,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,22,0.6447061444376851,0.6538024220550269,0.6373626373626373,0.6140350877192983,0.9812240600585938,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,23,0.6429543148030291,0.6522951356151647,0.6373626373626373,0.6140350877192983,0.9798386096954346,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,24,0.6412097245127291,0.6507549066292612,0.6373626373626373,0.6140350877192983,0.9796953201293945,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,25,0.6394274280621455,0.6491776772758417,0.6373626373626373,0.6140350877192983,1.023040771484375,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,26,0.6376382823173816,0.647564991524345,0.6373626373626373,0.6140350877192983,0.9792685508728027,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,27,0.6358164008502122,0.6459004910368669,0.6373626373626373,0.6140350877192983,0.9796233177185059,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,28,0.6339417414350824,0.6441907929746729,0.6373626373626373,0.6140350877192983,0.9805908203125,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,29,0.6320468180782193,0.6424219519422766,0.6373626373626373,0.6140350877192983,1.0209603309631348,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,30,0.6300813857015672,0.6406110012740419,0.6373626373626373,0.6140350877192983,0.980154275894165,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,31,0.6280973930280287,0.6387422926593245,0.6373626373626373,0.6140350877192983,0.9798922538757324,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,32,0.6260438381315587,0.6368145874717779,0.6373626373626373,0.6140350877192983,0.981726884841919,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,33,0.6239698856741518,0.6348282083084709,0.6373626373626373,0.6140350877192983,1.0286979675292969,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,34,0.6218463663871472,0.6327917554922271,0.6373626373626373,0.6140350877192983,0.9846062660217285,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,35,0.6196684139770466,0.6307065952242467,0.6373626373626373,0.6140350877192983,0.9795050621032715,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,36,0.6174270956070869,0.6285562248606431,0.6373626373626373,0.6140350877192983,0.9799168109893799,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,37,0.615163647539013,0.6263618176443535,0.6373626373626373,0.6140350877192983,1.0223054885864258,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,38,0.6128509182196397,0.6241059507194319,0.6373626373626373,0.6140350877192983,0.9815447330474854,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,39,0.6104801359412434,0.6218116884691673,0.6373626373626373,0.6140350877192983,0.9799666404724121,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,40,0.6080875858500764,0.6194697608027542,0.6373626373626373,0.6140350877192983,0.9797191619873047,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,41,0.6056407673673315,0.6170831254699773,0.6373626373626373,0.6140350877192983,1.0252492427825928,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,42,0.6031284947971721,0.6146547177381683,0.6395604395604395,0.6140350877192983,0.979414701461792,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,43,0.6006179543641897,0.6121603417814824,0.6417582417582418,0.6140350877192983,0.9791128635406494,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,44,0.5980424255460173,0.6096402636745519,0.6417582417582418,0.6140350877192983,0.9798028469085693,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,45,0.5954562186539828,0.6070651192414133,0.6417582417582418,0.6140350877192983,1.0253427028656006,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,46,0.5927999438820305,0.6044474380058155,0.643956043956044,0.631578947368421,0.9799866676330566,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,47,0.5901202886969179,0.6018184005168447,0.6483516483516484,0.631578947368421,0.9795279502868652,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,48,0.5874188539091048,0.5991506498110922,0.6505494505494506,0.631578947368421,0.9816653728485107,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,49,0.5846651140805129,0.5964349571027254,0.6527472527472528,0.631578947368421,1.022761344909668,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,50,0.5819409633730794,0.593699972880514,0.6571428571428571,0.631578947368421,0.9808349609375,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,51,0.5791341406958443,0.5909419519859448,0.6593406593406593,0.631578947368421,0.9783773422241211,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,52,0.5763110875428378,0.5881553119734714,0.6615384615384615,0.631578947368421,0.979400634765625,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,53,0.5734610570656075,0.5853443893424252,0.6659340659340659,0.631578947368421,1.0238053798675537,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,54,0.5706123329780914,0.582522366653409,0.676923076923077,0.631578947368421,0.9793381690979004,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,55,0.5677619176906544,0.5796811329691034,0.6791208791208792,0.631578947368421,0.980506420135498,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,56,0.5648735797667241,0.5768185650047503,0.6791208791208792,0.631578947368421,0.979595422744751,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,57,0.5619614441971202,0.5739230858652216,0.6813186813186813,0.6491228070175439,1.0285139083862305,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,58,0.5590207403177744,0.5710078519687318,0.6857142857142857,0.6491228070175439,0.9812967777252197,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,59,0.5560468674361051,0.5680670037604215,0.6879120879120879,0.6666666666666666,0.9811136722564697,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,60,0.5530876779294276,0.5651280184586843,0.6967032967032967,0.6666666666666666,0.9807848930358887,0.44134811142034697,0.8596491228070176
Breast_Cancer_Wisconsin,dressed_classical_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,100,6,61,0.550122850216352,0.562161392810052,0.6989010989010989,0.6666666666666666,1.0258522033691406,0.44134811142034697,0.8596491228070176
