Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,Epoch,Train_Loss,Validation_Loss,Time,Test_Loss
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),1,0.06237540210962295,0.055601152414083484,6.925591230392456,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),2,0.052393726619482044,0.04970970250368118,7.793198347091675,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),3,0.04755259106993675,0.04687291476726532,7.927603244781494,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.04554114380478859,0.044474777400493624,7.750262975692749,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),5,0.04343792914032936,0.04376784604787826,7.730931997299194,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),6,0.041868514152765275,0.04180016296505928,7.802689790725708,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),7,0.04353209327936172,0.044811600869894025,7.856085538864136,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),8,0.04185513994455337,0.04074934451580048,7.951713562011719,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),9,0.04075230667233467,0.04009607877135277,8.163546085357666,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),10,0.03866387941598892,0.03805126284360886,7.9116551876068115,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),11,0.036868899521827696,0.037433887833356855,9.444586277008057,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),12,0.036203511069417,0.03701688333749771,14.488847017288208,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),13,0.0355838421022892,0.03569037269949913,8.006259202957153,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),14,0.036090794162750246,0.03522480618357658,8.050700664520264,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),15,0.034780523061156275,0.03488649814724922,8.324734210968018,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),16,0.03426040342450142,0.03477002269625664,8.907623529434204,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),17,0.034778161700963976,0.03532651080489159,8.074114561080933,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),18,0.03422291954398155,0.0348273287653923,8.113434314727783,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),19,0.03371312715768814,0.03409549584388733,8.158835411071777,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),20,0.03361269359827042,0.03424096577167511,8.235218286514282,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),21,0.03341562651276588,0.03352617418766022,8.223087787628174,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),22,0.03285272197365761,0.03322385429143906,8.622945070266724,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),23,0.03262485903501511,0.03485071539282799,8.360001564025879,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),24,0.032621382338404656,0.032719689577817915,8.421759128570557,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),25,0.03215214629173279,0.03297589824795723,8.401187658309937,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),26,0.032194908270835876,0.032695892837643625,8.466988563537598,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),27,0.03192865364313126,0.03246908391714096,8.486642599105835,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),28,0.031762627098560335,0.03266666994690895,8.569750785827637,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),29,0.03158901008009911,0.03323315529823303,8.925241231918335,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),30,0.03140123543560505,0.03163387869596481,8.688893556594849,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),31,0.031138097427487372,0.03158040273785591,8.69559907913208,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),32,0.0309378837788105,0.031323690256476404,8.839753866195679,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),33,0.030915939109921454,0.031205640411376953,9.004489421844482,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),34,0.03082042644023895,0.031180859154462816,9.113242149353027,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),35,0.030529697483778,0.03103812669813633,9.181143999099731,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),36,0.030453866394162178,0.030916449707746506,9.525395393371582,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),37,0.03036841661095619,0.031522270858287814,9.465612411499023,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),38,0.030626377614736557,0.03103652100265026,9.582235097885132,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),39,0.030159937678575516,0.030780926379561424,9.653212308883667,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),40,0.030298043066859244,0.030705030345916748,9.463351488113403,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),41,0.02986314963698387,0.030396531969308853,9.51683521270752,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),42,0.029830834815502166,0.030438231909275054,9.946072816848755,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),43,0.029679222227931023,0.030709842789173127,9.9020254611969,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),44,0.029865470044016837,0.030248927402496337,10.046333074569702,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),45,0.029603521580696106,0.030500369435548784,10.035956621170044,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),46,0.029923181713819504,0.030381261783838272,10.21352505683899,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),47,0.029742604585289954,0.03046380054950714,10.436755418777466,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),48,0.029888037333488465,0.030364514982700347,10.66612958908081,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),49,0.02961930376291275,0.03070151029229164,10.364111423492432,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),50,0.029479242209792138,0.031047927939891817,10.710796594619751,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),51,0.0293056998616457,0.030014120590686796,11.053281307220459,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),52,0.029265541561841964,0.030353329402208327,11.206407070159912,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),53,0.029096002542376518,0.030501125153899192,11.283766508102417,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),54,0.028839197960495947,0.029442729842662812,11.564862966537476,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),55,0.028412200734615325,0.0288745879560709,11.266596794128418,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),56,0.028055432181954384,0.028714920857548714,11.714262008666992,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),57,0.02778168150305748,0.02819930629134178,11.9532151222229,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),58,0.02737788498342037,0.027811318910121917,11.894019603729248,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),59,0.027247307360172272,0.028026197215914726,11.960547924041748,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),60,0.026918941715359686,0.027553306835889815,11.96952199935913,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),61,0.026652010835409166,0.027406353276968002,12.223659753799438,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),62,0.026688393077254294,0.027445916536450385,12.563477993011475,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),63,0.02638660092115402,0.02720447699725628,12.696379899978638,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),64,0.026179537168741225,0.027034648129343985,13.03951096534729,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),65,0.026037276601791382,0.0269926372051239,13.111854314804077,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),66,0.026082288262248038,0.027222716617584228,13.335083484649658,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),67,0.025943402172327042,0.02672719176709652,13.489808559417725,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),68,0.025700713031291962,0.02658159441947937,13.898797035217285,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),69,0.025662530623674393,0.026420832899212838,14.022882461547852,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),70,0.025849221291542053,0.026434687238931658,14.143271207809448,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),71,0.02564485307574272,0.026791052106022836,14.348537683486938,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),72,0.025656104375720024,0.02667556693851948,14.677519083023071,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),73,0.025585999282598495,0.026017907783389093,15.379243850708008,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),74,0.025904656319618226,0.02696098185181618,14.854906797409058,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),75,0.02570834179997444,0.02640241224169731,15.005913257598877,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),76,0.025348413934111594,0.026366905152797698,15.439421653747559,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),77,0.025483796898126604,0.026139939624071122,15.439963579177856,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),78,0.025527162719368935,0.026317389485239984,15.514764308929443,0.02056499941945076
MNIST,AE_loss_values,4,0.001,64,500,Sigmoid(),Sigmoid(),79,0.025464737650752068,0.026449988776445388,15.70272183418274,0.02056499941945076
