Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,1,2.271632953310013,2.184293522000313,0.11936,0.1902,4.271742820739746,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,2,2.087523780655861,1.9863465720415114,0.27524,0.3291,4.264783143997192,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,3,1.8843494421720506,1.7856097158789634,0.32814,0.3473,4.280719041824341,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,4,1.7013525427222251,1.6264984030127525,0.38416,0.4082,4.260644435882568,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,5,1.5727566778957844,1.5244711902439594,0.43858,0.4675,4.2673797607421875,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,6,1.4918618173420428,1.4587256027907134,0.49894,0.5231,4.261285066604614,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,7,1.4381980587482452,1.4123109802901745,0.53406,0.5558,4.266859531402588,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,8,1.3991641891062259,1.37743996027112,0.55208,0.5574,4.257886171340942,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,9,1.368121766614914,1.3477234953641892,0.56142,0.5758,4.263291835784912,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,10,1.341036034566164,1.3209824568629265,0.57202,0.5869,4.255334377288818,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,11,1.3149554627656936,1.2924095092713832,0.58408,0.6052,4.261202573776245,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,12,1.2870737460285424,1.2629473471641541,0.59752,0.6164,4.277328252792358,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,13,1.2570584833234548,1.2318599263876677,0.6115,0.6341,4.258054494857788,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,14,1.2268713087826968,1.2022050048559905,0.624,0.6391,4.25606107711792,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,15,1.1986965557724238,1.175685594558716,0.63418,0.6549,4.271946430206299,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,16,1.1737736157625913,1.1519647814780474,0.64434,0.6565,4.258171319961548,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,17,1.152322319561243,1.132048855289817,0.64986,0.6623,4.3118507862091064,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,18,1.1342676623255015,1.1141798382103443,0.65636,0.6708,4.254790544509888,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,19,1.118759750801325,1.0999770464748144,0.65996,0.6723,4.260616302490234,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,20,1.1057711333006621,1.0869133030325175,0.66378,0.681,4.25698447227478,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,21,1.0945287142559885,1.0762375829145312,0.66636,0.6819,4.262359619140625,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,22,1.084923175869882,1.0669888333156705,0.67062,0.6787,4.285688638687134,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,23,1.0765270326167344,1.0592314460724592,0.6712,0.6892,4.2682130336761475,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,24,1.0692976202458144,1.0515796290189028,0.67506,0.6903,4.256622552871704,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,25,1.0628829671233893,1.0454321810677647,0.67584,0.6839,4.270433664321899,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,26,1.0573359067052603,1.0404642623886466,0.677,0.6955,4.2929418087005615,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,27,1.0522357163831593,1.0346346123293042,0.68056,0.6938,4.257967710494995,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,28,1.0476923188567162,1.0302965952455998,0.68122,0.6942,4.257016658782959,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,29,1.0435008152469993,1.0266090642288328,0.6827,0.6943,4.255321741104126,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,30,1.0398592670403422,1.022066737934947,0.68304,0.6998,4.249768495559692,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,31,1.0364709468573332,1.0187108814381063,0.68416,0.6936,4.251827716827393,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,32,1.033363982655853,1.0164409365132452,0.68544,0.6964,4.2512290477752686,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,33,1.030319042801857,1.0136131441816687,0.68512,0.6982,4.253110647201538,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,34,1.0277289627201855,1.0111799558140337,0.68806,0.6892,4.252052545547485,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,35,1.0252078282132744,1.0071779249012471,0.68698,0.7034,4.294678688049316,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,36,1.0229111692398787,1.0052676576152444,0.688,0.6998,4.26157021522522,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,37,1.0206808081313967,1.0036072056591512,0.68904,0.6998,4.2591047286987305,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,38,1.0186428590849042,1.0019666472822428,0.68946,0.7023,4.25296688079834,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,39,1.0166322899669409,0.9977189050465822,0.69086,0.7031,4.252025604248047,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,40,1.0148812732733785,0.996955323792994,0.6912,0.702,4.277407646179199,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,41,1.0129989788495004,0.9943129894211888,0.69286,0.7023,4.2820351123809814,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,42,1.011350824956596,0.992855643067509,0.69202,0.7037,4.2540764808654785,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,43,1.0097649828344584,0.9909883281365037,0.69418,0.7045,4.2766876220703125,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,44,1.0082261136233808,0.9895634137988091,0.69262,0.7049,4.253185510635376,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,45,1.0066410918310285,0.9885880155973137,0.69438,0.708,4.252462387084961,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,46,1.0053212272793055,0.98756523180753,0.69506,0.7083,4.252450466156006,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,47,1.0040440545357763,0.9853750801980495,0.69574,0.7051,4.2517101764678955,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,48,1.0025606381997465,0.9842491633966565,0.69612,0.7042,4.266053676605225,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,49,1.0013738536782564,0.9839572085253895,0.6972,0.7094,4.288748741149902,1.0094564464055003,0.7103
MNIST,NN_with_compressed_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,50,1.0001746511287988,0.9814704808294773,0.69692,0.711,4.3081934452056885,1.0094564464055003,0.7103
