Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,1,1.0664536401726306,0.5365588469579816,0.78982,0.8678,22.1815505027771,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,2,0.44875048451367766,0.40057607302488757,0.88414,0.8892,22.102457761764526,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,3,0.36712702009323983,0.3537832332989201,0.89924,0.8997,22.24745774269104,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,4,0.3303226683921646,0.32768965245794973,0.90814,0.9057,22.119551420211792,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,5,0.30593341810079294,0.30912749241362325,0.91404,0.9109,22.296027898788452,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,6,0.2872089899602113,0.293240659756586,0.91902,0.9149,22.223410844802856,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,7,0.2713796611985657,0.2793030070287641,0.92368,0.9194,24.006577491760254,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,8,0.257736275764578,0.26720425620651805,0.92782,0.9232,22.185319423675537,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,9,0.24549610622200416,0.2567310739965178,0.9312,0.9267,23.275756359100342,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,10,0.2341615237424092,0.24742674105259357,0.9348,0.9291,30.674588441848755,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,11,0.2240331971451291,0.23783825601742137,0.9377,0.9321,23.014031887054443,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,12,0.2146579689874896,0.23000859697832493,0.9409,0.9339,22.064545392990112,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,13,0.2059374953274848,0.22173725923663004,0.94338,0.9374,22.19150710105896,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,14,0.19769226206675522,0.21495974309975283,0.94566,0.9379,22.12004065513611,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,15,0.189981272338063,0.20781157606095074,0.94734,0.9404,22.095404386520386,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,16,0.1830808502542146,0.20214672759443056,0.94982,0.9425,22.41538977622986,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,17,0.17644718772672932,0.19650011581729632,0.95132,0.9434,22.134552478790283,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,18,0.17022315901842666,0.191299047449138,0.95314,0.946,22.136449337005615,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,19,0.16445949910075286,0.1865956971325213,0.9549,0.9465,22.20861029624939,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,20,0.1590149358066148,0.18134609911439475,0.95578,0.9485,22.065227508544922,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,21,0.1539114509691659,0.1778188251168467,0.95728,0.9492,22.21802854537964,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,22,0.14925310376773124,0.1728034338670841,0.959,0.9509,22.170671463012695,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,23,0.14451313824348036,0.16834416644848535,0.96012,0.9523,22.138274431228638,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,24,0.14023528319361794,0.16487255501598702,0.96136,0.9541,22.251312732696533,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,25,0.1360858856453211,0.16146523894241546,0.96234,0.9542,22.17950677871704,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,26,0.13210436129854933,0.15765256548213075,0.96372,0.9553,22.113288164138794,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,27,0.12833621083475882,0.15519730522530154,0.96498,0.9565,22.28101372718811,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,28,0.1250257142999093,0.15279959252412664,0.96566,0.956,22.12900185585022,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,29,0.12161897389029327,0.14891343245032476,0.967,0.9574,22.21111249923706,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,30,0.11850470661652798,0.14623374957729537,0.96746,0.958,22.124558210372925,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,31,0.11545168091905653,0.14368308083101874,0.96856,0.9587,22.043555736541748,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,32,0.11251877242330083,0.140699553073282,0.96944,0.9591,22.21843647956848,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,33,0.10972619952607202,0.13916029960126616,0.97036,0.9595,22.198800802230835,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,34,0.10706485895198421,0.1366652750738722,0.97098,0.9607,22.128807067871094,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,35,0.10451033119010972,0.13423371579986998,0.97142,0.9612,22.258347034454346,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,36,0.10188817912530503,0.13231331027419946,0.9724,0.962,22.069868326187134,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,37,0.09961415926240734,0.13029282928523025,0.97336,0.9623,22.17060160636902,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,38,0.09745373900402628,0.1278797620874393,0.97368,0.9632,22.901864290237427,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,39,0.09517935188542033,0.1270691217560816,0.9747,0.9635,22.078202962875366,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,40,0.0931394626635767,0.125117715198925,0.97508,0.9632,22.220875024795532,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,41,0.09106704341762961,0.12308236341753218,0.97564,0.9636,22.178932666778564,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,42,0.0891685644253419,0.12089565802263678,0.97634,0.9642,22.121211051940918,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,43,0.0872413265490075,0.11964377225644421,0.97698,0.9653,22.337611436843872,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,44,0.085462596437319,0.1180301670320332,0.9773,0.9655,22.177323818206787,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,45,0.08363379734652626,0.1164704789624011,0.97798,0.9657,22.152336835861206,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,46,0.08198324304017006,0.11535351502906269,0.97818,0.9652,22.226731538772583,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,47,0.0804186122790663,0.11406608946919733,0.97896,0.9649,22.057284355163574,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,48,0.07871536302740133,0.11263266448392824,0.97916,0.9664,22.22451663017273,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,49,0.07724377238238958,0.11135214460613498,0.97968,0.9659,22.205636978149414,0.09450760963923677,0.9721
MNIST,NN_with_original_input_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,0.001,5,50,50,0.07573419051244563,0.10983630605840881,0.9804,0.9666,22.09681987762451,0.09450760963923677,0.9721
