Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,1,2.2466927069187164,2.214774334669113,0.28266,0.3795,516.00732588768,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,2,2.209257033610344,2.2055278198719024,0.40844,0.4299,505.3998613357544,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,3,2.2041044692516327,2.202849377989769,0.43378,0.4328,506.13300704956055,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,4,2.2020648634672164,2.200539744257927,0.42276,0.4171,506.3962781429291,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,5,2.19626986207962,2.190370309591293,0.4225,0.4479,505.6708948612213,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,6,2.188047464609146,2.18723742544651,0.44282,0.4422,518.1479935646057,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,7,2.186386507844925,2.1865490168333053,0.43892,0.4314,506.83663725852966,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,8,2.185713245558739,2.1860596165657045,0.43302,0.4285,514.9990918636322,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,9,2.1853571787118913,2.1856367700099946,0.43086,0.4337,506.17378187179565,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,10,2.1850619623661043,2.1854285498857497,0.42848,0.4375,506.735746383667,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,11,2.184902154803276,2.1852421402931212,0.4277,0.4303,512.9154047966003,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,12,2.1847351787567137,2.185143195748329,0.42592,0.4215,506.66307616233826,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,13,2.1846095193386077,2.1849669368267057,0.42236,0.4297,525.2427821159363,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,14,2.184452232170105,2.1849955047369005,0.42144,0.4174,506.22669792175293,2.175581067800522,0.4822
MNIST,VQC_amplitude_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,0.01,5,50,6,15,2.1842894917368887,2.1847456433773043,0.4164,0.4132,514.2593095302582,2.175581067800522,0.4822
