Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,1,2.1870131858587265,2.125337537050247,0.31842,0.4294,518.0628681182861,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,2,2.1084966116309167,2.0949660266041756,0.42144,0.409,612.5754251480103,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,3,2.0803055507779122,2.066356153011322,0.38724,0.3965,528.3769872188568,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,4,2.050426982820034,2.038420909166336,0.40596,0.4177,518.4147493839264,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,5,2.0267691098451612,2.0212715522050857,0.40784,0.4011,519.4492928981781,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,6,2.0144189923524856,2.0127758372426032,0.38918,0.3838,525.617574930191,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,7,2.006830756390095,2.005839360177517,0.37148,0.3639,519.7482395172119,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,8,1.9998679683685303,1.998998533785343,0.35722,0.3523,531.5615899562836,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,9,1.9927937864661216,1.9917506264448166,0.34824,0.3465,519.8275473117828,1.880338506102562,0.5037
MNIST,VQC_angle_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.001,5,50,6,10,1.9856369979262352,1.9848410053253174,0.34302,0.3486,527.6040844917297,1.880338506102562,0.5037
