Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,1,1.6456465962350368,1.2178305054306984,0.50112,0.7019,503.5972077846527,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,2,1.0013799141675235,0.8231705236136914,0.77966,0.826,491.9340887069702,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,3,0.7370287409111858,0.6566355793103575,0.8394,0.854,503.34111523628235,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,4,0.6134434917755425,0.5736108207330107,0.8594,0.8634,494.3354961872101,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,5,0.5455570801265538,0.5304579274058342,0.86942,0.8665,492.3014051914215,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,6,0.5031363391071558,0.48848891744017603,0.87528,0.8809,492.1999213695526,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,7,0.47223321866579354,0.476366307284683,0.88248,0.8778,492.1332657337189,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,8,0.4492645875733346,0.45669565777108073,0.88596,0.8815,504.230806350708,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,9,0.4311121809344739,0.4351897187400609,0.89086,0.8873,492.57442831993103,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,10,0.41591132443547246,0.43184149672463534,0.8918,0.8834,498.81567335128784,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,11,0.40324100097455085,0.4199313768073916,0.89556,0.8885,493.97026896476746,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,12,0.3943545008836314,0.40669421792123467,0.89618,0.8896,492.47040820121765,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,13,0.3855123355170712,0.40305999989621344,0.89816,0.8906,499.1263279914856,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,14,0.3782497280431911,0.41558722556382416,0.89944,0.8874,491.8246352672577,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,15,0.3719474426647648,0.3911207267539576,0.90056,0.8909,505.5107491016388,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,16,0.3661659874420613,0.3882426741439849,0.90094,0.8931,491.39686036109924,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,17,0.3615121300796047,0.38422306640353054,0.90276,0.8923,491.8126528263092,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,18,0.35670336479330433,0.3883998020514846,0.9028,0.8923,501.4144322872162,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,19,0.352841403567791,0.3924768485757522,0.90456,0.8914,491.7152452468872,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,20,0.34885920266704634,0.37272878444287927,0.90506,0.895,504.3499674797058,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,21,0.3453915720616467,0.3853108427906409,0.9051,0.8894,493.1619465351105,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,22,0.3421332484628074,0.374493591491133,0.90606,0.8938,492.26974868774414,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,23,0.33858870993377643,0.3705494989254512,0.90702,0.8953,496.32233929634094,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,24,0.3351139061664231,0.3663956073569134,0.9084,0.896,492.27434039115906,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,25,0.33215171714415775,0.36243961401935665,0.90842,0.8969,499.2239422798157,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,26,0.33051084888270127,0.3631103104199283,0.90796,0.8953,492.07151794433594,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,27,0.3273054198516533,0.3644290685150772,0.90856,0.8961,499.29996633529663,0.33288251390261575,0.9102
MNIST,dressed_classical_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,Sigmoid(),0.01,5,50,6,28,0.3251075395461172,0.3644421217180788,0.91042,0.8962,491.2864408493042,0.33288251390261575,0.9102
