Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,1,0.29088758080089466,0.3914979522319045,0.9162,0.8842,535.1258311271667,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,2,0.28960923421103507,0.3510392617417965,0.91608,0.9008,540.580543756485,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,3,0.2895376316783484,0.3546089828903787,0.9159,0.8949,535.9213645458221,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,4,0.28973429398837036,0.3647522326849867,0.917,0.8952,542.2783164978027,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,5,0.28925006100973116,0.3597687142422656,0.91626,0.8935,534.8140487670898,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,6,0.28938823601857294,0.3639362103319727,0.91632,0.8979,546.8712112903595,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,7,0.289019024456921,0.3630885853096843,0.91636,0.8979,535.0805888175964,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,8,0.28844610012015326,0.3509835488637909,0.9152,0.9009,541.6881115436554,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,9,0.28875554678244514,0.34732391476712654,0.91624,0.9002,536.7352297306061,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,10,0.288985345625109,0.35724407389364204,0.91664,0.903,537.6940150260925,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,11,0.2895024651047541,0.34992960747750473,0.91656,0.9009,534.6823506355286,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,12,0.2890533136969432,0.35679098800569775,0.91632,0.8983,535.3789999485016,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,13,0.2892469706729287,0.35237412570975724,0.9166,0.9004,555.5142469406128,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,14,0.28855892255574,0.3464385275065433,0.91724,0.9019,534.8309063911438,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,15,0.28855170173556544,0.3521632398732472,0.91648,0.9006,543.12948179245,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,16,0.28965834228235765,0.3715245923199691,0.91694,0.8929,536.6738131046295,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,17,0.28898344215415417,0.3589563095201738,0.91636,0.9003,542.4640245437622,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,18,0.2892091025863774,0.3448220292988699,0.91628,0.9022,534.5321233272552,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,19,0.28908297910611147,0.3620398518741131,0.91562,0.8952,541.984206199646,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,20,0.28874374807607384,0.3485520419555251,0.91746,0.9017,538.9036557674408,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,21,0.28952283443368504,0.35029635394574143,0.91568,0.9012,534.157940864563,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,22,0.2893823582374025,0.38975384290516374,0.9159,0.8915,541.8183963298798,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,23,0.28852585130310615,0.3454363491217373,0.91676,0.9018,534.3471450805664,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,24,0.2889141753239092,0.3489809164516628,0.91602,0.9028,542.1700623035431,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,25,0.28945314085972496,0.3569518087201286,0.91688,0.9001,534.7173311710358,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,26,0.2882604270153679,0.36062217040383254,0.9174,0.8983,556.1002442836761,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,27,0.2897105850207619,0.3533880517181242,0.9165,0.8976,534.381364107132,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,28,0.28813659811781256,0.3531956931001041,0.91604,0.9025,543.1294150352478,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,29,0.2887072937861783,0.35293468869640493,0.9167,0.8993,536.5071396827698,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,30,0.2893452058136929,0.3555121831072029,0.91628,0.8986,534.1859407424927,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,31,0.2888768244197592,0.352183084086515,0.91608,0.9023,534.4549789428711,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,32,0.2883081016496988,0.36372978376364334,0.91648,0.8938,534.6986722946167,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,33,0.28900902026963887,0.3576540165094193,0.9168,0.899,547.0319538116455,0.3785902059932705,0.8929
MNIST,dressed_quantum_list,2,0.001,64,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.01,5,50,6,34,0.28897829474627507,0.35026817542058414,0.91668,0.8987,534.5663771629333,0.3785902059932705,0.8929
