Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,1,0.4791912252981216,0.32143532600533214,0.8677,0.9089,4.541646957397461,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,2,0.3099816723278724,0.30611864471924494,0.91018,0.9121,4.502665996551514,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,3,0.28796523021908943,0.2873341066743014,0.91628,0.9156,4.464614391326904,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,4,0.271576382202562,0.27155684550805015,0.92162,0.9195,4.493718385696411,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,5,0.2593126700684894,0.2682469549420057,0.92512,0.9179,4.470732688903809,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,6,0.2498024406385608,0.28539713806170036,0.92812,0.9196,4.4873316287994385,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,7,0.2445045633925358,0.2759503438642714,0.93054,0.9202,4.528557062149048,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,8,0.23808183181108908,0.2730594179700711,0.93126,0.92,4.501547336578369,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,9,0.2312435089090839,0.24745515712548513,0.93412,0.9276,4.494842290878296,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,10,0.22769175896389643,0.25529806510708297,0.93444,0.9242,4.452828884124756,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,11,0.22310096464201343,0.25324370678007835,0.93538,0.9287,4.48268723487854,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,12,0.2182450986929005,0.25756271619111065,0.93668,0.9255,4.467813014984131,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,13,0.21649612788025988,0.2611517252996564,0.9364,0.9255,4.458785772323608,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,14,0.21317545420936077,0.24727514375449391,0.938,0.9294,4.46073317527771,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,15,0.21070107138667954,0.24410497927828692,0.9388,0.9302,4.510875940322876,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,16,0.20899714392289753,0.2651145256736199,0.93852,0.9254,4.451432704925537,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,17,0.20697495260069262,0.25121138372062707,0.9392,0.9293,4.460214376449585,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,18,0.20237925286130776,0.24653486706508557,0.941,0.9302,4.500941276550293,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,19,0.20228987328667428,0.2487564931160887,0.94106,0.9268,4.493113994598389,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,20,0.2012470445562445,0.24844615409418475,0.94056,0.9311,4.5268614292144775,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,21,0.19936130943397876,0.25675755555357316,0.94148,0.9248,4.471729516983032,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,22,0.1972606389549328,0.25524760745081587,0.94214,0.9255,4.47107720375061,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,23,0.19572926904860652,0.25993404107016976,0.94272,0.9265,4.491243839263916,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,24,0.19522297916623646,0.25796958848051144,0.94272,0.9262,4.454116344451904,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,25,0.19341586808520078,0.26326990229659714,0.94304,0.9231,4.457630157470703,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,26,0.19306157752291184,0.2581844923036988,0.94352,0.9246,4.450801849365234,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,27,0.191671720886993,0.26195761875697643,0.94394,0.9261,4.460858106613159,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,28,0.19058234393550375,0.2615774442703114,0.9433,0.9225,4.458122968673706,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,29,0.1893007031381887,0.2511893943914329,0.9437,0.9313,4.501676082611084,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,30,0.18913178567626018,0.27138257383054587,0.94402,0.924,4.470155715942383,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,31,0.1876106683775957,0.25466199994372435,0.9447,0.9281,4.462034225463867,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,32,0.18816878970835824,0.2574414887599996,0.94466,0.9256,4.503286838531494,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,33,0.18393736117963563,0.25613869986921783,0.94498,0.9286,4.485215663909912,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,34,0.1858075216749101,0.264421953643614,0.94422,0.9263,4.492611646652222,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,35,0.18313231923183193,0.2630346155464067,0.9466,0.9295,4.462871074676514,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,36,0.18431618522142526,0.2551852045243722,0.94564,0.9283,4.459346771240234,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,37,0.18182108244932024,0.24661286074877717,0.94538,0.933,4.4475626945495605,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,38,0.18045060375445754,0.2609401333082933,0.94616,0.9278,4.462833404541016,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,39,0.17976182118445577,0.2668662157070357,0.94736,0.9261,4.47440242767334,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,40,0.1801496192679595,0.2855392170096748,0.94688,0.9223,4.415663003921509,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,41,0.17897299853033619,0.27084130267129514,0.94688,0.9247,4.421049356460571,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,42,0.178069967180246,0.26835328998079055,0.94704,0.9246,4.428934335708618,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,43,0.1773420386178186,0.2666144156205701,0.94748,0.9272,4.434803485870361,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,44,0.1781365727162105,0.25521159515401814,0.94672,0.9296,4.449376583099365,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,45,0.17718418697077432,0.2647957257093512,0.94766,0.9276,4.411711931228638,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,46,0.17523064850849332,0.26075887855114704,0.94848,0.9283,4.483139753341675,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,47,0.1748856716157694,0.2645328521464544,0.94846,0.9264,4.423131227493286,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,48,0.17407239054927487,0.2618081837295031,0.94874,0.9282,4.438337087631226,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,49,0.17382493389544543,0.2599685902823985,0.94814,0.9294,4.422608137130737,0.25687849172827554,0.9273
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.1,5,50,6,50,0.1724241196982737,0.27294748936551333,0.9494,0.9256,4.464723587036133,0.25687849172827554,0.9273
