Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,1,2.022328475320339,1.9737054898142814,0.41994,0.4584,523.862416267395,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,2,1.9621251179814339,1.9521852065324783,0.4436,0.4314,530.7936198711395,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,3,1.9430945065379144,1.9347149466276168,0.43158,0.434,523.8219118118286,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,4,1.924363674211502,1.911908901512623,0.44436,0.459,524.9738812446594,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,5,1.9044052998900414,1.8985980275273322,0.45086,0.4456,528.9338624477386,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,6,1.8946704615831376,1.891563586831093,0.4543,0.4635,524.0808892250061,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,7,1.8836668768048286,1.8766756635904311,0.4863,0.5021,532.6156454086304,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,8,1.8730777553915978,1.868576203405857,0.4985,0.5011,524.200448513031,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,9,1.8671103074669837,1.864262441933155,0.5019,0.5027,530.6109068393707,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,10,1.8630838627815247,1.8613662522435188,0.50384,0.5073,523.8898673057556,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,11,1.8601747704982758,1.857799998342991,0.50452,0.5051,533.6045258045197,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,12,1.8578406028151513,1.857862401843071,0.50478,0.5027,529.8962392807007,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,13,1.8558682775855064,1.8544524244070053,0.50548,0.5119,523.9568123817444,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,14,1.8543062890291213,1.8531063374876977,0.5071,0.5067,532.8197939395905,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,15,1.8529785879254341,1.851559896349907,0.50734,0.5079,523.416830778122,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,16,1.8514934412956239,1.850348615050316,0.50888,0.5037,530.7676868438721,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,17,1.8502755854964257,1.8486978684067725,0.51022,0.5083,523.8205192089081,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,18,1.8488530123233795,1.8471507965326308,0.5107,0.5076,535.7448439598083,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,19,1.8472888935923577,1.8444355704784394,0.5105,0.51,523.1202669143677,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,20,1.8458858857393265,1.8442668434381484,0.50914,0.5124,528.7209730148315,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,21,1.8449829701185227,1.842691747069359,0.50782,0.5107,526.4528365135193,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,22,1.84407494713068,1.842451093673706,0.5079,0.5032,523.9389662742615,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,23,1.8433330258131027,1.8414579529762267,0.50792,0.5075,530.865068435669,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,24,1.8425634601593017,1.8400746155381202,0.50818,0.5038,523.639123916626,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,25,1.8419742478489876,1.83914096480608,0.50738,0.5085,535.9528844356537,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,26,1.8414491617679596,1.8392573224306106,0.50844,0.5086,524.3398146629333,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,27,1.840769074177742,1.8381674128770829,0.50808,0.5122,530.5943548679352,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,28,1.8402674983501435,1.8381655580997467,0.50766,0.5091,523.4289035797119,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,29,1.8398149805545807,1.8374351832866669,0.50818,0.5089,523.131210565567,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,30,1.8394290213465692,1.8368453544974328,0.50868,0.5064,527.9531304836273,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,31,1.839026216864586,1.8378412905335426,0.50796,0.5023,523.9396262168884,1.8302068533301354,0.5202
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,32,1.8386388667583466,1.8363775345683098,0.50726,0.5018,535.8985722064972,1.8302068533301354,0.5202
