Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,1,2.3070241707066694,2.299092848698298,0.10791666666666666,0.11033333333333334,1.5737078189849854,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,2,2.295604156553745,2.282757662932078,0.12620833333333334,0.16433333333333333,1.5724551677703857,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,3,2.2751401382188003,2.2373479330539703,0.14770833333333333,0.167,1.5703566074371338,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,4,2.2254809868584076,2.1423751056194305,0.179625,0.21966666666666668,1.5719318389892578,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,5,2.1538927606741587,2.05165743847688,0.20558333333333334,0.23933333333333334,1.5699899196624756,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,6,2.091712000320355,1.9910864222049713,0.23,0.275,1.5712013244628906,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,7,2.0462744794537624,1.945734792550405,0.242125,0.28833333333333333,1.5858466625213623,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,8,2.008151764944196,1.941275825301806,0.25495833333333334,0.25,1.5731520652770996,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,9,1.9771024153133234,1.8818008283774057,0.26658333333333334,0.306,1.574246883392334,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,10,1.9468742370853822,1.8544283666213353,0.28108333333333335,0.311,1.5752100944519043,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,11,1.9196279701342185,1.8204219059149425,0.29625,0.3396666666666667,1.5767216682434082,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,12,1.8943693335354328,1.8075644504030546,0.30075,0.32566666666666666,1.5684716701507568,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,13,1.8735917760059237,1.8638026516636212,0.3055,0.2763333333333333,1.5665838718414307,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,14,1.8569314963867267,1.769761061767737,0.3140833333333333,0.333,1.574662685394287,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,15,1.8433241721242666,1.767265702088674,0.31966666666666665,0.337,1.5772240161895752,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,16,1.833187247402966,1.7588152967890103,0.320125,0.3453333333333333,1.5715861320495605,1.764027412434419,0.338
Audio_MNIST,NN_with_compressed_input_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.01,5,50,17,1.8247760439043244,1.784796323577563,0.32016666666666665,0.305,1.5740253925323486,1.764027412434419,0.338
