Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,1,2.3021902741491793,2.30110951423645,0.10541666666666667,0.13933333333333334,9.667098999023438,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,2,2.301289400657018,2.2998661168416343,0.11729166666666667,0.12566666666666668,9.63187026977539,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,3,2.3004604800542197,2.2986416753133136,0.11458333333333333,0.13866666666666666,9.593996286392212,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,4,2.2996340134739874,2.2973726451396943,0.1395,0.136,9.612894296646118,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,5,2.298775618523359,2.2959517419338225,0.13808333333333334,0.143,10.371056079864502,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,6,2.2979136916001637,2.2944987869262694,0.129,0.157,9.651451826095581,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,7,2.297004228631655,2.293082617521286,0.14675,0.163,9.68875002861023,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,8,2.2960526227454343,2.291518175601959,0.13879166666666667,0.18666666666666668,9.608224153518677,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,9,2.2950737896064917,2.2899691716829937,0.17345833333333333,0.18366666666666667,9.585179328918457,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,10,2.29404751971364,2.2881770106156667,0.155125,0.204,10.102487802505493,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,11,2.292960461974144,2.286350708405177,0.17208333333333334,0.21466666666666667,10.540077209472656,2.0646688572565712,0.6003333333333334
Audio_MNIST,NN_with_original_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.001,5,50,12,2.2918219991525013,2.2844387690226235,0.17525,0.23433333333333334,9.67653226852417,2.0646688572565712,0.6003333333333334
