Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,1,2.3007607165972392,2.299834536711375,0.12,0.16933333333333334,215.6091752052307,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,2,2.3007494542499383,2.299756859143575,0.125375,0.12966666666666668,216.61773777008057,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,3,2.3007324884831903,2.299756422042847,0.13291666666666666,0.191,214.43110418319702,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,4,2.3007180339594684,2.2997376386324566,0.11933333333333333,0.146,215.43549752235413,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,5,2.3007040251294772,2.2996358493963878,0.132,0.13,216.9446895122528,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,6,2.300695179104805,2.2996441547075905,0.12158333333333333,0.19333333333333333,217.43749713897705,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,7,2.300680863161882,2.2996199436982474,0.13520833333333335,0.142,216.5716118812561,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,8,2.300665718515714,2.299589179356893,0.12366666666666666,0.192,215.01412343978882,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,9,2.300659531603257,2.2995388531684875,0.132125,0.133,214.08644199371338,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,10,2.300640149563551,2.2995052150885265,0.12745833333333334,0.12833333333333333,214.0944585800171,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,11,2.300645975867907,2.2995184409618377,0.12908333333333333,0.13233333333333333,214.37544965744019,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,12,2.3006332502762477,2.2995176847775776,0.12279166666666666,0.144,215.36581444740295,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,13,2.3006214896341164,2.2994813787937165,0.13458333333333333,0.134,213.76443076133728,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,14,2.3006112985809644,2.299485158522924,0.12658333333333333,0.14533333333333334,214.96019959449768,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,15,2.3006012218693894,2.2994683476289115,0.12808333333333333,0.18966666666666668,214.4368748664856,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,16,2.30059248795112,2.299453884760539,0.130875,0.18066666666666667,214.97904753684998,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,17,2.300584919253985,2.2994342692693075,0.13391666666666666,0.15666666666666668,216.7996084690094,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,18,2.3005674842496715,2.299376056989034,0.13391666666666666,0.13066666666666665,217.171724319458,2.2991767386595408,0.14466666666666667
Audio_MNIST,dressed_quantum_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,Sigmoid(),0.001,5,50,6,19,2.3005504359304907,2.2993983308474224,0.12641666666666668,0.15266666666666667,216.68833303451538,2.2991767386595408,0.14466666666666667
