Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,1,2.1579896725465852,2.0959158152341844,0.2995833333333333,0.356,336.4701929092407,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,2,2.1100003267576297,2.0531185273329418,0.3640833333333333,0.364,244.02756476402283,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,3,2.0911039672295253,2.0521209967136382,0.3594583333333333,0.3953333333333333,244.84164333343506,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,4,2.076917103752494,2.0470048828919727,0.3925416666666667,0.388,244.36496019363403,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,5,2.0750831943005323,2.041936800877253,0.39008333333333334,0.4073333333333333,244.6506049633026,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,6,2.0733668078978855,2.0587789181868237,0.391625,0.36133333333333334,255.2036862373352,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,7,2.071984326094389,2.041747677922249,0.3944166666666667,0.37,244.42749333381653,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,8,2.0722961233059567,2.0560306390126546,0.38866666666666666,0.411,245.1582224369049,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,9,2.0718791102369627,2.0361010140180587,0.3888333333333333,0.41533333333333333,244.79638934135437,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,10,2.0705477696905534,2.0366734639803568,0.389625,0.411,251.12738871574402,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,11,2.0712306203444797,2.0434352600574495,0.38525,0.4206666666666667,245.6657419204712,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,12,2.070494203393658,2.0323008620738983,0.3892083333333333,0.42866666666666664,244.16874599456787,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,13,2.0697585536539553,2.0444162650903066,0.3912083333333333,0.43733333333333335,244.8554229736328,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,14,2.069449209968249,2.04108551800251,0.39029166666666665,0.4216666666666667,244.61763191223145,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,15,2.0681791600088277,2.0310873752832412,0.3949166666666667,0.41733333333333333,250.78097009658813,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,16,2.067565578619639,2.038714804848035,0.39179166666666665,0.4266666666666667,250.02712869644165,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,17,2.0663267878939706,2.026526125073433,0.3973333333333333,0.4026666666666667,244.23177337646484,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,18,2.0661533177892366,2.0306274871031444,0.39475,0.393,245.3181893825531,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,19,2.0662612684816124,2.026700953642527,0.398,0.4713333333333333,244.5569155216217,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,20,2.0658785381913187,2.0363196188211443,0.39308333333333334,0.37966666666666665,251.0221450328827,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,21,2.0652257718890907,2.033260441819827,0.3954166666666667,0.3883333333333333,246.54867839813232,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,22,2.065226960356037,2.025618073542913,0.39625,0.4036666666666667,244.18227887153625,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,23,2.064862562219302,2.0405895221233368,0.39329166666666665,0.41533333333333333,245.13115310668945,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,24,2.0653114560743173,2.026187988122304,0.393875,0.4056666666666667,244.2442283630371,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,25,2.0645599315315484,2.0301357044776283,0.3940416666666667,0.39,251.80506443977356,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,26,2.0645164074748754,2.0368748795986176,0.39508333333333334,0.4266666666666667,244.35398125648499,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,27,2.064248473321398,2.0352680814266204,0.395125,0.364,244.34197854995728,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,28,2.0640632342050473,2.027806191047033,0.3933333333333333,0.38566666666666666,244.74986386299133,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,29,2.0647122659534216,2.0312877068916957,0.395375,0.41133333333333333,244.40745735168457,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,30,2.0642595990250507,2.035257757703463,0.39308333333333334,0.4036666666666667,256.96858620643616,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,31,2.06338227070868,2.0228359484672547,0.39508333333333334,0.45266666666666666,251.6912202835083,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,32,2.063703751216332,2.0360519192616144,0.3933333333333333,0.39666666666666667,244.42812657356262,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,33,2.0639686280985674,2.035898082653681,0.3963333333333333,0.42233333333333334,245.34491634368896,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,34,2.0637241205076378,2.0326916640996933,0.39608333333333334,0.40166666666666667,244.4443736076355,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,35,2.0631457675248384,2.041741915543874,0.394875,0.3973333333333333,254.98480677604675,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,36,2.063330087934931,2.024266607562701,0.39691666666666664,0.42333333333333334,244.3194727897644,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,37,2.0634730085978905,2.0234127759933473,0.39870833333333333,0.434,244.03392481803894,2.046936680873235,0.373
Audio_MNIST,sequent_quantum_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,Sigmoid(),0.1,5,50,6,38,2.0630134474486113,2.0207996116081874,0.39929166666666666,0.4056666666666667,244.42318844795227,2.046936680873235,0.373
