Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,1,0.7261734869986528,0.7084965497037791,0.44849589790337285,0.4744525547445255,0.09098458290100098,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,2,0.7137383866440522,0.7002328316660693,0.44849589790337285,0.4744525547445255,0.09095358848571777,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,3,0.7048977709077333,0.6946032704228032,0.44849589790337285,0.4744525547445255,0.09099721908569336,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,4,0.69857007471561,0.6907021429416907,0.44849589790337285,0.4744525547445255,0.09104204177856445,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,5,0.6939339521481106,0.6879670006515336,0.44849589790337285,0.4744525547445255,0.09100103378295898,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,6,0.6904867576705181,0.6861570660215225,0.4512306289881495,0.5547445255474452,0.09111404418945312,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,7,0.6879899154604839,0.6849704758964316,0.5587967183226983,0.7372262773722628,0.09346175193786621,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,8,0.6862038802100836,0.6842190466658042,0.7702825888787602,0.7299270072992701,0.0938870906829834,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,9,0.684891884557312,0.6837411931831471,0.5733819507748404,0.5255474452554745,0.09379720687866211,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,10,0.6839005672181859,0.6834621668732079,0.5515041020966271,0.5255474452554745,0.09404802322387695,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,11,0.6831822889222812,0.6833036193882462,0.5515041020966271,0.5255474452554745,0.09408307075500488,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,12,0.6826149488755976,0.6832221272217966,0.5515041020966271,0.5255474452554745,0.09277129173278809,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,13,0.6822246136508862,0.6831896857623636,0.5515041020966271,0.5255474452554745,0.09110760688781738,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,14,0.681888394662219,0.6831688980986602,0.5515041020966271,0.5255474452554745,0.09105300903320312,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,15,0.6816324319422191,0.6831695511393303,0.5515041020966271,0.5255474452554745,0.09114623069763184,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,16,0.681402541554398,0.683182457502741,0.5515041020966271,0.5255474452554745,0.09094524383544922,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,17,0.681220565748519,0.6831447203664014,0.5515041020966271,0.5255474452554745,0.09083962440490723,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,18,0.6810855739423114,0.6831506647332741,0.5515041020966271,0.5255474452554745,0.0910947322845459,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,19,0.6809294291703182,0.6831312984445669,0.5515041020966271,0.5255474452554745,0.09095120429992676,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,20,0.6808152945887097,0.6830880437454168,0.5515041020966271,0.5255474452554745,0.09109044075012207,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,21,0.6806993367135145,0.683052161749262,0.5515041020966271,0.5255474452554745,0.09103131294250488,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,22,0.6805754920625643,0.6829954894789814,0.5515041020966271,0.5255474452554745,0.0911264419555664,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,23,0.6804772968605202,0.6829335624284117,0.5515041020966271,0.5255474452554745,0.09090328216552734,0.6561052864012511,0.6159420289855072
BankNote_Authentication,sequent_classical_list,1,0.1,128,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.001,5,100,6,24,0.6803713127929945,0.6828861749955337,0.5515041020966271,0.5255474452554745,0.09091019630432129,0.6561052864012511,0.6159420289855072
