Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,1,0.6608646990178706,0.678233173855564,0.6329670329670329,0.5789473684210527,0.0377354621887207,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,2,0.6600965608607282,0.6781022590503358,0.6329670329670329,0.5789473684210527,0.037328243255615234,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,3,0.6593578261333507,0.6779847260107074,0.6329670329670329,0.5789473684210527,0.037301063537597656,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,4,0.6587000816732973,0.6778780012799982,0.6329670329670329,0.5789473684210527,0.037297725677490234,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,5,0.6580704620906285,0.6777778048264352,0.6329670329670329,0.5789473684210527,0.0372922420501709,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,6,0.6574928701578916,0.6776788496134574,0.6329670329670329,0.5789473684210527,0.03735208511352539,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,7,0.6569613866753631,0.677589541987369,0.6329670329670329,0.5789473684210527,0.03739500045776367,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,8,0.6564350324672658,0.6774920978044209,0.6329670329670329,0.5789473684210527,0.037354230880737305,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,9,0.6559642428880209,0.6773916807091027,0.6329670329670329,0.5789473684210527,0.03737282752990723,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,10,0.6555231148070031,0.6772771268560175,0.6329670329670329,0.5789473684210527,0.03725838661193848,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,11,0.6550818852015904,0.6771688910952786,0.6329670329670329,0.5789473684210527,0.0372164249420166,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,12,0.6546652742794582,0.6770463240774054,0.6329670329670329,0.5789473684210527,0.03724265098571777,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,13,0.6542564758232662,0.6769261276512816,0.6329670329670329,0.5789473684210527,0.04091382026672363,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,14,0.6538580269603939,0.6767848442521012,0.6329670329670329,0.5789473684210527,0.03745388984680176,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,15,0.6534909396381169,0.6766395600218522,0.6329670329670329,0.5789473684210527,0.03744649887084961,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,16,0.6531125644406119,0.6764926617605644,0.6329670329670329,0.5789473684210527,0.03733682632446289,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,17,0.6527569929322043,0.6763389026909544,0.6329670329670329,0.5789473684210527,0.03735542297363281,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,18,0.6523871906511076,0.6761653893872311,0.6329670329670329,0.5789473684210527,0.03740048408508301,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,19,0.6520486765510434,0.6759973461167854,0.6329670329670329,0.5789473684210527,0.03739428520202637,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,20,0.6517057029100565,0.6758055953603042,0.6329670329670329,0.5789473684210527,0.037407875061035156,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,21,0.6513653934656919,0.6756173560493871,0.6329670329670329,0.5789473684210527,0.03741121292114258,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,22,0.6510139959199088,0.6754333868361356,0.6329670329670329,0.5789473684210527,0.03737831115722656,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,23,0.6506946607605442,0.6752227591840845,0.6329670329670329,0.5789473684210527,0.03734922409057617,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,24,0.6503737228257316,0.6750109723785467,0.6329670329670329,0.5789473684210527,0.037387847900390625,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,25,0.6500598938910516,0.6747798260889555,0.6329670329670329,0.5789473684210527,0.03736114501953125,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,26,0.6497198189352895,0.6745498033992031,0.6329670329670329,0.5789473684210527,0.037390947341918945,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,27,0.649385718853919,0.6743284286114207,0.6329670329670329,0.5789473684210527,0.03740382194519043,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,28,0.6490757331088349,0.6740989669373161,0.6329670329670329,0.5789473684210527,0.03737664222717285,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,29,0.6487497759389353,0.673866331577301,0.6329670329670329,0.5789473684210527,0.03736734390258789,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,30,0.6484335736258999,0.673616207482522,0.6329670329670329,0.5789473684210527,0.03740882873535156,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,31,0.6481170228549412,0.673381879664304,0.6329670329670329,0.5789473684210527,0.037364959716796875,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,32,0.6477991735542213,0.6731115265896446,0.6329670329670329,0.5789473684210527,0.037345170974731445,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,33,0.6474862635790647,0.6728538389791522,0.6329670329670329,0.5789473684210527,0.03739500045776367,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,34,0.6471708357989133,0.6725832255263078,0.6329670329670329,0.5789473684210527,0.0373532772064209,0.6241587149469476,0.631578947368421
Breast_Cancer_Wisconsin,sequent_classical_list,2,0.01,32,500,Sigmoid(),Sigmoid(),2,Sigmoid(),0.001,5,100,6,35,0.6468438430801853,0.672320450607099,0.6329670329670329,0.5789473684210527,0.03739738464355469,0.6241587149469476,0.631578947368421
