Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,1,0.43988385043301426,0.36669451521154034,0.9340659340659341,0.9122807017543859,1.153653860092163,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,2,0.3359175144316076,0.32885510827365677,0.9494505494505494,0.9122807017543859,1.155515432357788,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,3,0.3104010843313657,0.31988493575338733,0.9494505494505494,0.9649122807017544,1.2182104587554932,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,4,0.30006473241271553,0.3073066130541919,0.9472527472527472,0.8947368421052632,1.157562494277954,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,5,0.29264875116584066,0.3025800078584437,0.9472527472527472,0.9298245614035088,1.1613211631774902,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,6,0.2886789369059133,0.2994147214973182,0.9494505494505494,0.9298245614035088,1.1580216884613037,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,7,0.2848275745963002,0.29631817576132324,0.9516483516483516,0.9122807017543859,1.2200305461883545,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,8,0.28353184658092456,0.29427774250507355,0.9560439560439561,0.9122807017543859,1.1632170677185059,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,9,0.28095996117853855,0.29260412512118356,0.9472527472527472,0.9298245614035088,1.1729984283447266,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,10,0.2792118887652408,0.29169411042280363,0.9428571428571428,0.9122807017543859,1.1561758518218994,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,11,0.2781876181508159,0.29001232824827494,0.9538461538461539,0.9298245614035088,1.221571922302246,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,12,0.2766942388408787,0.28890191123150943,0.9516483516483516,0.9298245614035088,1.1653509140014648,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,13,0.27595648153142616,0.288014977908971,0.9516483516483516,0.9298245614035088,1.3443915843963623,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,14,0.27393617865803477,0.28720849804710924,0.9516483516483516,0.9122807017543859,1.1685283184051514,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,15,0.27361553809144995,0.2865152359008789,0.945054945054945,0.9298245614035088,1.2282660007476807,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,16,0.2728984414876162,0.2855938084815678,0.9516483516483516,0.9298245614035088,1.1649928092956543,0.2660191236880788,0.9473684210526315
Breast_Cancer_Wisconsin,sequent_quantum_list,0,0.01,32,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,100,6,17,0.27243413014726325,0.284983471820229,0.9516483516483516,0.9298245614035088,1.1607370376586914,0.2660191236880788,0.9473684210526315
