Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,Epoch,Train_Loss,Validation_Loss,Time,Test_Loss
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.062272320169210436,0.055143087810277935,6.3653130531311035,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),2,0.05481413969159126,0.05488572001457214,7.529621124267578,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),3,0.05102147369146347,0.0490028016269207,7.534263849258423,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),4,0.047099139983654024,0.04521656886935234,7.850118637084961,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),5,0.044892418254613875,0.0460748757481575,7.666326522827148,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),6,0.04379540651202202,0.04222053832411766,7.686772108078003,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),7,0.04170663777589798,0.04183135269880295,7.6834423542022705,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),8,0.04096832712650299,0.04010700718164444,7.711008071899414,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),9,0.04034674629211426,0.03948867798447609,7.690905570983887,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),10,0.03928279976725578,0.03845344717502594,7.797690391540527,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),11,0.03797057406783104,0.03739831727147103,8.062631368637085,0.018695971810817717
MNIST,AE_loss_values,1,0.001,64,500,Sigmoid(),Sigmoid(),12,0.037280561136007306,0.03754559626579285,7.940673828125,0.018695971810817717
