Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,1,0.6339864063482732,0.5318738495493308,0.8306,0.8774,4.367093086242676,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,2,0.5253423096373677,0.558108902445063,0.86928,0.8566,4.256493091583252,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,3,0.5197112522568553,0.5020812118132598,0.87272,0.8777,4.255747079849243,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,4,0.5155277590039187,0.49687622346170246,0.87438,0.8839,4.295975685119629,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,5,0.5115456268223934,0.5356571616688743,0.87508,0.8748,4.267199516296387,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,6,0.5106808882816695,0.5198920813724398,0.87766,0.8696,4.2535319328308105,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,7,0.5071665893318131,0.5439375076107681,0.8777,0.8666,4.294985055923462,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,8,0.5046589304916095,0.4809084235043265,0.88008,0.8895,4.316560506820679,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,9,0.5039038634249475,0.5915203233459033,0.87932,0.837,4.260999917984009,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,10,0.5009787171480712,0.49223474141117185,0.88042,0.8912,4.294057846069336,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,11,0.5018283517751843,0.49941824878472835,0.88006,0.8813,4.285876750946045,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,12,0.5012212792880367,0.5127780679971911,0.87964,0.8797,4.261598825454712,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,13,0.5004491144861095,0.6247134760227054,0.88016,0.8232,4.305873155593872,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,14,0.5003037110060453,0.48122457177191974,0.8809,0.8899,4.26720404624939,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,15,0.4996596372690052,0.4871519107092172,0.88096,0.8865,4.267966032028198,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,16,0.49983801297210156,0.5546368437404744,0.8797,0.8589,4.286994218826294,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,17,0.5004640413436108,0.5001102919997648,0.88076,0.8776,4.29728364944458,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,18,0.4988357645741198,0.5472012285534292,0.88144,0.8632,4.272506952285767,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,19,0.49820941038513555,0.521604436442256,0.88102,0.8768,4.250118017196655,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,20,0.5006562365947291,0.49928767563030124,0.8801,0.8833,4.294333219528198,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,21,0.5011926757684909,0.4951278710695915,0.8809,0.8878,4.257289886474609,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,22,0.50014164519771,0.49236306893173604,0.88038,0.8839,4.33004355430603,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,23,0.4988860879925545,0.49005761118791996,0.88062,0.889,4.303603172302246,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,24,0.49863543898602947,0.5027228270885534,0.88166,0.8836,4.251446962356567,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,25,0.4986728068906348,0.4763903301674873,0.88022,0.8956,4.3232338428497314,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,26,0.500152574798651,0.4948701161267236,0.8794,0.8824,4.285298109054565,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,27,0.49988402829542755,0.5047722342549823,0.88006,0.8837,4.253195762634277,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,28,0.5004361237971112,0.5193502755005611,0.88114,0.8753,4.258573293685913,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,29,0.49833135692644864,0.518243756431155,0.8805,0.8681,4.291682720184326,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,30,0.4992773094838951,0.4839636355638504,0.88252,0.8892,4.248189687728882,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,31,0.4999258495658636,0.4805866216449067,0.88054,0.8925,4.257012367248535,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,32,0.5003718280427157,0.5487373410118743,0.88052,0.8546,4.252653360366821,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,33,0.4996650331798475,0.5305918639427982,0.881,0.8593,4.246708869934082,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,34,0.49947058390881865,0.4775932847801596,0.88042,0.894,4.28054666519165,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,35,0.5008715193999931,0.491314856197685,0.88058,0.8832,4.328062057495117,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,36,0.4999180271469522,0.48125661950744686,0.88036,0.8883,4.250185966491699,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,37,0.500417377208732,0.4829897232768126,0.8804,0.8866,4.261723279953003,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,38,0.49954418563460934,0.5335765330549329,0.87978,0.8646,4.26315450668335,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,39,0.49972711374564094,0.4854365964774042,0.87994,0.8848,4.2962377071380615,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,40,0.499625884078769,0.47985968084377234,0.87906,0.8921,4.247673034667969,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,41,0.501282374617178,0.49607097945269196,0.8798,0.8855,4.306700706481934,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,42,0.4987346274923766,0.502255476663122,0.87918,0.8889,4.306463956832886,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,43,0.5005280002332758,0.48843767383671366,0.8799,0.8883,4.265451192855835,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,44,0.4996056743657682,0.5071063001488801,0.87974,0.8813,4.244741201400757,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,45,0.5004114415450953,0.5236233702779282,0.87996,0.8654,4.247968912124634,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,46,0.499486999093974,0.5795942057841458,0.87862,0.8399,4.246772050857544,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,47,0.4988792935797945,0.5208570719645359,0.88042,0.8671,4.287768363952637,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,48,0.5007878564833198,0.49183710684394466,0.87976,0.8828,4.250601768493652,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,49,0.4993232026314363,0.46609682169742883,0.8796,0.895,4.247068166732788,0.5377543170638382,0.8632
MNIST,NN_with_compressed_input_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.1,5,50,50,0.500325450298516,0.5679796480685473,0.87776,0.8543,4.259670972824097,0.5377543170638382,0.8632
