Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,1,0.40108150866816283,0.24236844150850084,0.89136,0.9314,20.249913454055786,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,2,0.1979143550676352,0.17283722830074838,0.94356,0.9511,20.191255569458008,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,3,0.1427871472493076,0.13715942535109935,0.9598,0.9606,20.31742024421692,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,4,0.11180620168018213,0.11521560373720421,0.96842,0.9664,20.256446838378906,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,5,0.09139259614272742,0.10344348683452699,0.9743,0.9708,20.307984590530396,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,6,0.07642935049133666,0.09025322429904191,0.97876,0.9735,20.37998867034912,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,7,0.06495253977877437,0.08917738662360171,0.9822,0.9729,20.25873851776123,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,8,0.055889938100377734,0.08036086877517665,0.98456,0.9748,20.23536515235901,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,9,0.04875823100974776,0.07551728134904624,0.98714,0.9776,20.340218782424927,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,10,0.04204817898942138,0.07540102088887943,0.98914,0.9769,20.22577428817749,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,11,0.03728257185185976,0.07057214545901934,0.99058,0.9782,20.236614227294922,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,12,0.03300294906465097,0.07198378891128869,0.99204,0.9782,20.316426753997803,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,13,0.029067208677656345,0.06712328723684277,0.99364,0.9804,20.530997037887573,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,14,0.025823743547817413,0.06687853925593482,0.99426,0.9794,20.214643716812134,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,15,0.02304626387708345,0.06651230502082399,0.99548,0.9801,20.273468017578125,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,16,0.020643490228338193,0.06340950596784115,0.99628,0.98,20.2327139377594,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,17,0.018587227865903833,0.0646021070115545,0.9966,0.9809,20.253165245056152,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,18,0.01652104330627985,0.06322528263390086,0.99762,0.9812,29.56883430480957,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,19,0.01506580537177324,0.06337511030161999,0.99756,0.9808,20.250179529190063,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,20,0.013563900472609726,0.06211466461932309,0.99836,0.9804,21.1691255569458,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,21,0.012420954065155422,0.06279976951897004,0.99862,0.9806,20.251204252243042,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,22,0.011164356311666897,0.06568774902220753,0.99884,0.9801,20.182007789611816,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,23,0.010589064173901033,0.06325372294229226,0.9989,0.9804,20.350131034851074,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,24,0.00954319493392686,0.06134236564035268,0.99912,0.9818,20.244858026504517,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,25,0.00889627988280049,0.062023633356504675,0.99918,0.9814,20.18762469291687,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,26,0.00806552714664988,0.06148623385626515,0.99942,0.9822,20.521013498306274,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,27,0.007493284788708409,0.06127890991461055,0.9995,0.9819,20.30313515663147,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,28,0.007010746636754323,0.062444794981392986,0.99952,0.9818,20.21602439880371,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,29,0.006476742717518462,0.06225436753262934,0.99968,0.9815,20.348299503326416,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,30,0.006066656327182017,0.06182983479225571,0.99962,0.9817,20.235601902008057,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,31,0.005667148676165316,0.06207051496057419,0.99976,0.9816,20.16369605064392,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,32,0.005383863296962986,0.06175327279129867,0.9997,0.9818,20.36831521987915,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,33,0.005060002824333601,0.061501247205640576,0.99978,0.9821,20.308483839035034,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,34,0.004683422152730653,0.06204065519753775,0.99988,0.9826,20.27659821510315,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,35,0.004453201845950261,0.061906635385304665,0.99988,0.9822,20.40001106262207,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,36,0.004234825613427409,0.06238764100806036,0.99984,0.9821,20.271838426589966,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,37,0.00402749831837983,0.06189821037721674,0.9999,0.9819,20.18320369720459,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,38,0.003823628527147305,0.062166453673038566,0.99992,0.982,20.304516792297363,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,39,0.00362514762698925,0.06184787720392218,0.99996,0.9823,20.237522840499878,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,40,0.0034943327248307485,0.06253174785849433,0.99994,0.9826,22.166874885559082,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,41,0.0033549538500629193,0.06235256959541183,0.99996,0.9821,20.364150762557983,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,42,0.003186723998843154,0.062074781794397516,1.0,0.9824,20.225879907608032,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,43,0.003065736165667551,0.06322742518719994,1.0,0.9823,20.22926139831543,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,44,0.0029197518137232714,0.06252681757789869,1.0,0.9824,20.25252604484558,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,45,0.002830740407133159,0.06311577205293555,0.99998,0.9823,20.234273433685303,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,46,0.00273597175770383,0.06297707488845233,1.0,0.9816,20.2519953250885,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,47,0.0026326266258172256,0.06251893457890124,0.99998,0.9822,20.250616312026978,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,48,0.0025405418069902705,0.06280762587304488,1.0,0.9821,20.247409105300903,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,49,0.0024614096933325363,0.06349481330625341,1.0,0.9816,20.286574125289917,0.061854549389769815,0.9814
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.01,5,50,50,0.002367282613594646,0.06343631128751984,1.0,0.9824,20.95441484451294,0.061854549389769815,0.9814
