Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,1,2.2841611428022386,2.2702514184713363,0.16372,0.2162,513.2926943302155,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,2,2.260302487874031,2.252412400841713,0.28096,0.3316,505.8320298194885,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,3,2.249474450039864,2.2456068477630615,0.3393,0.3511,506.4378147125244,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,4,2.2450570982694624,2.2422963097095487,0.34274,0.355,511.7355773448944,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,5,2.242456593680382,2.240036125421524,0.34726,0.3527,506.2010271549225,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,6,2.240371918988228,2.2380834546089172,0.34938,0.3528,513.8711276054382,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,7,2.238404063987732,2.2362400697469713,0.35122,0.3545,508.6895878314972,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,8,2.236622721195221,2.234722261071205,0.35108,0.358,513.8010289669037,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,9,2.235170963335037,2.233489778280258,0.35466,0.3579,506.5111508369446,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,10,2.23399131026268,2.2324637429714205,0.35636,0.3574,507.42129492759705,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,11,2.2329697376966475,2.231547834396362,0.35522,0.36,525.4701597690582,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,12,2.2320350917816163,2.2306857982873916,0.35374,0.3599,507.24182629585266,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,13,2.2311760092496873,2.2298552227020263,0.35492,0.3598,515.0163872241974,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,14,2.230347238826752,2.2290284378528593,0.35502,0.3557,508.20367527008057,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,15,2.229510740160942,2.2281528812646867,0.35292,0.3564,513.0655641555786,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,16,2.228616081905365,2.22721437561512,0.35222,0.3564,505.72120094299316,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,17,2.2276416083335877,2.2261396778821947,0.35404,0.3584,507.057963848114,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,18,2.2265852266311645,2.2250763642787934,0.35534,0.3625,518.5027151107788,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,19,2.2255027498960493,2.223966694831848,0.36002,0.3656,505.72744154930115,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,20,2.2244466540575027,2.222929331302643,0.36278,0.3719,513.1712670326233,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,21,2.2234616342306137,2.2219805408716202,0.3689,0.3781,507.88447856903076,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,22,2.222578096199036,2.221149860024452,0.37736,0.3839,512.4239389896393,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,23,2.221804602909088,2.2204328941106795,0.3827,0.3914,506.5406222343445,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,24,2.2211368255853654,2.2198059849739074,0.39092,0.3975,507.2220239639282,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,25,2.2205650163173676,2.2192522975206375,0.39486,0.4056,526.119955778122,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,26,2.2200712416648867,2.218741420507431,0.40054,0.4052,507.8109610080719,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,27,2.2196343317985536,2.218290889263153,0.40204,0.4083,515.1619098186493,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,28,2.2192345515489578,2.217889709353447,0.40488,0.4113,508.98521304130554,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,29,2.2188878335237505,2.2175069994926453,0.40774,0.411,513.373865365982,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,30,2.21856309568882,2.2172040618658064,0.40766,0.4167,507.3425443172455,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,31,2.2182863758802416,2.2168875105381014,0.41046,0.4176,508.0650591850281,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,32,2.2180318093538283,2.2166513806581496,0.41292,0.4174,519.1623327732086,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,33,2.2177994995832444,2.2164158563613894,0.41314,0.4169,507.18121671676636,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,34,2.217595151233673,2.216236898064613,0.41516,0.4141,514.0711636543274,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,35,2.2174047525882723,2.2160558090209963,0.41526,0.4176,508.5769536495209,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,36,2.217227671670914,2.2159050406217573,0.419,0.4177,513.2619633674622,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,37,2.2170450102329253,2.2157752128839494,0.42096,0.4173,506.85450291633606,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,38,2.2168957062244417,2.2156264773607255,0.42102,0.4202,506.68077325820923,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,39,2.216738908338547,2.215533415913582,0.4228,0.4245,521.5755870342255,2.2141938579082487,0.4477
MNIST,VQC_amplitude_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.001,5,50,6,40,2.2165792190551756,2.2154057005643844,0.42536,0.4264,507.0565404891968,2.2141938579082487,0.4477
