Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,1,2.0145595100283624,1.9647344008684158,0.46976,0.5114,513.4514045715332,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,2,1.96146604783535,1.9603021907806397,0.4936,0.448,526.3140685558319,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,3,1.9563009870052337,1.957118637084961,0.49014,0.5209,514.6223754882812,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,4,1.9535329458236694,1.9588146298527718,0.48912,0.4419,523.7303600311279,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,5,1.9465913547158242,1.9391696035265922,0.4885,0.5,514.1933815479279,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,6,1.9398297451496125,1.9401080241203308,0.496,0.4889,521.1979434490204,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,7,1.9377948737025261,1.9367482729554177,0.4983,0.5298,515.2230892181396,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,8,1.936563464474678,1.9323887511491775,0.49956,0.5281,514.5996837615967,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,9,1.9353583805799484,1.9386081975102425,0.497,0.4837,530.4329397678375,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,10,1.9351596559166908,1.9307050893306732,0.49888,0.4977,515.3625113964081,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,11,1.9343495854377746,1.9308205111026764,0.4985,0.4806,525.0479772090912,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,12,1.9338033104538916,1.9307169495224952,0.49842,0.4947,515.291862487793,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,13,1.9328925021529197,1.9365743557810784,0.49752,0.4585,522.9586284160614,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,14,1.932817202579975,1.9324501342177391,0.4982,0.4734,514.719256401062,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,15,1.9326944518446922,1.9311944770216942,0.49922,0.4608,521.5037078857422,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,16,1.9322805961847305,1.9282838842272758,0.49718,0.5228,519.993232011795,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,17,1.9321890892624856,1.926602421104908,0.49566,0.5415,515.5009236335754,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,18,1.9318024050951004,1.9283929579854011,0.49776,0.5214,523.7764775753021,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,19,1.9316657585144044,1.929323364853859,0.49624,0.484,514.7031099796295,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,20,1.9313040144443512,1.9244044244885445,0.4968,0.5355,521.5035855770111,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,21,1.9313109887599944,1.926378065109253,0.4974,0.5045,515.3406443595886,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,22,1.9308919753074647,1.927498755633831,0.49918,0.4919,521.2052843570709,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,23,1.9309657762169838,1.9294464191794396,0.4969,0.4563,519.7240953445435,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,24,1.9306691947102548,1.9279202892184257,0.49874,0.5094,515.3489050865173,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,25,1.9308203221440314,1.9358875047564506,0.49646,0.4828,524.3929409980774,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,26,1.9304001941800117,1.930223187983036,0.49882,0.4728,514.627387046814,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,27,1.9307134535431862,1.927043553173542,0.4973,0.501,521.8195571899414,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,28,1.9306092943787574,1.9273078446388245,0.49678,0.4837,514.769690990448,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,29,1.9301672738194466,1.926256750166416,0.49646,0.5228,521.8271369934082,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,30,1.9298068547844887,1.9283750692605972,0.49734,0.5292,519.6549048423767,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,31,1.929905087006092,1.9244727833271027,0.49642,0.5217,514.5757009983063,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,32,1.9301486577510834,1.9382553634047508,0.49566,0.5026,521.6909396648407,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,33,1.9299931303858757,1.9285418457984924,0.49564,0.4702,515.228321313858,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,34,1.9297461808919907,1.9237938027977943,0.49748,0.5237,521.692275762558,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,35,1.9298658595085143,1.9268932189941406,0.4969,0.4859,515.6475381851196,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,36,1.9293972708702087,1.9342964978218078,0.49718,0.4449,522.5325276851654,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,37,1.929684230160713,1.9264530698657036,0.4986,0.5252,514.9414556026459,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,38,1.9294751236081122,1.926185613811016,0.49546,0.5079,514.9545912742615,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,39,1.9296097307682036,1.927418289542198,0.49504,0.4752,524.949579000473,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,40,1.9294790834307671,1.9304789444804191,0.49358,0.519,514.441163778305,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,41,1.9292977446675301,1.9303887848854064,0.49616,0.4598,521.0587868690491,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,42,1.9292569251060485,1.9279107831716538,0.4953,0.4685,514.7222857475281,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,43,1.9292660091400147,1.9275120928287506,0.49584,0.5294,522.1470539569855,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,44,1.9293263867855073,1.9258624824285506,0.49588,0.5021,514.4590072631836,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,45,1.9291790587544442,1.927363942205906,0.4964,0.5252,519.4209299087524,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,46,1.9289877438545227,1.925333379805088,0.495,0.5152,515.8409457206726,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,47,1.9287641369104385,1.9243294548392296,0.49392,0.5044,518.069296836853,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,48,1.929051506602764,1.9291720058917998,0.49514,0.5402,522.7239196300507,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,49,1.9289983767747878,1.9236099020838737,0.49528,0.5334,517.2134506702423,1.9284581100344658,0.4646
MNIST,VQC_angle_list,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.1,5,50,6,50,1.9288413528442383,1.9321392458677291,0.49548,0.4583,517.0112171173096,1.9284581100344658,0.4646
