Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,1,2.2658913520812987,2.215333898305893,0.16094,0.2769,493.28524804115295,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,2,2.1658234115600585,2.1094694246053693,0.38062,0.4789,493.76996183395386,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,3,2.0560206540465353,1.9961017340421676,0.52992,0.559,505.48089122772217,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,4,1.9448019975543023,1.8866770378351212,0.5689,0.5745,494.2957510948181,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,5,1.8384584630846976,1.7810700882077217,0.5823,0.5826,500.6918342113495,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,6,1.7318359372437,1.67364903190732,0.58322,0.5794,495.2406270503998,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,7,1.630784284156561,1.5794564801752566,0.58294,0.5873,493.62384247779846,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,8,1.5445406356394291,1.4998053303360939,0.59664,0.6059,500.2243835926056,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,9,1.470460415971279,1.4310433652997017,0.61656,0.6213,493.82238960266113,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,10,1.4055753215312958,1.370205026090145,0.63272,0.6419,506.0466387271881,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,11,1.347716515377164,1.3155068126022815,0.64934,0.6583,494.2122688293457,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,12,1.2954176687717438,1.2655387921780348,0.66798,0.6783,499.42163920402527,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,13,1.2478684533804656,1.2202297841012477,0.68682,0.6944,495.89450192451477,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,14,1.204372757551074,1.1783092797994614,0.70132,0.7114,494.0096743106842,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,15,1.1643257526904345,1.1395761435627938,0.71556,0.7277,501.28308868408203,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,16,1.1274223697066308,1.1037717229723931,0.73082,0.7364,494.40242767333984,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,17,1.0932938750207424,1.0709990911483764,0.74114,0.7493,505.23888087272644,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,18,1.0617887465372682,1.0401027619838714,0.75258,0.762,500.54928374290466,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,19,1.0325901630103589,1.011295441120863,0.76236,0.7738,493.6686749458313,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,20,1.005553601399064,0.9850192927718162,0.77198,0.7795,503.57240653038025,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,21,0.980388698412478,0.9605442425981164,0.77936,0.7883,493.85606718063354,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,22,0.9570611913099885,0.9377426457926631,0.78686,0.795,505.96122694015503,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,23,0.9353623506337404,0.9166586324423551,0.79286,0.7984,493.68979144096375,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,24,0.9150997998341918,0.8975356630086899,0.79796,0.8048,493.65919756889343,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,25,0.8961237688168884,0.8785824547931552,0.80372,0.8094,498.9305636882782,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,26,0.8784024198815227,0.8610221639201046,0.80818,0.8116,493.9069483280182,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,27,0.8617580595657229,0.845169991388917,0.81184,0.8151,501.2716951370239,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,28,0.8460781449869275,0.8297664888426661,0.81566,0.8207,496.3142523765564,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,29,0.8312055401861668,0.8150432101115584,0.82088,0.8239,501.0837633609772,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,30,0.8172357963949441,0.8015863927826286,0.82434,0.8264,493.1053612232208,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,31,0.8040166637092829,0.7900942965745926,0.82736,0.8292,494.3552074432373,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,32,0.791436745479703,0.7768351792134345,0.83016,0.8338,506.6850514411926,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,33,0.7794639100581408,0.7652492142617703,0.834,0.8352,493.7740054130554,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,34,0.7680869455456734,0.7543739598914981,0.83628,0.8383,501.19580006599426,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,35,0.7572613773658872,0.7440808405280113,0.8392,0.8387,496.0707108974457,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,36,0.7470122039161623,0.7343440943062306,0.84078,0.8452,494.02647376060486,0.6412201574966312,0.859
MNIST,dressed_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,37,0.7371336975440383,0.7255102851167321,0.84364,0.8434,494.6131908893585,0.6412201574966312,0.859
