Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,1,0.3016780741743976,0.3744946435613092,0.9147,0.8956,536.2593369483948,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,2,0.2983148909580428,0.3750985428028507,0.91434,0.8948,528.6666307449341,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,3,0.2979472082959488,0.38127701333526054,0.91374,0.8957,532.1533336639404,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,4,0.29752561188256366,0.3760119840209372,0.91532,0.8944,535.41832280159,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,5,0.2972365809533745,0.37116617712925654,0.91496,0.8954,528.7587950229645,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,6,0.2974913395236712,0.37069993862160483,0.91518,0.8962,530.7171454429626,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,7,0.2962379372925032,0.36793097791972107,0.91522,0.8971,529.4383647441864,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,8,0.29737502476528754,0.3716181753121782,0.91534,0.8954,535.0266044139862,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,9,0.2978367401773343,0.37611712832940974,0.9148,0.8952,528.0809936523438,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,10,0.29712996471556835,0.3764671863352414,0.91458,0.8925,540.5892572402954,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,11,0.2972179101507063,0.36589104516524823,0.9153,0.8995,528.257550239563,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,12,0.2973866779604927,0.37561264989036136,0.91422,0.8967,536.7346773147583,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,13,0.29711788209435763,0.36485809708456507,0.91576,0.8989,529.2494184970856,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,14,0.2971411307084607,0.37498180230217987,0.91554,0.8937,529.3026459217072,0.36454585947957824,0.8956
MNIST,dressed_quantum_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.01,5,50,6,15,0.2967433143785107,0.37298997583054005,0.91546,0.8956,535.6256685256958,0.36454585947957824,0.8956
