Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,1,1.2064737752735615,0.6210738542973995,0.72452,0.8613,4.452300310134888,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,2,0.5150386467352509,0.4349360357373953,0.87282,0.8874,4.443015098571777,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,3,0.4084159298060462,0.37180164161231366,0.89206,0.9014,4.46512246131897,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,4,0.36076037097964436,0.3383440896105021,0.9021,0.9079,4.446173667907715,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,5,0.33244652474764735,0.31770570562873035,0.90916,0.9125,4.443371772766113,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,6,0.31307345627211036,0.3020489175617695,0.9134,0.9176,4.437559127807617,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,7,0.2991195817464963,0.29193696296215055,0.917,0.9193,4.4836156368255615,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,8,0.2883982275666669,0.28212060321122406,0.9189,0.9222,4.486469984054565,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,9,0.27903551369057966,0.27673825523490087,0.92168,0.9215,4.522961139678955,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,10,0.2725450359049253,0.2731095140455291,0.92344,0.9236,4.447235345840454,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,11,0.2663656258206349,0.2653833639868535,0.9253,0.9253,4.460059881210327,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,12,0.2612468212151434,0.26074517716560514,0.92652,0.9263,4.458533525466919,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,13,0.2562211264428217,0.258962255661143,0.92756,0.9274,4.4982523918151855,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,14,0.25228484815633856,0.2576326836112421,0.9288,0.9258,4.448876857757568,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,15,0.24866397401038556,0.2524464180916548,0.92938,0.9274,4.444607496261597,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,16,0.24528134153205902,0.2524302721386775,0.93046,0.9289,4.5183470249176025,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,17,0.2422361962394789,0.2497741845212877,0.93092,0.929,4.468964338302612,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,18,0.23926513712911401,0.24898540565965233,0.93156,0.9302,4.4991233348846436,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,19,0.23651894574756735,0.24760931396763772,0.93256,0.9294,4.487959861755371,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,20,0.23399706472195686,0.24412714590830728,0.93384,0.9292,4.46059775352478,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,21,0.232256850419892,0.2417772268934641,0.93392,0.9288,4.491137981414795,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,22,0.22971092788793612,0.2399567081471905,0.9345,0.9304,4.485092639923096,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,23,0.2273181832546834,0.2424227572560776,0.93572,0.9282,4.429906845092773,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,24,0.22573797793663106,0.24064102266950066,0.93638,0.9291,4.441833257675171,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,25,0.22398545922035118,0.23833612745138816,0.9361,0.9293,4.495354175567627,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,26,0.22252008652407676,0.23602471833245364,0.93662,0.9313,4.578681707382202,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,27,0.2206064622320002,0.24013006326416508,0.93758,0.932,4.562415361404419,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,28,0.21935982014043257,0.23400922743207775,0.93772,0.9319,4.477213621139526,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,29,0.21757528126586695,0.2345078034469625,0.93798,0.9338,4.497180938720703,0.22610039265092927,0.9315
MNIST,sequent_classical_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.01,5,50,6,30,0.21664690480097196,0.2342075344644254,0.93836,0.9309,4.476121187210083,0.22610039265092927,0.9315
