Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,1,2.1278215578317643,2.064827779054642,0.28052,0.3394,523.3464598655701,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,2,2.0517909261107445,2.0380103065371515,0.35392,0.3667,522.9805972576141,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,3,2.0288414082407953,2.0153163922429083,0.36778,0.3757,529.2096846103668,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,4,2.0052693088531495,1.9905852877497674,0.3991,0.4384,522.5240542888641,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,5,1.9824925869226455,1.9691484744548797,0.45046,0.4606,534.44060754776,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,6,1.9631709950208664,1.9515246430635451,0.44102,0.4308,522.9008347988129,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,7,1.9473070682287217,1.9378512000441552,0.42512,0.4318,528.8179376125336,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,8,1.9348028026223183,1.9270667263269425,0.43716,0.4434,524.0565729141235,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,9,1.9252826268792151,1.9195353616476059,0.44456,0.445,522.434515953064,1.8631800594329835,0.4948
MNIST,sequent_quantum_list,0,0.001,64,500,Sigmoid(),Sigmoid(),0,Sigmoid(),0.001,5,50,6,10,1.9181628235578536,1.9132003940343856,0.44688,0.4461,522.9988746643066,1.8631800594329835,0.4948
