Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,Epoch,Train_Loss,Validation_Loss,Time,Test_Loss
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,0.019656218047777656,0.0010759023218415678,2.4993362426757812,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,0.0003108400029304903,0.0010758958358007174,2.0480616092681885,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,0.00031083058479513664,0.001075835544693594,1.9963781833648682,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,0.00030807077382147936,0.0010559447942456851,2.1379001140594482,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,0.00029067966358949587,0.0008874064258610209,2.118471145629883,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),6,0.0002240035023908907,0.0008590029752037178,1.9408397674560547,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),7,0.0002188048257182042,0.0008501623529009521,2.152893304824829,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,0.00021608509086460496,0.000854993894075354,2.1229047775268555,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,0.0002132610664702952,0.0008976483652368188,2.1736602783203125,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),10,0.00021273584073060192,0.0008646455944205324,2.2195427417755127,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),11,0.00020794847514480353,0.0008512380433579286,2.109772205352783,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),12,0.00020586595746378104,0.0008528780655857796,2.2522144317626953,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),13,0.00020526301264180803,0.0008395478048672278,2.0968408584594727,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),14,0.00020429138824692926,0.0008724984374518195,2.1100761890411377,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),15,0.00020169060266925952,0.0008592404564842582,2.2060365676879883,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),16,0.00020126024992593252,0.0008544719045360883,2.1731512546539307,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),17,0.00020014047622680665,0.0008628414421885585,2.127721071243286,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),18,0.00019997847720514984,0.0008253365491206448,2.0804383754730225,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),19,0.00019965230739035178,0.0008262864030742396,2.0696792602539062,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),20,0.00019901905808364972,0.000836121523558783,2.0580050945281982,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),21,0.00019743487596376023,0.000826689494928966,2.061638355255127,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),22,0.00019837317208293826,0.0008381772247763971,2.061047315597534,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),23,0.0001968384927313309,0.0008072749295582374,2.0857722759246826,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),24,0.00019658319472606916,0.000832087664399296,2.0865561962127686,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),25,0.00019672710423280175,0.0008242493091772,2.0741636753082275,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),26,0.0001965327800862724,0.0008616383202994863,2.04605770111084,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),27,0.00019643294437749623,0.0008188846174937984,2.0799734592437744,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),28,0.00019563682049435254,0.0008243286587918798,2.133291006088257,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),29,0.00019369695162943875,0.0008235355916743477,2.1100358963012695,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),30,0.00019537545198303026,0.0008102090729710956,2.132697820663452,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),31,0.0001956683159514796,0.0008319614417850971,2.2095744609832764,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),32,0.00019662448930709311,0.000831332540915658,2.228297710418701,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),33,0.0001978676523043153,0.0008263670080535425,2.245255947113037,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),34,0.0001936408655504541,0.000802340766415,2.2674262523651123,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),35,0.00019412443145605114,0.000846548295308215,2.2991957664489746,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),36,0.00019758127606473862,0.0008184009324759245,2.872821092605591,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),37,0.00019867650243395475,0.0008245079253489773,9.560072422027588,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),38,0.00019821084355741428,0.0008363586987058322,2.3209168910980225,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),39,0.00020140618694131264,0.000835671873918424,2.356353759765625,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),40,0.0001950481740835433,0.0008138298044602076,2.3193881511688232,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),41,0.00018759871253860183,0.0007852627169340849,2.2856969833374023,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),42,0.00018805786600569263,0.0008116416740231216,2.3074889183044434,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),43,0.00019147169770440087,0.0007875641874658565,2.314181089401245,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),44,0.0001920372061916472,0.0008444619023551544,2.2845990657806396,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),45,0.00019834104679951754,0.0007705499310201655,2.2880373001098633,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),46,0.00019575701579257535,0.0008336787396110594,2.320160150527954,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),47,0.00019517391315700177,0.0008119467361054072,2.252641439437866,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),48,0.00019437006299267523,0.0008613914890835682,2.273864507675171,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),49,0.00019557527831057088,0.0008029127566454311,2.4452743530273438,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),50,0.00018851098524949825,0.0007951133322591583,2.309023141860962,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),51,0.00019607025276733718,0.0008420149177933733,2.3039815425872803,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),52,0.0001913978684169706,0.0008092665086345127,2.3630173206329346,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),53,0.00019487811268966955,0.0008659367138364663,2.2272098064422607,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),54,0.00019844564645124288,0.0008566312280793985,2.315781831741333,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),55,0.0001917085016417938,0.00081267935068657,2.3060195446014404,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),56,0.0001923155183903873,0.000818571544252336,2.304400682449341,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),57,0.00019095931709064946,0.0008299050551528732,2.3210983276367188,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),58,0.00018844875517728116,0.0007775987470522523,2.3549933433532715,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),59,0.00018338203639723362,0.0007799958779166142,2.349057912826538,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),60,0.00018775342059961986,0.0008151005320250988,2.3883848190307617,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),61,0.00019463977281702682,0.0007957583783815305,2.307915449142456,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),62,0.0001863452921291658,0.0007647715985464553,2.328566312789917,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),63,0.0001826704526223087,0.0007723260511023303,2.2850117683410645,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),64,0.00018212410055760606,0.000788281528900067,2.23179030418396,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),65,0.00019539268893034508,0.0008056876862732072,2.227187395095825,0.0005462944350826243
Audio_MNIST,AE_loss_values,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),66,0.0001999023068638053,0.0008144879707445701,2.2302308082580566,0.0005462944350826243
