Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,1,2.301597417841355,2.286637162367503,0.122625,0.12866666666666668,1.938908576965332,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,2,2.279035511314869,2.245457678635915,0.14720833333333333,0.17333333333333334,1.9365415573120117,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,3,2.23584115460515,2.1780504775047302,0.17870833333333333,0.20066666666666666,2.008171558380127,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,4,2.17902157013615,2.1121487273772557,0.19116666666666668,0.19533333333333333,1.9445796012878418,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,5,2.1334922813872494,2.0770363519589106,0.204625,0.19966666666666666,1.9345221519470215,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,2.1052189106245836,2.0674211782217027,0.20733333333333334,0.24733333333333332,1.940474510192871,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,7,2.0863195693741243,2.0584927225112915,0.21441666666666667,0.22866666666666666,1.939643383026123,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,8,2.071983197654287,2.043010483980179,0.226625,0.24433333333333335,1.9341435432434082,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,9,2.056840060527126,2.0176267596085866,0.23091666666666666,0.24566666666666667,1.936002492904663,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,10,2.038911780330042,1.997897139688333,0.24141666666666667,0.25666666666666665,1.933211326599121,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,11,2.0183323007449507,1.990126057267189,0.2517083333333333,0.247,1.949639081954956,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,12,1.997071266931792,1.9561207911372185,0.261,0.27166666666666667,1.9397387504577637,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,13,1.9769168878346681,1.9453989479939142,0.27195833333333336,0.2623333333333333,1.9337339401245117,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,14,1.9595809312413137,1.9218264215191205,0.27541666666666664,0.29133333333333333,1.9473164081573486,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,15,1.944307312592864,1.899499544799328,0.28008333333333335,0.28833333333333333,1.935044288635254,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,16,1.9314724969988069,1.8921957101424536,0.2851666666666667,0.296,1.9337713718414307,1.9059174542625745,0.312
Audio_MNIST,NN_with_compressed_input_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,17,1.9200267890716594,1.8767922748128574,0.28508333333333336,0.30833333333333335,1.94157075881958,1.9059174542625745,0.312
