Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,1,2.1639016380906106,1.6552707077066104,0.2135,0.475,9.571430921554565,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,2,1.6347949461701015,1.108776955472616,0.442,0.655,9.640403032302856,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,3,1.3024640034666906,0.8800393246424695,0.5474583333333334,0.6806666666666666,9.72438645362854,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,4,1.1234409539021242,0.8183857183678386,0.6061666666666666,0.695,10.446085453033447,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,5,1.0092968647507952,0.6791744723846205,0.6434166666666666,0.808,9.610259771347046,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,6,0.9342050979245687,0.6129941431777843,0.6746666666666666,0.8146666666666667,9.644966840744019,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,7,0.8728178052367972,0.5452513907687777,0.6943333333333334,0.832,9.628674268722534,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,8,0.8306130190991098,0.5059262463473715,0.7085833333333333,0.856,9.625074625015259,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,9,0.7842069230765386,0.514344031734751,0.7274166666666667,0.8543333333333333,9.858938455581665,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,10,0.7490652820851886,0.5286466208536876,0.737625,0.8433333333333334,9.724107027053833,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,11,0.7227326139322091,0.4576281039172659,0.7461666666666666,0.8786666666666667,9.630048751831055,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,12,0.7042313652869173,0.5298064957931279,0.7565833333333334,0.8363333333333334,9.62167763710022,0.8674786708101608,0.8526666666666667
Audio_MNIST,NN_with_original_input_list,8,28,28,0.001,128,500,Sigmoid(),Sigmoid(),8,28,28,0.1,5,50,13,0.677994351586555,0.4847150868123087,0.7600416666666666,0.853,9.611617088317871,0.8674786708101608,0.8526666666666667
