Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,1,2.3067919412255287,2.3030782826741536,0.10383333333333333,0.11033333333333334,236.14561009407043,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,2,2.30212900519371,2.2820136137803395,0.11008333333333334,0.205,229.05463695526123,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,3,2.2746188170214494,2.2045510363578797,0.14279166666666668,0.23733333333333334,229.52871870994568,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,4,2.195655438527465,2.060284444292386,0.19125,0.27366666666666667,228.58589792251587,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,5,2.072379731461406,1.8846443957090377,0.25825,0.35833333333333334,234.98988246917725,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,6,1.9345777517557143,1.7502049803733826,0.31475,0.39366666666666666,229.54932236671448,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,7,1.8007332649206123,1.5630101017157236,0.375375,0.4693333333333333,235.82331824302673,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,8,1.6846540864308674,1.4982073972622554,0.41579166666666667,0.4196666666666667,229.5947551727295,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,9,1.582583350048711,1.3315822021663188,0.45970833333333333,0.5546666666666666,229.2885386943817,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,10,1.4970934177500506,1.3453002481659253,0.497625,0.479,229.129878282547,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,11,1.419511339062204,1.1827972795565922,0.5212916666666667,0.6153333333333333,237.78205466270447,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,12,1.3532784368873885,1.1364268068472545,0.5479583333333333,0.6316666666666667,228.8848843574524,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,13,1.295357850190873,1.105931623255213,0.5642083333333333,0.594,238.78419256210327,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,14,1.2437306679226459,1.0996902364492416,0.58225,0.593,229.52882504463196,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,15,1.1969581504841336,0.9854255565752585,0.5963333333333334,0.666,229.38825964927673,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,16,1.1578419529553503,0.9621067846938968,0.6134166666666667,0.6803333333333333,241.63567757606506,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,17,1.1196755777454626,0.9750676305095355,0.6242916666666667,0.639,229.16783571243286,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,18,1.0841420022941506,0.8747594282031059,0.6370416666666666,0.7236666666666667,229.04943466186523,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,19,1.0548743908541898,0.956932925209403,0.6464583333333334,0.651,229.2422342300415,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,20,1.02412743171677,0.8645058653131127,0.6590416666666666,0.6973333333333334,229.06948399543762,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,21,0.9993142071568096,0.8029016347477833,0.6665,0.7526666666666667,234.41425442695618,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,22,0.9702097310839842,0.783075604463617,0.6795833333333333,0.7606666666666667,231.10142612457275,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,23,0.9507944519996333,0.8730760019086301,0.6844583333333333,0.6976666666666667,228.92276811599731,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,24,0.9265647181736616,0.7830933590109149,0.6915,0.73,229.57698488235474,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,25,0.9095276386492576,0.7816364864942928,0.6945416666666666,0.7326666666666667,237.55278062820435,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,26,0.8898032630266001,0.7574230960756541,0.7045416666666666,0.7356666666666667,234.1297070980072,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,27,0.8762340696187069,0.7598315754998475,0.7054583333333333,0.7436666666666667,229.33347916603088,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,28,0.8570201679567496,0.7348372854990884,0.7112916666666667,0.7536666666666667,228.9794044494629,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,29,0.8447965558602785,0.7034349609414736,0.7175833333333334,0.7746666666666666,230.15262460708618,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,30,0.8295694283330037,0.7146272843796759,0.722125,0.761,229.3599889278412,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,31,0.8179714294228082,0.6924754902472099,0.72525,0.777,234.23788332939148,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,32,0.8056601408830223,0.7158383250795305,0.729125,0.763,234.14652609825134,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,33,0.7913498494913802,0.7305630042590201,0.73475,0.759,229.04217338562012,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,34,0.7830515620791508,0.6584133451757953,0.739625,0.8126666666666666,229.16555619239807,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,35,0.7724474748484014,0.7470341597901037,0.7430416666666667,0.7523333333333333,228.94067001342773,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,36,0.7613733617858573,0.6973222449328751,0.7442916666666667,0.7793333333333333,229.15842843055725,0.7947746002022177,0.7743333333333333
Audio_MNIST,dressed_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,37,0.7540833094801443,0.6708809927664697,0.747875,0.8016666666666666,230.19163537025452,0.7947746002022177,0.7743333333333333
