Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,1,1.4695077339808147,1.017315136945496,0.535375,0.653,253.95740914344788,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,2,1.5978316229845708,2.0708641134016217,0.5012916666666667,0.3903333333333333,253.823588848114,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,3,2.5655874757732575,2.297992243617773,0.3702083333333333,0.38766666666666666,255.288090467453,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,4,1.9569246332285304,1.40092194908609,0.40158333333333335,0.5563333333333333,256.2044732570648,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,5,1.5875727018108592,1.3845036245199542,0.487375,0.608,264.8405239582062,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,6,1.5086808939122904,1.270329511364301,0.5074583333333333,0.616,256.7926290035248,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,7,1.428129541426897,1.1817107187211513,0.5365833333333333,0.6606666666666666,252.4005742073059,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,8,1.7258261655581495,1.9669979952772458,0.4429166666666667,0.47733333333333333,254.76350259780884,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,9,1.5875828653061763,1.4825233704348406,0.49216666666666664,0.5996666666666667,256.884286403656,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,10,2.9312935415220758,10.891490300993125,0.35575,0.173,259.93277287483215,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,11,4.357735287239775,3.231013741393884,0.21720833333333334,0.32466666666666666,252.96300196647644,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,12,6.535292409708102,4.665108005007108,0.16008333333333333,0.10233333333333333,254.62885522842407,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,13,4.956628445629031,7.12534559165438,0.196875,0.18533333333333332,252.02511501312256,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,14,6.372488725477209,5.288163029452165,0.16070833333333334,0.20833333333333334,251.47733306884766,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,15,5.754912025059263,11.918369978666306,0.1725,0.148,258.4935779571533,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,16,5.6349744641284145,4.204534716010094,0.18104166666666666,0.21166666666666667,253.60562562942505,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,17,4.936016782820225,5.709240989983082,0.18158333333333335,0.186,254.4434459209442,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,18,4.305967573905364,10.600331534544626,0.23129166666666667,0.033666666666666664,252.10376119613647,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,19,4.81027507600685,5.30016760200262,0.19670833333333335,0.17,261.37758326530457,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,20,4.6727835864573715,5.569898502628009,0.18779166666666666,0.24266666666666667,258.5476553440094,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,21,5.2747564325730005,6.424954273005326,0.18204166666666666,0.185,252.73544836044312,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,22,4.339998051412404,5.870564188758532,0.19641666666666666,0.17,253.9651985168457,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,23,4.568264998160303,5.3818388689557715,0.19620833333333335,0.2,250.48728704452515,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,24,3.9799815782376875,3.652985336681207,0.19966666666666666,0.21733333333333332,262.6084632873535,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,25,5.131866095184038,3.471677268743515,0.18779166666666666,0.16166666666666665,250.47428607940674,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,26,3.7497225029580297,6.517523063917955,0.24241666666666667,0.25366666666666665,257.4072918891907,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,27,4.2074760676609975,5.192683338721594,0.20529166666666668,0.14766666666666667,255.8958282470703,6.533921955128511,0.218
Audio_MNIST,dressed_quantum_list,0,28,28,0.001,128,500,Sigmoid(),Sigmoid(),0,28,28,Sigmoid(),0.1,5,50,6,28,4.286973895815511,6.352046475311121,0.20220833333333332,0.154,255.13673877716064,6.533921955128511,0.218
