Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,1,2.313070616374413,2.297297199169795,0.10320833333333333,0.10733333333333334,2.049227476119995,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,2,2.2908724504709244,2.2292616033554076,0.12666666666666668,0.18166666666666667,2.0662662982940674,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,3,2.2239275528490543,2.080402215917905,0.185375,0.2763333333333333,2.0424232482910156,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,4,2.093196105659008,1.8416693290074666,0.280875,0.43666666666666665,2.064265251159668,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,5,1.9166427141303817,1.5908258012930552,0.372625,0.5533333333333333,2.0602774620056152,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,6,1.7363836789131164,1.391960940733552,0.4585,0.6243333333333333,2.0536587238311768,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,7,1.5746782760384181,1.2283218778297305,0.5165416666666667,0.6573333333333333,2.0565125942230225,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,8,1.4411063387151808,1.1202086965491374,0.5625,0.636,2.0466246604919434,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,9,1.329220459740609,1.0093557592357199,0.5990833333333333,0.694,2.0494368076324463,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,10,1.237840006495826,0.9711215975570182,0.6305,0.6833333333333333,2.0480501651763916,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,11,1.1624428346458202,0.8971113244071602,0.6525,0.722,2.043792247772217,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,12,1.0982247806324934,0.7877248791543146,0.673625,0.818,2.0416033267974854,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,13,1.041627138319115,0.7522616646128396,0.691125,0.8233333333333334,2.0436184406280518,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,14,0.9912558382144198,0.7145411552954465,0.7062083333333333,0.8166666666666667,2.045509099960327,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,15,0.9497710010554874,0.7161594637813202,0.7161666666666666,0.7883333333333333,2.0445470809936523,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,16,0.9113679368184724,0.6930756784233381,0.7279583333333334,0.789,2.0464937686920166,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,17,0.8777016891901924,0.6323134267555239,0.7382916666666667,0.8246666666666667,2.05712628364563,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,18,0.843905811670702,0.602215488080983,0.7476666666666667,0.8413333333333334,2.0475234985351562,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,19,0.8156301542780905,0.6137827173379871,0.7549166666666667,0.8213333333333334,2.046440601348877,0.5334568727396932,0.88
Audio_MNIST,sequent_classical_list,9,28,28,0.001,128,500,Sigmoid(),Sigmoid(),9,28,28,Sigmoid(),0.1,5,50,6,20,0.789449983961919,0.6200402889765488,0.7635416666666667,0.818,2.0436606407165527,0.5334568727396932,0.88
