Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,1,2.1483063423633575,2.0846613480647407,0.27291666666666664,0.38533333333333336,244.63066267967224,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,2,2.0909709567328294,2.0521751433610915,0.397,0.38666666666666666,243.8626446723938,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,3,2.0821569526443877,2.0385473577181497,0.44325,0.469,245.47427940368652,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,4,2.0801129281024138,2.044735542933146,0.4482083333333333,0.41233333333333333,245.62707710266113,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,5,2.0796335107833146,2.039567973415057,0.44704166666666667,0.416,251.85861659049988,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,6,2.0787825839966536,2.032651959458987,0.4508333333333333,0.48833333333333334,249.72326040267944,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,7,2.0790851729363204,2.037549476027489,0.45225,0.5383333333333333,244.25179767608643,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,8,2.0780986578762533,2.0318417239189146,0.4512083333333333,0.46,248.84141206741333,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,9,2.077893153503537,2.0365984080235164,0.45079166666666665,0.43366666666666664,244.0238687992096,2.0277916304270427,0.501
Audio_MNIST,sequent_quantum_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,Sigmoid(),0.1,5,50,6,10,2.077711097151041,2.038371870915095,0.45075,0.462,252.19223809242249,2.0277916304270427,0.501
