Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,1,0.5351375127881901,0.5138601238710166,0.7793983591613491,0.781021897810219,3.0318398475646973,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,2,0.5204836776719489,0.5169212489667601,0.780309936189608,0.7445255474452555,2.749725103378296,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,3,0.5175529938180988,0.5107486080514253,0.7857793983591613,0.7883211678832117,2.827122211456299,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,4,0.5192579359712661,0.537083158962918,0.7958067456700091,0.7226277372262774,2.805793523788452,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,5,0.5186195360494942,0.518744330554113,0.7857793983591613,0.8102189781021898,2.742668628692627,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,6,0.5173355159753001,0.5127350929444724,0.7894257064721969,0.7883211678832117,2.8054358959198,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,7,0.517728033072316,0.5151016327151416,0.804922515952598,0.7591240875912408,2.743152141571045,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,8,0.5176149128563532,0.5152677708733691,0.7930720145852325,0.7883211678832117,2.7912545204162598,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,9,0.5172607309185817,0.5142096446378388,0.7948951686417502,0.7664233576642335,2.7901556491851807,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,10,0.5176700376171139,0.5126427803596441,0.7866909753874203,0.7883211678832117,2.725792646408081,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,11,0.5179569363974394,0.5158664246980291,0.7939835916134913,0.7591240875912408,2.7939391136169434,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,12,0.5184156177472069,0.510373910195636,0.7903372835004557,0.7737226277372263,2.724612236022949,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,13,0.5165376037821079,0.5102730852409001,0.7894257064721969,0.781021897810219,2.788301944732666,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,14,0.5180564760455459,0.5102102036458732,0.8003646308113036,0.781021897810219,2.785121440887451,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,15,0.517358706121349,0.5133140315539646,0.7876025524156791,0.7883211678832117,2.723970651626587,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,16,0.5183906746703925,0.5131313130803352,0.7939835916134913,0.7883211678832117,2.797187089920044,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,17,0.5178566841831399,0.5111211314253563,0.7812215132178669,0.7883211678832117,2.7320187091827393,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,18,0.5173398350028418,0.5147534919916278,0.7930720145852325,0.7664233576642335,2.8138110637664795,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,19,0.515066029950501,0.5226815856286209,0.7930720145852325,0.7518248175182481,2.8046815395355225,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,20,0.5163587031846929,0.5118702782766662,0.7976298997265269,0.781021897810219,2.732666015625,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,21,0.5174656681234225,0.5172288813730226,0.7921604375569735,0.7445255474452555,2.792847156524658,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,22,0.5174199059103007,0.5117977868466481,0.7930720145852325,0.8102189781021898,2.948038339614868,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,23,0.5165383957849379,0.5105875230183566,0.7976298997265269,0.7883211678832117,2.8243496417999268,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,24,0.5166836790366942,0.5148344899181032,0.7821330902461258,0.7956204379562044,2.7645444869995117,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,25,0.5172398942051525,0.5123385275802473,0.7930720145852325,0.8175182481751825,2.8732187747955322,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,26,0.517240930766329,0.5165220022636609,0.7848678213309025,0.7591240875912408,2.7957754135131836,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,27,0.5175358486534143,0.5108604629109376,0.780309936189608,0.781021897810219,2.726989507675171,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,28,0.5163519271091646,0.5107380739093696,0.7894257064721969,0.7737226277372263,2.7905349731445312,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,29,0.5164682216392177,0.5148738120159093,0.7821330902461258,0.7518248175182481,2.8033690452575684,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,30,0.5164997555118533,0.5158218393360612,0.7885141294439381,0.7518248175182481,2.7725250720977783,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,31,0.5166789269925468,0.5190568953534983,0.7939835916134913,0.7445255474452555,8.166314363479614,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,32,0.5174206748754193,0.5158750162507496,0.7876025524156791,0.7591240875912408,2.7460720539093018,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,33,0.515686321877955,0.5206414848348521,0.7894257064721969,0.7445255474452555,2.8169357776641846,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,34,0.5169926079001987,0.5117132095959935,0.7921604375569735,0.8102189781021898,2.806849718093872,0.5392266311075377,0.7536231884057971
BankNote_Authentication,VQC_angle_list,7,0.1,128,500,Sigmoid(),Sigmoid(),7,0.01,5,100,6,35,0.5155073129924298,0.5208070680607845,0.7994530537830447,0.7445255474452555,2.743112802505493,0.5392266311075377,0.7536231884057971
