Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,1,0.21349522045680455,0.23976615280435795,0.967032967032967,0.9473684210526315,1.175910234451294,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,2,0.20401648784076776,0.21792628786020113,0.9736263736263736,0.9824561403508771,1.162752389907837,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,3,0.1981337417613019,0.24944405675980083,0.9758241758241758,0.9473684210526315,1.157780408859253,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,4,0.2031962486741307,0.24562884187489226,0.9802197802197802,0.9473684210526315,1.225508689880371,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,5,0.2018694519014149,0.22725134434407218,0.978021978021978,0.9473684210526315,1.1672606468200684,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,6,0.20078081776807596,0.21608654265863853,0.9758241758241758,0.9649122807017544,1.1630053520202637,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,7,0.19755551169861804,0.21894818988808415,0.9802197802197802,0.9473684210526315,1.1629893779754639,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,8,0.20080221256056985,0.22921558508747503,0.978021978021978,0.9473684210526315,1.2267446517944336,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,9,0.197448282123922,0.21556480019761806,0.9802197802197802,0.9824561403508771,1.1630797386169434,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,10,0.19898952953108065,0.22407219310601553,0.9758241758241758,0.9473684210526315,1.1644186973571777,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,11,0.1980739293190149,0.21472288798867611,0.9802197802197802,0.9824561403508771,1.1648006439208984,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,12,0.19892826823742835,0.22586593554731002,0.9758241758241758,0.9473684210526315,1.2356748580932617,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,13,0.19845544456780612,0.21476286309852935,0.9846153846153847,0.9824561403508771,1.201423168182373,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,14,0.20036548048585326,0.2277103024616576,0.9736263736263736,0.9649122807017544,1.1822235584259033,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,15,0.19911694723171192,0.22036145522929074,0.9802197802197802,0.9473684210526315,1.1584804058074951,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,16,0.19852344757252996,0.21456126816440046,0.9736263736263736,0.9824561403508771,1.2242629528045654,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,17,0.1970748624631337,0.21364718884752507,0.978021978021978,0.9824561403508771,1.1574783325195312,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,18,0.19837194271795042,0.23821865309748733,0.978021978021978,0.9473684210526315,1.1654856204986572,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,19,0.19582455318707687,0.23852159239743886,0.9846153846153847,0.9473684210526315,1.1587579250335693,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,20,0.19788676369321215,0.24106552517204954,0.978021978021978,0.9473684210526315,1.2215189933776855,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,21,0.1961087900531161,0.21513145482330992,0.9802197802197802,0.9824561403508771,1.1572153568267822,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,22,0.19629287490477929,0.22268079195106238,0.978021978021978,0.9473684210526315,1.1614859104156494,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,23,0.1953009131190541,0.23032554827238383,0.9824175824175824,0.9473684210526315,1.159247636795044,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,24,0.19768269376440362,0.21498321807175352,0.978021978021978,0.9824561403508771,1.2241785526275635,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,25,0.19500717979211074,0.22160596099861882,0.9846153846153847,0.9473684210526315,1.1565921306610107,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,26,0.1973035998724319,0.2283120461200413,0.9802197802197802,0.9473684210526315,1.1568191051483154,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,27,0.19509135841668307,0.2574991434812546,0.978021978021978,0.9473684210526315,1.165109634399414,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,28,0.19661507403457557,0.24489783587162955,0.9736263736263736,0.9473684210526315,1.2321734428405762,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,29,0.19559289089271,0.2240614786482694,0.9802197802197802,0.9649122807017544,1.1661901473999023,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,30,0.1965650614801344,0.22747059244858592,0.978021978021978,0.9473684210526315,1.1666574478149414,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,31,0.1993954666368254,0.2171215169262468,0.9758241758241758,0.9649122807017544,1.1687018871307373,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,32,0.19808550293628985,0.22316072672082668,0.9736263736263736,0.9473684210526315,1.226806402206421,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,33,0.1965010573903283,0.21671518343582488,0.9846153846153847,0.9649122807017544,1.1622533798217773,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,34,0.1973126558484612,0.2149496282401838,0.9802197802197802,0.9824561403508771,1.1639363765716553,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,35,0.19597191633758965,0.2181950391907441,0.978021978021978,0.9473684210526315,1.1636607646942139,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,36,0.19622966123151256,0.22716921358777767,0.9802197802197802,0.9473684210526315,1.229196548461914,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,37,0.1948035172708742,0.2166960526976669,0.978021978021978,0.9824561403508771,1.1623494625091553,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,38,0.19781526513807066,0.2260855020661103,0.9802197802197802,0.9473684210526315,1.1632003784179688,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,39,0.19556663242670205,0.2136923291704111,0.9802197802197802,0.9824561403508771,1.1691665649414062,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,40,0.19479099014303186,0.2166033442083158,0.9868131868131869,0.9649122807017544,1.2276101112365723,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,41,0.19635314420684352,0.21520665131117167,0.9802197802197802,0.9824561403508771,1.1618893146514893,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,42,0.19691671365564997,0.22334256297663638,0.9846153846153847,0.9473684210526315,1.1626431941986084,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,43,0.19491484924987124,0.21465372542540231,0.9824175824175824,0.9824561403508771,1.163404941558838,0.1969110801031715,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_quantum_list,7,0.01,32,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.1,5,100,6,44,0.19763619231653737,0.2156659667952019,0.9824175824175824,0.9649122807017544,1.2377307415008545,0.1969110801031715,0.9824561403508771
