Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,1,1.5630729440420865,1.155090642362833,0.49492,0.6401,4.263790845870972,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,2,1.0655118776246906,1.0145420885533094,0.6698,0.6658,4.256940603256226,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,3,0.993512025295198,0.9778679634183646,0.6762,0.6818,4.254282474517822,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,4,0.9660601444099098,0.9679609536491335,0.68356,0.6642,4.254120826721191,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,5,0.9500214339293539,0.9461434617415071,0.68364,0.6684,4.247961521148682,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,0.93569143486768,0.9334595686551184,0.68364,0.6666,4.255464792251587,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,7,0.9182756836876274,0.9078332414478063,0.6817,0.671,4.256330728530884,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,8,0.8820931163780391,0.8629175516925752,0.70492,0.7165,4.251220464706421,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,9,0.8191504438757896,0.7940282147414982,0.75504,0.7732,4.255289316177368,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,10,0.771509280410409,0.7693703744597733,0.77736,0.7809,4.253016471862793,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,11,0.7495547859501094,0.7660349979586899,0.78588,0.7659,4.2521867752075195,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,12,0.7388669261358678,0.7375434018764645,0.78932,0.7957,4.244732618331909,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,13,0.7326448978178203,0.7335548042804003,0.79088,0.7928,4.243011236190796,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,14,0.7286444015456364,0.7318716880567372,0.792,0.7928,4.245903253555298,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,15,0.7255396176692098,0.7330754540637135,0.79432,0.7917,4.244011878967285,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,16,0.7232565328296274,0.731403544306755,0.79424,0.7958,4.245607614517212,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,17,0.7219654945407062,0.7242777781188487,0.79584,0.7993,4.243743658065796,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,18,0.7203773721640929,0.7309792057648301,0.79692,0.7926,4.260473012924194,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,19,0.7195649926653132,0.7252325667254627,0.7968,0.7951,4.245579957962036,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,20,0.7180742891672999,0.725763384629041,0.79792,0.7974,4.241046905517578,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,21,0.7178066801775247,0.7270566042792052,0.79652,0.7942,4.244845390319824,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,22,0.7169444008655846,0.7307040748558938,0.79738,0.7916,4.254066467285156,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,23,0.7163543657377363,0.7221833505351096,0.79854,0.7973,4.2412943840026855,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,24,0.7156731879602186,0.7215605108235031,0.79928,0.7993,4.25157356262207,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,25,0.7145756094031036,0.7296269376091659,0.79844,0.7977,4.244774580001831,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,26,0.7137563405219466,0.721903447214514,0.79862,0.7998,4.250059127807617,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,27,0.7136788511328399,0.722148781457916,0.79918,0.7972,4.271852493286133,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,28,0.7133291786381974,0.7323377212770283,0.79924,0.7936,4.237400770187378,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,29,0.7124075121102854,0.7261690271310508,0.80058,0.792,4.250072956085205,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,30,0.712560749462992,0.7193290758989751,0.80036,0.8021,4.2417449951171875,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,31,0.7120174612134695,0.719662111967802,0.79932,0.7995,4.250540018081665,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,32,0.711651648077555,0.7226345266886055,0.79896,0.7984,4.246568918228149,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,33,0.7113911203738302,0.7318406504914164,0.8014,0.7926,4.241038799285889,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,34,0.7114291702295653,0.722789545093663,0.8003,0.7955,4.24212646484375,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,35,0.7113098933245987,0.7261942863985896,0.80026,0.7993,4.24299693107605,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,36,0.7112439930833876,0.7175189409665763,0.80074,0.8005,4.264618158340454,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,37,0.7106160170204937,0.7222195072919131,0.80202,0.8026,4.2526562213897705,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,38,0.710822801059857,0.7218277120813728,0.80118,0.7971,4.237995386123657,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,39,0.7107304260363803,0.7256312671229244,0.79998,0.7992,4.256102085113525,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,40,0.7101919834362342,0.7295161155462265,0.80188,0.7956,4.244379758834839,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,41,0.7097911737985909,0.7169801719151437,0.80088,0.8022,4.248389720916748,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,42,0.7099913234090433,0.7184394349232316,0.80058,0.8007,4.2389514446258545,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,43,0.7098748789597302,0.7239844418792054,0.80098,0.7953,4.245545148849487,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,44,0.7098980352740735,0.7174243724662811,0.80076,0.8049,4.252101898193359,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,45,0.7096962094590068,0.7153446565456688,0.80188,0.8029,4.242485761642456,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,46,0.7096806313998997,0.728104993345216,0.80212,0.7988,4.263422966003418,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,47,0.7097036993438378,0.7187241389900446,0.80162,0.7988,4.243255853652954,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,48,0.7090595848225058,0.7393604178158566,0.80056,0.7864,4.242931127548218,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,49,0.70965642096214,0.7192427313737572,0.80134,0.8009,4.260122537612915,0.7068906146772206,0.8098
MNIST,NN_with_compressed_input_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,50,0.7092755087252707,0.7189332974739373,0.80124,0.8009,4.2390992641448975,0.7068906146772206,0.8098
