Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,1,0.21044115300988198,0.12624314106434825,0.93526,0.961,20.93070340156555,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,2,0.09021314188926001,0.09279755560774357,0.9715,0.9714,21.321894645690918,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,3,0.05935410330767995,0.09232325260331095,0.98158,0.9717,21.05492901802063,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,4,0.0414299767331169,0.07625341601737186,0.98662,0.9778,21.415555715560913,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,5,0.02993480523259028,0.08133452831041003,0.99032,0.9763,21.420962810516357,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,6,0.020773481140645218,0.07263701240436149,0.99376,0.9797,21.047934532165527,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,7,0.015405599016312652,0.08532801357121424,0.99498,0.9786,21.49528408050537,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,8,0.01053752795962591,0.08194521741300408,0.99658,0.9794,21.417503356933594,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,9,0.007341094041463575,0.07746928745078978,0.99744,0.9813,21.207755088806152,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,10,0.004037240421250899,0.07109206056731662,0.99896,0.9833,21.110902070999146,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,11,0.0015034993177910785,0.07164259373754267,0.99968,0.9843,21.276315450668335,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,12,0.000495670438301525,0.07086349702636334,0.99996,0.9848,21.066527843475342,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,13,0.0003312169121534133,0.07172849739298903,0.99996,0.9846,22.08151340484619,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,14,0.00020813683341955276,0.0727727872268499,1.0,0.984,21.330904006958008,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,15,0.00017535025268918466,0.07319204248353628,1.0,0.9842,21.371669054031372,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,16,0.00015749306057995902,0.07366131942673348,1.0,0.9845,21.29512929916382,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,17,0.00014492633655643203,0.07419587114655923,1.0,0.9842,20.769461393356323,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,18,0.00013397361942613805,0.07436772824761817,1.0,0.9843,20.868279695510864,0.07333062503728213,0.9861
MNIST,NN_with_original_input_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,0.1,5,50,19,0.00012548966240537887,0.07500225999878235,1.0,0.9842,21.563801050186157,0.07333062503728213,0.9861
