Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,1,2.240331006073952,2.217458207130432,0.2571,0.2562,514.2861094474792,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,2,2.2079213973283767,2.196430792808533,0.34998,0.4717,508.7717037200928,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,3,2.1930271665573122,2.1882434186935424,0.45746,0.4622,532.4638164043427,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,4,2.1882964283704758,2.1851886599063874,0.46408,0.4638,507.97963881492615,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,5,2.186211212277412,2.183504689335823,0.45664,0.4465,512.2243144512177,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,6,2.1849180164813995,2.1822862676382067,0.44722,0.4439,507.27376651763916,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,7,2.1841006192207337,2.1815682208538054,0.43884,0.4391,515.9295079708099,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,8,2.1834525844812394,2.1809038276076316,0.43306,0.434,514.166620016098,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,9,2.182921480798721,2.180534178853035,0.42694,0.4337,508.749231338501,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,10,2.182521839249134,2.180346634745598,0.42218,0.4262,521.9671144485474,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,11,2.182205386734009,2.1794267156124114,0.42036,0.412,507.9907991886139,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,12,2.1818943169116976,2.1794391269683837,0.41756,0.418,512.7536976337433,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,13,2.1816675077438354,2.178985283255577,0.41658,0.4101,507.0590035915375,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,14,2.181426487970352,2.1788795233368874,0.41478,0.4143,510.4847297668457,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,15,2.181187701833248,2.1785986405611037,0.4155,0.4207,513.4155516624451,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,16,2.181011971390247,2.1786728286743164,0.41496,0.4215,507.89672207832336,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,17,2.1808038202643396,2.178415611743927,0.415,0.4188,517.5627915859222,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,18,2.1806354221343995,2.1782711614370345,0.41414,0.4237,507.44316029548645,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,19,2.1804731499552727,2.178739344596863,0.41438,0.4257,512.3372337818146,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,20,2.1803621113061906,2.177740292787552,0.41446,0.4209,507.46650648117065,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,21,2.1802728452920914,2.1780570088624955,0.41294,0.4202,509.567001581192,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,22,2.1800983464598658,2.178027709722519,0.4141,0.4149,512.3904006481171,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,23,2.1799954677820206,2.1777134346961975,0.41506,0.4077,507.56479954719543,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,24,2.179967238521576,2.177425370335579,0.41502,0.4166,525.1519823074341,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,25,2.1798871755361557,2.177598082780838,0.41494,0.4217,507.8734049797058,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,26,2.179774098610878,2.177449465274811,0.4163,0.4128,513.2085590362549,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,27,2.179700971055031,2.177475433588028,0.41476,0.4177,507.2033531665802,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,28,2.179641896224022,2.1770879715681075,0.4166,0.4102,510.40834164619446,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,29,2.1795410087108613,2.176875689983368,0.41474,0.4095,513.3638305664062,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,30,2.179442073893547,2.176836804032326,0.41424,0.4165,508.7313508987427,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,31,2.1792877276062965,2.1772224154472353,0.41614,0.4233,518.5216200351715,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,32,2.179241220355034,2.1766632629036904,0.41554,0.4185,508.4178636074066,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,33,2.1791841471910476,2.176598623514175,0.4146,0.4211,513.0824344158173,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,34,2.178938525557518,2.1764946602582933,0.41432,0.4224,507.4761915206909,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,35,2.1788179442048072,2.176436476111412,0.41526,0.415,510.532466173172,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,36,2.17863588180542,2.1763579226732253,0.41328,0.4203,512.9228610992432,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,37,2.1784696817278864,2.1761109244823458,0.41408,0.4205,508.1666622161865,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,38,2.1782412189245224,2.1762010132074354,0.41248,0.4273,516.6781995296478,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,39,2.178034214246273,2.175747406423092,0.41148,0.415,508.38861107826233,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,40,2.17781557867527,2.1754103235006332,0.41102,0.4115,512.8353114128113,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,41,2.177548529756069,2.1753350605368613,0.40926,0.4071,508.3306176662445,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,42,2.1773582532048223,2.175276777148247,0.4091,0.4205,509.55425548553467,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,43,2.177155489110947,2.1750407138466836,0.4098,0.4052,516.253415107727,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,44,2.1770456938385965,2.1749646732807157,0.40784,0.4192,508.45664834976196,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,45,2.1768999029397964,2.174828450679779,0.41078,0.413,516.411205291748,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,46,2.1767772963762284,2.1747119649648665,0.41016,0.4195,507.5103476047516,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,47,2.176695603299141,2.174604375243187,0.4123,0.4176,507.357928276062,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,48,2.1765820076823235,2.1744679167866705,0.4133,0.4229,514.7415246963501,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,49,2.1765451523542403,2.174461042881012,0.41272,0.4243,510.28466987609863,2.174098106622696,0.4159
MNIST,VQC_amplitude_list,1,0.001,64,500,Sigmoid(),Sigmoid(),1,0.01,5,50,6,50,2.1764962467312814,2.174523420393467,0.4149,0.4153,513.2591435909271,2.174098106622696,0.4159
