Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,1,1.7603279213368892,1.2850630290210248,0.5418,0.6956,496.418181180954,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,2,1.0586757819801569,0.9044641638398171,0.74382,0.7751,500.49842715263367,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,3,0.8159502181559801,0.7517052418440581,0.80128,0.827,502.4930908679962,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,4,0.6946844413995743,0.6600106610059738,0.83804,0.8481,497.184522151947,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,5,0.6208006619535387,0.6041422846801578,0.8542,0.8553,502.3091735839844,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,6,0.5702951461471617,0.563303459122777,0.86322,0.8648,496.76895213127136,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,7,0.5330231317445636,0.5428228632193058,0.87146,0.868,497.15006279945374,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,8,0.5063782084017993,0.5162852487191558,0.87554,0.8725,502.70511507987976,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,9,0.48555494764484464,0.49997635290957987,0.87898,0.8766,499.23200368881226,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,10,0.46869036529660224,0.48764428808167576,0.88156,0.8772,502.91387128829956,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,11,0.4552110682357103,0.4758192760776728,0.88418,0.8769,497.12414026260376,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,12,0.44380382625143977,0.46479683053214105,0.88604,0.8815,501.1205565929413,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,13,0.43383140343241394,0.4498484828900546,0.8878,0.8863,501.91704416275024,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,14,0.42525659527890386,0.46211480439081787,0.8884,0.8799,497.57593512535095,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,15,0.4181119809549302,0.4483932878375053,0.89042,0.8823,502.4345920085907,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,16,0.41169910706430674,0.4468015113174915,0.89162,0.8839,499.5070242881775,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,17,0.4055471916971728,0.4388565774727613,0.89214,0.8838,502.3171672821045,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,18,0.39959415680505334,0.42968649669270964,0.89332,0.8879,496.6245687007904,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,19,0.3968506247326732,0.44500293463468554,0.89424,0.8817,497.0917270183563,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,20,0.3920615466026589,0.43381510200258344,0.89452,0.8807,590.5131297111511,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,21,0.38670409037489445,0.43687563990056516,0.8958,0.8835,497.87371945381165,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,22,0.3850478908546269,0.42639035076461734,0.89524,0.8846,504.5176420211792,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,23,0.3815319863129407,0.4206380538390949,0.8973,0.8856,499.4421308040619,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,24,0.3776909132363275,0.41417948980256913,0.89766,0.8895,502.6409194469452,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,25,0.37437994610238823,0.4150262115867808,0.89882,0.8881,496.4909007549286,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,26,0.37207148353848607,0.41337248811032623,0.89866,0.8885,497.1750473976135,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,27,0.3706083240572363,0.41709068680834027,0.89866,0.8856,508.7015526294708,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,28,0.3661330380702391,0.42338978157565,0.89966,0.8832,497.2149679660797,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,29,0.36614025396285577,0.407770030092448,0.89938,0.8893,502.07383584976196,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,30,0.36331180637665095,0.42133702236134557,0.89938,0.8855,497.3089337348938,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,31,0.36155775693366304,0.41284881613682956,0.90026,0.8872,503.12388157844543,0.3907026371967513,0.8911
MNIST,dressed_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,32,0.3590155428862199,0.4130042266771197,0.90122,0.8873,496.0093958377838,0.3907026371967513,0.8911
