Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,1,0.2972883568616118,0.3982126215401804,0.91452,0.8838,537.4043438434601,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,2,0.29586288954201156,0.3764106977521442,0.91522,0.889,533.9063506126404,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,3,0.29571649342486633,0.3704011403452605,0.91606,0.8931,533.0040225982666,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,4,0.29471367193078624,0.37554517439380286,0.91556,0.8893,538.3770740032196,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,5,0.294945956041757,0.3614999155598925,0.9155,0.8951,533.3685104846954,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,6,0.29497580803046003,0.37492484975035767,0.91504,0.8919,543.4704034328461,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,7,0.2947907037443481,0.3787976858317852,0.91518,0.8897,537.660352230072,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,8,0.29527373034341725,0.358204605556326,0.91444,0.8991,538.3818717002869,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,9,0.29420519528293515,0.38932894046930594,0.91536,0.887,535.501471042633,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,10,0.2956579793441109,0.37098308898275717,0.91452,0.8907,538.2792317867279,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,11,0.29469913940092085,0.3559116762812482,0.9154,0.8994,533.662712097168,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,12,0.29362488885335625,0.3789648524778895,0.9154,0.8889,533.5553319454193,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,13,0.29443263163859956,0.3657461809180677,0.91514,0.8939,547.3445518016815,0.3477424825662747,0.9029
MNIST,dressed_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.01,5,50,6,14,0.29433245453999846,0.3670257994013373,0.91526,0.8955,533.7512347698212,0.3477424825662747,0.9029
