Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,1,2.2044949655771258,2.0661925499439238,0.33164,0.4787,4.532131671905518,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,2,1.8994584914803505,1.7226232275366784,0.55218,0.6004,4.5150768756866455,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,3,1.5600553143143654,1.4081676798462868,0.6476,0.69,4.555221796035767,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,4,1.2839809974968432,1.1740975066125392,0.7273,0.7543,4.549855947494507,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,5,1.0843714501708746,1.0077024338692426,0.77384,0.7887,4.511437177658081,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,6,0.9426840471744538,0.8890870036184788,0.7994,0.8059,4.507540225982666,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,7,0.8405668273508549,0.802324799478054,0.816,0.8175,4.582763910293579,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,8,0.7647800208374858,0.7370426881983876,0.82678,0.8258,4.5009496212005615,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,9,0.7066976306602358,0.6861592904999853,0.836,0.8334,4.5110437870025635,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,10,0.6607488129407167,0.6455560729876161,0.84282,0.8412,4.615610361099243,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,11,0.6234911402121186,0.6120601210445166,0.84966,0.8476,4.507906913757324,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,12,0.5925211922697723,0.584166186235845,0.85522,0.8518,4.56118369102478,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,13,0.5663548687838018,0.5603462402410805,0.85978,0.8559,4.56978702545166,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,14,0.5438802891582251,0.5395992084294557,0.86438,0.8606,4.609380722045898,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,15,0.5243454658262432,0.5216442878320813,0.86832,0.8637,4.504199504852295,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,16,0.5070917368151248,0.505654398072511,0.87164,0.8683,4.5346221923828125,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,17,0.4917713536530733,0.4916536044366658,0.87532,0.8707,4.503736972808838,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,18,0.478088558023423,0.47883329272642733,0.87786,0.8736,4.508993625640869,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,19,0.46577567870691416,0.4674367264546454,0.88046,0.8757,4.53919529914856,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,20,0.4546759705513716,0.45700758607313036,0.8827,0.8784,4.522766828536987,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,21,0.4445268891364336,0.4477419298700988,0.88488,0.8809,4.529549837112427,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,22,0.435344257934764,0.43941805099882186,0.8865,0.882,4.578129291534424,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,23,0.42692723601609467,0.431405615452677,0.88802,0.8838,4.539123296737671,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,24,0.4191929368045181,0.42415054072625935,0.89002,0.8848,4.499124050140381,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,25,0.4120302045930177,0.4174922126382589,0.8906,0.886,4.557794809341431,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,26,0.40537076481003315,0.4116460239943117,0.89242,0.8877,4.5442163944244385,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,27,0.3992624934576452,0.40573145778104663,0.89396,0.8885,4.549160718917847,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,28,0.3935920688033104,0.4006038225647062,0.8955,0.89,4.593735694885254,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,29,0.38817677535787226,0.3954888515044004,0.89584,0.8909,4.541405916213989,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,30,0.3832120760455728,0.39071309416368605,0.89696,0.8918,4.5502541065216064,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,31,0.3785602869389579,0.38657704220712186,0.89776,0.893,4.550259113311768,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,32,0.37413457754831764,0.38249534863512963,0.89854,0.8936,4.536896467208862,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,33,0.369969421662204,0.3784431917704642,0.89942,0.894,4.502542018890381,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,34,0.366037375975959,0.37485710735619066,0.9003,0.8946,4.518862724304199,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,35,0.36232127970401196,0.3715112503254786,0.90106,0.8962,4.54068398475647,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,36,0.35877904250249265,0.3683553921645507,0.90198,0.8966,4.541991233825684,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,37,0.3553953343344852,0.36518422621581703,0.9027,0.8987,4.533545017242432,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,38,0.35222069053296,0.3617947217291221,0.90336,0.898,4.516151666641235,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,39,0.34907420582678167,0.3589434357136488,0.90428,0.8994,4.521805763244629,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,40,0.3462106177806854,0.35624377341754737,0.90484,0.9007,4.519714593887329,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,41,0.343362481033802,0.35403889656998216,0.9055,0.9014,4.501218318939209,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,42,0.34065496344156565,0.35142915780004114,0.90618,0.9013,4.500407695770264,0.3187389518888667,0.9119
MNIST,sequent_classical_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.001,5,50,6,43,0.33814991271458567,0.348758624385111,0.90654,0.9024,4.56171178817749,0.3187389518888667,0.9119
