Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,1,2.191412957596779,2.161516537308693,0.27904,0.3037,527.1147949695587,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,2,2.134937185704708,2.119663571059704,0.32656,0.3268,528.2548246383667,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,3,2.1054654324769975,2.0996431428194047,0.33694,0.3376,522.5170066356659,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,4,2.0904927324056626,2.0877874838113786,0.34674,0.3464,523.8207452297211,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,5,2.080202279353142,2.078839659154415,0.35646,0.3525,525.8615319728851,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,6,2.0716944269657134,2.0707200769782066,0.36294,0.3615,528.002432346344,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,7,2.0631252120018004,2.062261911034584,0.3694,0.3653,522.2071726322174,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,8,2.055183055019379,2.0554566679000854,0.37236,0.3712,528.254359960556,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,9,2.0491862139701844,2.0501860588788987,0.3778,0.378,523.3144054412842,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,10,2.0441781272768975,2.0454439414143564,0.37864,0.3746,527.9986455440521,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,11,2.039270887351036,2.040543696641922,0.37844,0.3776,521.2949419021606,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,12,2.0340248357176782,2.035287951648235,0.37982,0.383,524.6761462688446,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,13,2.02834372484684,2.0297284436821936,0.38172,0.3806,527.5420854091644,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,14,2.0219840762972834,2.0228466935753824,0.38598,0.385,523.9089570045471,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,15,2.011450332450867,2.0070968537926674,0.3915,0.3796,542.2961959838867,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,16,1.9885656115651131,1.981331331193447,0.38984,0.3855,523.3487818241119,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,17,1.9672858852267265,1.964368397474289,0.38806,0.3673,531.6086962223053,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,18,1.951957663309574,1.950206509768963,0.3746,0.3717,522.1701838970184,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,19,1.9387704196929931,1.9385433012247086,0.3819,0.3824,525.4697599411011,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,20,1.9288855734229087,1.9303286798000336,0.39176,0.3915,523.3723576068878,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,21,1.9220264535427094,1.924548398911953,0.40308,0.3993,523.5999784469604,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,22,1.9172743241667747,1.9204897374510765,0.41046,0.4106,535.5011012554169,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,23,1.9138730397939683,1.9173468896746635,0.41792,0.415,524.0332355499268,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,24,1.911061921787262,1.9146557674407958,0.41904,0.4177,530.5313963890076,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,25,1.908482731294632,1.9122297310233116,0.42088,0.4189,523.723325252533,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,26,1.9060762979388237,1.9098954140543938,0.42202,0.4184,532.2685852050781,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,27,1.903705800819397,1.9075734534859656,0.42096,0.4228,522.2318177223206,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,28,1.9013158751249313,1.905348218500614,0.42072,0.4212,523.933262348175,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,29,1.8989159557819366,1.9028862063884735,0.42124,0.4176,535.0581803321838,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,30,1.8963845445752143,1.9004023246765136,0.42058,0.4163,523.7699100971222,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,31,1.8938018416643143,1.8978557523489,0.4209,0.4135,528.2299551963806,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,32,1.8911752965688706,1.8952818728685379,0.41982,0.4122,522.736554145813,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,33,1.8885173278331757,1.8927049220204353,0.4168,0.4079,529.4119720458984,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,34,1.8858704230546952,1.8901964231133461,0.41136,0.4022,523.2286021709442,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,35,1.8832559949040413,1.8875833529233932,0.40172,0.382,529.2077193260193,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,36,1.8806488379240036,1.8849681053757668,0.37034,0.348,527.8044147491455,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,37,1.878009359920025,1.8822422397732734,0.34916,0.3361,522.9051201343536,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,38,1.8752655528903008,1.8796064047813414,0.33074,0.3254,531.1547403335571,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,39,1.8723047179341317,1.8762569357156753,0.30788,0.2882,545.3578567504883,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,40,1.8685952081084252,1.871735010921955,0.27886,0.2736,528.6771817207336,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,41,1.863268007850647,1.8654448258876801,0.26842,0.2753,523.0502574443817,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,42,1.855689173078537,1.856878542661667,0.27394,0.2766,534.6483573913574,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,43,1.8466147033333777,1.848141202747822,0.27576,0.2836,528.4773516654968,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,44,1.8384470594525337,1.841282744050026,0.29206,0.3042,522.0026500225067,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,45,1.8326400620818137,1.8367092874646187,0.30648,0.3101,522.2416586875916,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,46,1.8287543532013892,1.8335834918022156,0.30986,0.3105,523.1369104385376,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,47,1.8257018764734267,1.8309258204102516,0.3102,0.3113,525.4022431373596,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,48,1.8229947181344033,1.8283629956245422,0.31406,0.3189,521.0952625274658,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,49,1.8205654066681862,1.826317784667015,0.337,0.3467,531.2126824855804,1.8147643907666207,0.3661
MNIST,sequent_quantum_list,4,0.001,64,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.001,5,50,6,50,1.8185954722881317,1.8246144781708717,0.35876,0.3636,520.7159388065338,1.8147643907666207,0.3661
