Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,1,2.3090409970035157,2.301219353675842,0.10170833333333333,0.12266666666666666,2.0535054206848145,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,2,2.3012507529060047,2.299866658449173,0.10683333333333334,0.12066666666666667,2.000122308731079,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,3,2.2987331282595793,2.2938715740044913,0.11720833333333333,0.119,2.0016396045684814,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,4,2.2931660795708497,2.2833745634555815,0.13166666666666665,0.157,2.001295328140259,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,5,2.281995932807525,2.2653476627667746,0.14508333333333334,0.15166666666666667,2.0028493404388428,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,6,2.263594827800989,2.2350997058550517,0.160125,0.17366666666666666,2.0034711360931396,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,7,2.238684136966864,2.203045408129692,0.17179166666666668,0.204,2.0167958736419678,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,8,2.208919508829713,2.1780904603004454,0.185625,0.185,2.001408100128174,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,9,2.1772577582796413,2.1393730427821476,0.19175,0.204,2.016505718231201,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,10,2.145405157779654,2.1089776982863744,0.19729166666666667,0.195,2.0060620307922363,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,11,2.1126665687312682,2.079120403925578,0.19754166666666667,0.21333333333333335,2.003170967102051,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,12,2.079313753247261,2.0526722337802252,0.200375,0.22633333333333333,2.0008716583251953,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,13,2.0466687720268966,2.0349863469600677,0.21133333333333335,0.233,2.0011560916900635,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,14,2.0181520257890226,2.021480352282524,0.221375,0.20733333333333334,2.0074408054351807,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,15,1.9957325026517112,2.017298948764801,0.22104166666666666,0.21,2.0527124404907227,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,16,1.980174233019352,1.9995366849501928,0.21616666666666667,0.243,2.0019373893737793,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,17,1.968749267657598,2.0375807838638624,0.22091666666666668,0.212,2.0020253658294678,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,18,1.9610882657766342,2.002633004287879,0.21829166666666666,0.22833333333333333,2.02109956741333,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,19,1.9551199826101462,2.0601640087366104,0.22141666666666668,0.23033333333333333,2.029740810394287,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,20,1.9518319396674633,2.0081130265196165,0.22058333333333333,0.219,2.0170066356658936,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,21,1.9472704115013282,2.0092254402240117,0.218625,0.239,2.004236936569214,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,22,1.9446824607501427,2.0139064112305642,0.22316666666666668,0.21833333333333332,2.005925178527832,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,23,1.9430425173292558,2.017644478480021,0.22233333333333333,0.20666666666666667,2.0077502727508545,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,24,1.942003569677472,2.0484066927433013,0.221125,0.20733333333333334,2.002977132797241,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,25,1.9378387716164192,2.0298285740613937,0.22504166666666667,0.24233333333333335,2.0097453594207764,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,26,1.9384136571983497,2.027796194454034,0.229,0.241,2.008183479309082,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,27,1.9370705364147822,2.083065873384476,0.221375,0.21433333333333332,2.007533311843872,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,28,1.9351227349042892,2.034479571779569,0.22595833333333334,0.22966666666666666,2.001861333847046,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,29,1.934654220417142,2.0465402259429295,0.22433333333333333,0.21966666666666668,2.0134429931640625,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,30,1.9341025779893002,2.0380075860023497,0.22341666666666668,0.22366666666666668,2.0007388591766357,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,31,1.932675539404154,2.0452087310949962,0.22279166666666667,0.24966666666666668,2.0014216899871826,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,32,1.9310110210006435,2.048456685145696,0.22829166666666667,0.223,1.9997289180755615,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,33,1.9302982608725627,2.0451755237579348,0.22779166666666667,0.25,2.0001766681671143,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,34,1.9308956764141718,2.045989415049553,0.224125,0.245,2.0030252933502197,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,35,1.9304321553061405,2.050545852780342,0.22458333333333333,0.23033333333333333,2.00797438621521,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,36,1.9289617793137828,2.048507435222467,0.22358333333333333,0.23633333333333334,2.001845121383667,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,37,1.9301846543326975,2.0537705707550047,0.22683333333333333,0.24266666666666667,2.0037038326263428,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,38,1.928638351832827,2.059116715590159,0.22883333333333333,0.252,2.0001814365386963,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,39,1.9272391135121385,2.13826572060585,0.23004166666666667,0.21466666666666667,2.0038442611694336,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,40,1.9270987480630477,2.0709128348032633,0.2285,0.215,2.0015950202941895,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,41,1.927682951365908,2.0623615631461143,0.22979166666666667,0.23133333333333334,2.001020669937134,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,42,1.9250545991957189,2.065002871751785,0.23275,0.22833333333333333,1.9996113777160645,1.9409230173627536,0.23966666666666667
Audio_MNIST,NN_with_compressed_input_list,3,28,28,0.001,128,500,Sigmoid(),Sigmoid(),3,28,28,0.01,5,50,43,1.9257617798447608,2.070246120095253,0.22604166666666667,0.22833333333333333,2.000112295150757,1.9409230173627536,0.23966666666666667
