Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,1,0.50903954741719,0.3466060611239651,0.7956043956043956,0.9122807017543859,0.03750038146972656,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,2,0.23593297146342612,0.1750836342311742,0.9164835164835164,0.9649122807017544,0.03741145133972168,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,3,0.1616368397538151,0.13302389303581758,0.9516483516483516,0.9473684210526315,0.03739666938781738,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,4,0.13826611805911904,0.12003729348642785,0.9582417582417583,0.9473684210526315,0.03739023208618164,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,5,0.11601028191104817,0.09767291070730016,0.9692307692307692,0.9824561403508771,0.03741312026977539,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,6,0.1078801425020364,0.09136205133900308,0.967032967032967,0.9473684210526315,0.03740382194519043,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,7,0.10080340559399881,0.11218257372577985,0.9736263736263736,0.9473684210526315,0.037403106689453125,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,8,0.09676453131916267,0.0836444960318898,0.9648351648351648,0.9298245614035088,0.03742098808288574,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,9,0.08942841767374385,0.08182194673766692,0.9802197802197802,0.9649122807017544,0.03741741180419922,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,10,0.09231866987045997,0.11136560317684423,0.9692307692307692,0.9473684210526315,0.037395477294921875,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,11,0.08701213508918575,0.07998595304231633,0.9824175824175824,0.9473684210526315,0.03742504119873047,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,12,0.08431216664190128,0.08337026261704109,0.9758241758241758,0.9473684210526315,0.03739786148071289,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,13,0.08493097523767194,0.08015296685002875,0.9736263736263736,0.9473684210526315,0.03740239143371582,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,14,0.08115216546114995,0.08445423825545922,0.9802197802197802,0.9473684210526315,0.03740715980529785,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,15,0.07019632747000247,0.08130807285768944,0.9758241758241758,0.9649122807017544,0.03744387626647949,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,16,0.07730335978136121,0.07314720632214296,0.9736263736263736,0.9473684210526315,0.03735542297363281,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,17,0.07356775020201854,0.07372631429155406,0.9758241758241758,0.9649122807017544,0.03733563423156738,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,18,0.07613862747410287,0.0963053632151793,0.978021978021978,0.9649122807017544,0.037360429763793945,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,19,0.0741911146153023,0.06891272050581806,0.9758241758241758,0.9649122807017544,0.037409067153930664,0.08665549968364965,0.9649122807017544
Breast_Cancer_Wisconsin,NN_with_original_input_list,6,0.01,32,500,Sigmoid(),Sigmoid(),6,0.1,5,100,20,0.0715435530774802,0.06980640921137181,0.9736263736263736,0.9824561403508771,0.037384033203125,0.08665549968364965,0.9649122807017544
