Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,1,0.26792005820079595,0.041085397236441314,0.9252747252747253,0.9824561403508771,1.1595423221588135,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,2,0.05851584249163292,0.029341114096735652,0.9846153846153847,1.0,1.1579985618591309,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,3,0.0617000973800384,0.0286645277626935,0.978021978021978,1.0,1.2218170166015625,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,4,0.05317384545764231,0.07265955378227916,0.989010989010989,0.9649122807017544,1.1695289611816406,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,5,0.056147740743504225,0.061202853545342294,0.9824175824175824,0.9824561403508771,1.1629090309143066,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,6,0.0572446047912568,0.052430191724724545,0.9868131868131869,0.9824561403508771,1.1631121635437012,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,7,0.05230822023224971,0.019997940910112096,0.978021978021978,1.0,1.224041223526001,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,8,0.056579945336484895,0.024497903176795757,0.9802197802197802,1.0,1.154228925704956,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,9,0.0539142031636432,0.02966264555059177,0.9868131868131869,1.0,1.155128002166748,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,10,0.05684543401650524,0.09766134331738086,0.9868131868131869,0.9649122807017544,1.1609666347503662,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,11,0.0538536069177828,0.019569531855124393,0.989010989010989,1.0,1.2265682220458984,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,12,0.052023449497857734,0.03002642149722465,0.9824175824175824,1.0,1.1604852676391602,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,13,0.04616796900230399,0.021364025814507744,0.989010989010989,1.0,1.1599347591400146,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,14,0.05303362027420867,0.03100164852507429,0.9824175824175824,0.9824561403508771,1.1725084781646729,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,15,0.05564468487048813,0.028892565028447854,0.9824175824175824,1.0,1.2662761211395264,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,16,0.05133785709232133,0.021126955921716758,0.989010989010989,1.0,1.1592772006988525,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,17,0.05117231472640024,0.019375073249664223,0.9846153846153847,1.0,1.1610257625579834,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,18,0.048872050698744236,0.05575671501298386,0.989010989010989,0.9824561403508771,1.1618256568908691,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,19,0.050308489005316745,0.06400465698945418,0.9868131868131869,0.9824561403508771,1.2244257926940918,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,20,0.04864956675417808,0.04871617559253712,0.9802197802197802,0.9824561403508771,1.1595144271850586,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,21,0.05273837696954065,0.048730375112459194,0.989010989010989,0.9824561403508771,1.1607904434204102,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,22,0.04923276535035776,0.05962721619646784,0.9868131868131869,0.9824561403508771,1.1634175777435303,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,23,0.05407953392224934,0.05786002886899248,0.978021978021978,0.9824561403508771,1.2257707118988037,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,24,0.049133862356449336,0.020490148507074958,0.9824175824175824,1.0,1.158860445022583,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,25,0.05050503458867072,0.03552366849933669,0.9868131868131869,0.9824561403508771,1.1588082313537598,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,26,0.05239456350938161,0.044655974076145834,0.9846153846153847,0.9824561403508771,1.1591148376464844,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,27,0.05081431961594057,0.022486828011256364,0.9846153846153847,1.0,1.2225773334503174,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,28,0.05617362343492549,0.030113710881937948,0.9846153846153847,0.9824561403508771,1.1605241298675537,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,29,0.05168052938697056,0.04907897168672398,0.989010989010989,0.9824561403508771,1.1592614650726318,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,30,0.0518524953724489,0.041530693701484746,0.9846153846153847,0.9824561403508771,1.1599338054656982,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,31,0.04919055262311863,0.02986546443456686,0.9824175824175824,1.0,1.2236480712890625,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,32,0.04765360671732636,0.03275404122796955,0.9868131868131869,0.9824561403508771,1.1575803756713867,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,33,0.04997725115662344,0.046480939186406896,0.989010989010989,0.9824561403508771,1.1580133438110352,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,34,0.05149858318503363,0.03499959837318512,0.9868131868131869,0.9824561403508771,1.1618599891662598,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,35,0.04756826098277848,0.05419728848797253,0.9868131868131869,0.9824561403508771,1.1601054668426514,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,36,0.05067322880367411,0.024151520384884065,0.989010989010989,1.0,1.2214460372924805,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,37,0.05066374063912068,0.026652837901278155,0.9868131868131869,1.0,1.1589233875274658,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,38,0.04905230113033942,0.04827812972903382,0.989010989010989,0.9824561403508771,1.1584968566894531,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,39,0.04862963420640841,0.022967411681045696,0.989010989010989,1.0,1.162050485610962,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,40,0.05063192429568537,0.031444339032628034,0.9824175824175824,0.9824561403508771,1.2251622676849365,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,41,0.045627291758217246,0.020399369174826956,0.9846153846153847,1.0,1.1526379585266113,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,42,0.04935575270152825,0.04960092758604636,0.989010989010989,0.9824561403508771,1.1527082920074463,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,43,0.04886431744879311,0.03146199643072721,0.9868131868131869,0.9824561403508771,1.1538302898406982,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,44,0.050299282908531744,0.0331325158282804,0.9846153846153847,0.9824561403508771,1.2154381275177002,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,45,0.04659452849831483,0.07802309616052203,0.989010989010989,0.9649122807017544,1.1534802913665771,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,46,0.05034293009481229,0.06550830156182903,0.9868131868131869,0.9649122807017544,1.1527295112609863,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,47,0.049269324039034855,0.03893387766571291,0.9868131868131869,0.9824561403508771,1.154102087020874,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,48,0.04521272526088089,0.08843151827163079,0.9868131868131869,0.9649122807017544,1.3798847198486328,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,49,0.05071660408741861,0.04277267465020709,0.989010989010989,0.9824561403508771,1.1595242023468018,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,50,0.048940675697739716,0.03520192496944219,0.9868131868131869,0.9824561403508771,1.1564159393310547,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,51,0.05229466000877597,0.05320373650797512,0.9868131868131869,0.9824561403508771,1.1627180576324463,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,52,0.04865703443647362,0.02730665774403238,0.9868131868131869,1.0,1.2212564945220947,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,53,0.04943024523167328,0.039647420195315294,0.989010989010989,0.9824561403508771,1.1547527313232422,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,54,0.047234682077292485,0.04181839655390369,0.9868131868131869,0.9824561403508771,1.1608202457427979,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,55,0.049242002405942634,0.04165682529932574,0.989010989010989,0.9824561403508771,1.166792631149292,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,56,0.05129980659726393,0.03242816047828743,0.989010989010989,0.9824561403508771,1.2244608402252197,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,57,0.04797604690183716,0.035049240284583026,0.9846153846153847,0.9824561403508771,1.1658103466033936,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,58,0.048347742532784184,0.03602715913643407,0.9868131868131869,0.9824561403508771,1.1634502410888672,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,59,0.04707969672889014,0.032652080210187194,0.9868131868131869,0.9824561403508771,1.1788296699523926,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,60,0.04989412293870483,0.039651446767445454,0.9868131868131869,0.9824561403508771,1.2170042991638184,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,61,0.047851812596091295,0.04134315976325684,0.989010989010989,0.9824561403508771,1.1534168720245361,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,62,0.04761962725647858,0.030329891925743015,0.989010989010989,0.9824561403508771,1.153878927230835,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,63,0.04941183888669392,0.034609916471884376,0.9868131868131869,0.9824561403508771,1.1574435234069824,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,64,0.04794974770182027,0.029922466823144964,0.9868131868131869,0.9824561403508771,1.2193498611450195,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,65,0.04788536757453355,0.02274738012388218,0.9868131868131869,1.0,1.169287919998169,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,66,0.04787383164959745,0.02778183223205831,0.9846153846153847,1.0,1.2071378231048584,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,67,0.049348359984303515,0.04655339699361081,0.9868131868131869,0.9824561403508771,1.1589224338531494,0.12168476636431654,0.9122807017543859
Breast_Cancer_Wisconsin,dressed_quantum_list,4,0.01,32,500,Sigmoid(),Sigmoid(),4,Sigmoid(),0.1,5,100,6,68,0.049067680123498776,0.04788955485064275,0.989010989010989,0.9824561403508771,1.2283191680908203,0.12168476636431654,0.9122807017543859
