Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,1,0.6624234665881147,0.710323829399912,0.6263736263736264,0.543859649122807,0.03757882118225098,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,2,0.6478049398123563,0.6794975807792262,0.6285714285714286,0.543859649122807,0.03741645812988281,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,3,0.6226912052421779,0.6407619704279983,0.6329670329670329,0.543859649122807,0.03738832473754883,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,4,0.5831226277482379,0.598296652760422,0.6923076923076923,0.6140350877192983,0.0374453067779541,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,5,0.5151725788037855,0.5322722630542621,0.7934065934065934,0.7719298245614035,0.03737902641296387,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,6,0.42926464843881,0.4591978992286481,0.8923076923076924,0.8245614035087719,0.037375688552856445,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,7,0.35055541337191404,0.39150415334785194,0.9164835164835164,0.9298245614035088,0.03737378120422363,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,8,0.2923338832436027,0.3440971194129241,0.9340659340659341,0.9473684210526315,0.03739786148071289,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,9,0.2458581649340116,0.30350131476134584,0.9384615384615385,0.9122807017543859,0.03745222091674805,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,10,0.215948950949606,0.3130036341516595,0.9428571428571428,0.8947368421052632,0.037407875061035156,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,11,0.19700794458225535,0.2626423825297439,0.9252747252747253,0.9473684210526315,0.03731942176818848,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,12,0.17781641491903707,0.2431218811033065,0.945054945054945,0.9649122807017544,0.0373537540435791,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,13,0.16528741286678628,0.22544010859309582,0.9406593406593406,0.9649122807017544,0.0373532772064209,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,14,0.15476072008547548,0.21174367412663342,0.945054945054945,0.9649122807017544,0.03733205795288086,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,15,0.14403889164492323,0.20410262858658507,0.9538461538461539,0.9649122807017544,0.0373077392578125,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,16,0.1367105485277844,0.19194780780296578,0.9582417582417583,0.9649122807017544,0.03732585906982422,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,17,0.12923834610034476,0.2107008415878865,0.967032967032967,0.9649122807017544,0.03730154037475586,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,18,0.1250154120069775,0.178244738202346,0.967032967032967,0.9649122807017544,0.03738546371459961,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,19,0.1210921291507535,0.171633839084391,0.9736263736263736,0.9649122807017544,0.037316322326660156,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,20,0.11675503738429192,0.16537893674614138,0.9692307692307692,0.9649122807017544,0.03735971450805664,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,21,0.11289953682469306,0.17157489607077941,0.9626373626373627,0.9649122807017544,0.0373837947845459,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,22,0.10827117772506815,0.16028959689694539,0.9604395604395605,0.9649122807017544,0.03740835189819336,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,23,0.10626644104882911,0.16350652584642694,0.967032967032967,0.9649122807017544,0.03744864463806152,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,24,0.10246635320504288,0.14954380691051483,0.9626373626373627,0.9649122807017544,0.03731870651245117,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,25,0.10123559828479212,0.14596780095445483,0.9714285714285714,0.9649122807017544,0.03734993934631348,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,26,0.09842569706961513,0.14346192401360003,0.9758241758241758,0.9649122807017544,0.0373988151550293,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,27,0.09539155421553405,0.1476045544340945,0.9714285714285714,0.9649122807017544,0.03740715980529785,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,28,0.09436433306884962,0.1405920772078006,0.9736263736263736,0.9649122807017544,0.03740644454956055,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,29,0.09194443673970035,0.13620614443431822,0.9736263736263736,0.9649122807017544,0.037371158599853516,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,30,0.09109024308458134,0.14233362370807873,0.9824175824175824,0.9649122807017544,0.037470102310180664,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,31,0.08595863554196861,0.1461516800091455,0.9692307692307692,0.9649122807017544,0.03733038902282715,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,32,0.08771167941145845,0.13266705541887827,0.9714285714285714,0.9649122807017544,0.03732156753540039,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,33,0.08414015348151244,0.15283726757032828,0.9758241758241758,0.9649122807017544,0.03729867935180664,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,34,0.08364570007280825,0.14057956550989234,0.9736263736263736,0.9649122807017544,0.0373077392578125,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,35,0.08178428257559682,0.13029159510736926,0.9802197802197802,0.9649122807017544,0.037345170974731445,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,36,0.08186661808976678,0.13851724971870058,0.9802197802197802,0.9649122807017544,0.037424325942993164,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,37,0.08097775265124145,0.13106857214057654,0.9758241758241758,0.9649122807017544,0.037409067153930664,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,38,0.0798620438832626,0.12508775609169612,0.978021978021978,0.9649122807017544,0.03728818893432617,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,39,0.07965664764108894,0.12941705386497473,0.9758241758241758,0.9649122807017544,0.03730654716491699,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,40,0.07582013726178147,0.12364654524023072,0.9758241758241758,0.9649122807017544,0.03730440139770508,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,41,0.07662212021986615,0.13156926514286743,0.978021978021978,0.9649122807017544,0.037339210510253906,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,42,0.07507147120854275,0.1325664234984862,0.9868131868131869,0.9649122807017544,0.03828597068786621,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,43,0.07485213455396121,0.1264384220468632,0.9824175824175824,0.9649122807017544,0.03735232353210449,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,44,0.07466247864067554,0.1269037243746744,0.978021978021978,0.9649122807017544,0.03734898567199707,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,45,0.07419393849072999,0.12334866890389669,0.9824175824175824,0.9649122807017544,0.03734588623046875,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,46,0.07212766555744315,0.13842331289656853,0.978021978021978,0.9649122807017544,0.037346839904785156,0.06325375336771749,0.9824561403508771
Breast_Cancer_Wisconsin,sequent_classical_list,1,0.01,32,500,Sigmoid(),Sigmoid(),1,Sigmoid(),0.1,5,100,6,47,0.0726545860243777,0.1282516281169496,0.978021978021978,0.9649122807017544,0.03734874725341797,0.06325375336771749,0.9824561403508771
