Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,Epoch,Train_Loss,Validation_Loss,Time,Test_Loss
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),1,0.06287120132803917,0.0552870773434639,6.498911380767822,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),2,0.05120649325609207,0.048780990874767304,8.160963773727417,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),3,0.04538019046068192,0.04405802716612816,8.241470098495483,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),4,0.04227838546514511,0.04144544374346733,7.7765138149261475,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),5,0.040964799913167954,0.0418691558778286,7.837432146072388,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),6,0.04015216526389122,0.0405795597076416,8.15177583694458,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),7,0.0392849631690979,0.03916853630542755,7.912570238113403,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),8,0.038947171860933306,0.03871640522480011,7.880199193954468,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),9,0.03836717532038689,0.03901135210990906,7.813217401504517,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),10,0.03864497378945351,0.03781973214149475,7.855600118637085,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),11,0.03843077217578888,0.03847228158712387,7.933619022369385,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),12,0.03797327933549881,0.03791888693571091,7.920159578323364,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),13,0.0375043899667263,0.037423993682861326,7.978966236114502,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),14,0.03690031491279602,0.036277715492248536,7.9867987632751465,0.02109669273495674
MNIST,AE_loss_values,7,0.001,64,500,Sigmoid(),Sigmoid(),15,0.03695144158363342,0.03674271065592766,8.097195625305176,0.02109669273495674
