Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,1,1.9687916289508343,1.4444350192546844,0.27186,0.4866,4.234019994735718,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,2,1.1680667176187038,1.039854447826743,0.58418,0.6359,4.226471662521362,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,3,0.9964974092245102,0.9579933024272322,0.64972,0.6698,4.225951910018921,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,4,0.9337344710201025,0.9062048362866044,0.67376,0.684,4.22432279586792,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,5,0.9014147424265743,0.889890462294221,0.68718,0.6933,4.227610111236572,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,6,0.8835979436568916,0.8735735463444143,0.6954,0.6966,4.231545925140381,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,7,0.8729508943691849,0.8578556908927858,0.70252,0.7075,4.2296669483184814,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,8,0.8655267273046077,0.8546209981385618,0.70934,0.7155,4.226569414138794,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,9,0.8599437292486429,0.8508837732374668,0.71404,0.7168,4.225762605667114,0.7805239675566554,0.7985
MNIST,NN_with_compressed_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.01,5,50,10,0.8549873803950846,0.8533416943624615,0.71916,0.7121,4.222020149230957,0.7805239675566554,0.7985
