Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,1,0.21226532325993902,0.15836502421321166,0.93476,0.9502,20.033814191818237,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,2,0.08908394050982095,0.10114999520877069,0.97304,0.9682,20.01206922531128,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,3,0.05837915291053135,0.09666585456281877,0.98198,0.9727,20.35973310470581,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,4,0.04089486677606955,0.08531856086693554,0.9865,0.9757,20.047678232192993,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,5,0.028084781797418697,0.10633838551073568,0.99102,0.9725,20.109909296035767,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,6,0.02076418169046704,0.09052876175996394,0.9932,0.9749,20.385259866714478,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,7,0.014115668386147749,0.10596301508951124,0.99532,0.9763,20.170194625854492,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,8,0.00946333248415823,0.09634019766568726,0.99702,0.9767,19.995368480682373,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,9,0.005330008053937156,0.08392052419684597,0.99842,0.9812,20.33225965499878,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,10,0.0029172436591001867,0.08145998367244217,0.99924,0.9826,20.018414974212646,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,11,0.001339693055346807,0.08469669107165466,0.99976,0.9819,20.081088304519653,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,12,0.0009516592527250496,0.08242792019305993,0.99976,0.9823,21.09986662864685,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,13,0.000294268883182842,0.08358085042663625,1.0,0.9823,20.07893133163452,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,14,0.00021574060719963412,0.08468467026029812,1.0,0.9829,20.146777391433716,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,15,0.0001848812039467383,0.08504528502839355,1.0,0.9827,20.365206480026245,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,16,0.00016568487390946593,0.08561637275454713,1.0,0.983,20.11565065383911,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,17,0.0001492567286251532,0.08611072169217286,1.0,0.9831,20.12428379058838,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,18,0.00014019113372667924,0.086466601239301,1.0,0.9833,20.49344754219055,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,19,0.0001300987661809284,0.08727672899165971,1.0,0.9831,19.994831562042236,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,20,0.00012276436023190093,0.08744067765879614,1.0,0.9829,19.998603105545044,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,21,0.0001149501528830836,0.08752134715071352,1.0,0.983,20.38243532180786,0.08162891646990085,0.9844
MNIST,NN_with_original_input_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,0.1,5,50,22,0.00010981666248757804,0.08788574595519939,1.0,0.983,20.125176191329956,0.08162891646990085,0.9844
