Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,1,2.2312090552330015,2.203891281962395,0.3269,0.4055,524.7695181369781,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,2,2.2013299274683,2.1979931737184524,0.3625,0.338,517.540604352951,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,3,2.1982136577129365,2.196120833039284,0.34804,0.3399,508.2222137451172,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,4,2.196590901303291,2.1946984903812408,0.34802,0.3509,512.8518359661102,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,5,2.1949826073408127,2.193365414619446,0.35066,0.365,507.13086223602295,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,6,2.1938111870765686,2.1925146421194075,0.35734,0.3673,509.4613835811615,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,7,2.1930159739255903,2.192139872074127,0.36112,0.3751,513.0526340007782,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,8,2.1924127304553984,2.191809552192688,0.37564,0.3802,508.8294289112091,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,9,2.1920418311595915,2.1914467186927795,0.38322,0.3917,521.7643358707428,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,10,2.1917844352722167,2.1913789460659028,0.39102,0.3841,508.7512125968933,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,11,2.1916177401065826,2.191121234536171,0.38886,0.4049,513.4335868358612,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,12,2.1914785035133364,2.190986509561539,0.395,0.3909,508.0254511833191,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,13,2.1913126543045043,2.191049274921417,0.39872,0.3983,510.2096688747406,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,14,2.1912265068769456,2.190861268043518,0.39294,0.3924,513.3149907588959,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,15,2.1911462327718736,2.1908608617782592,0.39814,0.397,508.3944089412689,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,16,2.19105064702034,2.1907591539621354,0.39822,0.395,518.6641557216644,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,17,2.1910189448356627,2.190619633793831,0.39528,0.4109,508.3465905189514,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,18,2.190968491148949,2.1906429390907287,0.39528,0.4025,513.1135635375977,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,19,2.1909090190410616,2.1907919783592225,0.39876,0.3869,505.9046411514282,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,20,2.1908652492046357,2.190440883040428,0.39442,0.4009,507.76975417137146,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,21,2.1908223428964613,2.190745207428932,0.3953,0.3956,511.5760066509247,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,22,2.190802847456932,2.190535381436348,0.3933,0.4025,506.15395164489746,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,23,2.190793248152733,2.1904709112644194,0.39456,0.3984,521.8262898921967,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,24,2.1907333201646804,2.1904678871631624,0.39404,0.4022,506.5238425731659,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,25,2.1907235312223436,2.1906728971004488,0.39586,0.3799,510.4296610355377,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,26,2.190700572180748,2.1904361267089842,0.3933,0.3958,504.63893699645996,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,27,2.1906678871631624,2.190545901417732,0.39634,0.3957,507.08223938941956,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,28,2.190651796078682,2.190749022960663,0.39808,0.3612,512.3785676956177,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,29,2.190631722164154,2.1903088381290434,0.38818,0.3961,508.1688907146454,2.188297748565674,0.3882
MNIST,VQC_amplitude_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,30,2.1905854238033293,2.1903586822748182,0.39012,0.4141,520.1803467273712,2.188297748565674,0.3882
