Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,1,2.076404976594448,2.0175191433429718,0.3949,0.42,518.3034720420837,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,2,1.982403825211525,1.963372219502926,0.46696,0.4653,526.0283389091492,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,3,1.9532983953475953,1.9506566007733346,0.4627,0.4653,521.9268009662628,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,4,1.9455725286364556,1.9461887168884278,0.46726,0.4635,526.160826921463,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,5,1.9419583949327468,1.9429983187913895,0.47218,0.4716,519.8362600803375,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,6,1.9395146864652633,1.9406943140029906,0.47792,0.4698,531.0366961956024,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,7,1.9373983969569206,1.9382506596446036,0.47856,0.4809,526.3314967155457,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,8,1.9338737013339997,1.9309471595287322,0.48138,0.4757,519.7698607444763,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,9,1.9155413765430451,1.9101906420588493,0.47872,0.4838,528.9174704551697,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,10,1.9061705891013145,1.906414359152317,0.49598,0.4947,522.5677454471588,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,11,1.9032976824164392,1.904187560379505,0.4998,0.4987,526.2521986961365,1.877379952430725,0.4755
MNIST,VQC_angle_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,0.01,5,50,6,12,1.901179690861702,1.902163862645626,0.49964,0.4982,519.181619644165,1.877379952430725,0.4755
