Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,1,1.7891903943955898,1.2769906110465528,0.48738,0.7197,493.8192753791809,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,2,1.0091815616458655,0.8422181548774242,0.78904,0.8148,494.79868626594543,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,3,0.750163242700696,0.693361359540373,0.82998,0.8304,497.7053029537201,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,4,0.6434902903787791,0.6258449337668717,0.84354,0.8376,499.44939041137695,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,5,0.5840714935600757,0.5735079295895994,0.85046,0.8478,499.80606055259705,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,6,0.5472333230894059,0.5510053752698004,0.85814,0.8524,498.0953917503357,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,7,0.5200759888090193,0.525903207756579,0.86448,0.8588,499.1125662326813,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,8,0.49990045891813933,0.5221684187091887,0.8694,0.8608,494.1466975212097,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,9,0.4831360722715035,0.5027436153497546,0.87202,0.8637,498.65654850006104,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,10,0.47027868276685475,0.4855163942500949,0.8761,0.8716,495.6821939945221,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,11,0.45829514539688826,0.4876958687957376,0.8794,0.8667,499.0456521511078,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,12,0.44912602839488536,0.48500081801228223,0.88084,0.8649,492.89136123657227,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,13,0.4399009916767478,0.4669480356313288,0.8834,0.873,494.27068185806274,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,14,0.4312935627786443,0.46196365874540063,0.88512,0.8706,503.8848578929901,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,15,0.42516437046863137,0.4572874354859814,0.88638,0.8758,494.1444854736328,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,16,0.41874910905305296,0.4459533584546298,0.88778,0.8799,498.9192039966583,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,17,0.4137172765262425,0.4606253740917891,0.88794,0.8708,493.8148419857025,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,18,0.40818154677767304,0.4475539004104212,0.88986,0.8761,500.75257754325867,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,19,0.4047902590836398,0.45275968918390574,0.89036,0.8709,493.2594196796417,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,20,0.39957944462103767,0.44146365696750584,0.89212,0.8775,493.69601106643677,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,21,0.39574385450705885,0.4355042820475064,0.89254,0.8778,583.6647233963013,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,22,0.39190814644396305,0.4376871715346351,0.89316,0.88,493.81145572662354,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,23,0.3884462046968751,0.4387169379424304,0.89344,0.8793,499.23032212257385,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,24,0.3860313887938857,0.45634483884368093,0.89376,0.8735,494.59861421585083,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,25,0.3833967060449533,0.4369945289297029,0.8944,0.8781,496.33356738090515,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,26,0.380153709955886,0.4348463311605155,0.89594,0.8779,493.9435384273529,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,27,0.3781259167172946,0.4205638695308007,0.89566,0.8845,493.75745916366577,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,28,0.3745448465285823,0.42406067620171234,0.89698,0.8815,506.04660725593567,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,29,0.37199551423136146,0.42288357052300124,0.89906,0.8821,493.33196783065796,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,30,0.36961372975902634,0.4208908583275042,0.8981,0.8815,499.03512740135193,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,31,0.36788653490012513,0.42413744699303063,0.89924,0.8822,492.89826107025146,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,32,0.3668223182355054,0.42311068580113353,0.89808,0.8807,496.2377665042877,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,33,0.3646268292751163,0.4223251623231918,0.89958,0.8802,498.99339747428894,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,34,0.36294743690155445,0.41900604804046454,0.90044,0.8832,494.26586723327637,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,35,0.3603382557689212,0.41849413499515503,0.90068,0.8819,498.83011054992676,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,36,0.35932291542710737,0.41676913053961473,0.90012,0.8832,493.21126675605774,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,37,0.35778511278354563,0.4198624093076214,0.902,0.8799,493.38171219825745,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,38,0.3560257132705301,0.4348908114542719,0.90168,0.8764,498.7138566970825,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,39,0.3536284510766156,0.41791523404372855,0.90254,0.8814,495.9849634170532,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,40,0.3523528157873545,0.4111523288502358,0.90172,0.8833,498.8737063407898,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,41,0.3522749610830098,0.41676018450362606,0.90208,0.8838,493.6286840438843,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,42,0.35014668680494654,0.4095117669752799,0.9024,0.8835,498.6619369983673,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,43,0.34976524282470345,0.4117994342087768,0.90198,0.8837,498.54428362846375,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,44,0.3474193758409005,0.42572589535964656,0.90366,0.8822,493.87714648246765,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,45,0.3465975526672788,0.4108785989023745,0.90332,0.8844,499.3610589504242,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,46,0.34451899625384247,0.4129632602776401,0.9045,0.8826,493.79556155204773,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,47,0.34330063152434304,0.415311692412477,0.90444,0.8837,499.26735949516296,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,48,0.34250658339057116,0.4143254346570466,0.9053,0.883,493.5473880767822,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,49,0.34179565574466253,0.42096202811365946,0.9052,0.8786,494.62989568710327,0.3845528436549939,0.8974
MNIST,dressed_classical_list,7,0.001,64,500,Sigmoid(),Sigmoid(),7,Sigmoid(),0.01,5,50,6,50,0.3412495352869853,0.4077615126199089,0.90464,0.8874,506.97918343544006,0.3845528436549939,0.8974
