Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,1,0.31251871042167767,0.3892032224701252,0.9121,0.8934,534.366446018219,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,2,0.3103487273277948,0.389894599490799,0.91208,0.8926,536.3513264656067,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,3,0.30960412050974556,0.40213488639029676,0.91184,0.8872,539.5539517402649,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,4,0.3095441968449624,0.39633781083696523,0.91232,0.8902,534.0800864696503,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,5,0.3098866872393526,0.39760304779116995,0.91252,0.8884,544.5709023475647,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,6,0.31010594758260995,0.3891602708408609,0.91228,0.8961,538.0919153690338,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,7,0.3092032517414773,0.3836853271096479,0.91254,0.8951,538.7200343608856,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,8,0.3105201918883715,0.39090725770499557,0.91282,0.8947,534.1485371589661,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,9,0.30942456765344833,0.3912627156074159,0.91188,0.8907,540.7747831344604,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,10,0.3111573943801457,0.3903953581128735,0.9121,0.8939,533.3917305469513,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,11,0.3095503419935936,0.3894943433110602,0.91204,0.8908,534.6996397972107,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,12,0.3092808143468341,0.38517495547328146,0.91258,0.8939,551.0721287727356,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,13,0.3098739901884459,0.40656485167727807,0.9127,0.8892,534.4399881362915,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,14,0.3103905747086741,0.38884829498303586,0.91222,0.8955,540.2249915599823,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,15,0.3105445341714192,0.3898374217143282,0.91258,0.8927,536.0093405246735,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,16,0.30930525486338883,0.3814214698052965,0.91306,0.8954,538.7341275215149,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,17,0.3107806487930007,0.38908285625535066,0.91146,0.8937,533.2375304698944,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,18,0.3097936020172201,0.3933877651466755,0.91216,0.8927,538.4557752609253,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,19,0.31055062899068,0.3929018343337812,0.9126,0.8947,537.9621970653534,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,20,0.3102187450939324,0.39539760087127795,0.91276,0.8941,534.6483471393585,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,21,0.3100175233442802,0.38940623388625684,0.9121,0.891,538.8397629261017,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,22,0.31021410460025073,0.3975145833462011,0.91248,0.8938,541.574826002121,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,23,0.3098772098032292,0.399844857982127,0.9123,0.8905,539.350056886673,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,24,0.3100528330482077,0.39450333378161306,0.91206,0.8923,534.1899747848511,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,25,0.31000622508928644,0.39131084630219265,0.91242,0.8921,551.080249786377,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,26,0.30962770659248345,0.40205474163382315,0.91312,0.8895,533.3568863868713,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,27,0.309182024704013,0.37709135630819945,0.9123,0.897,540.1389961242676,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,28,0.31042491892899854,0.39305351561680435,0.91216,0.8896,533.2431902885437,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,29,0.30918272445185574,0.4738723012441769,0.91218,0.8747,535.7599556446075,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,30,0.3104429249863606,0.38381117678200827,0.91154,0.8919,533.6198890209198,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,31,0.3100789305201266,0.3864317860445008,0.91172,0.8948,535.1479759216309,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,32,0.30949394688326864,0.38994174147350713,0.912,0.8919,545.0170812606812,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,33,0.30995350592478643,0.38835773401311596,0.91212,0.8905,534.5476930141449,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,34,0.3097615063287318,0.38593022673390803,0.9124,0.894,539.5893766880035,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,35,0.30967755133495667,0.38747498839348554,0.9109,0.8973,534.2617008686066,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,36,0.30967933708210477,0.3855582627302501,0.91308,0.8947,539.3621914386749,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,37,0.3094521823929623,0.4033097833551001,0.91264,0.8903,533.6512079238892,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,38,0.3108173881217837,0.3847207358889282,0.91258,0.8929,533.8913247585297,0.3852359577007592,0.8942
MNIST,dressed_quantum_list,9,0.001,64,500,Sigmoid(),Sigmoid(),9,Sigmoid(),0.01,5,50,6,39,0.31009214322818446,0.39218306048284285,0.9122,0.8885,540.63476729393,0.3852359577007592,0.8942
