Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,1,2.194688192641735,2.0566998695135115,0.27958,0.4507,4.441722393035889,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,2,1.8917722166419029,1.7198091327548026,0.53754,0.5998,4.482304573059082,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,3,1.5573681221842766,1.4031907828748227,0.65452,0.6997,4.500219345092773,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,4,1.27892025411129,1.1633531050682069,0.72534,0.7689,4.474208116531372,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,5,1.0757423744529486,0.9920184241384268,0.78128,0.8077,4.472040891647339,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,6,0.9306512632191181,0.8694933191090822,0.81626,0.8311,4.480464220046997,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,7,0.8250959329709411,0.7792755474448204,0.83552,0.8485,4.479567527770996,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,8,0.7460853349208831,0.7113594797849655,0.84772,0.8545,4.479707717895508,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,9,0.6853473130524158,0.6580638819783926,0.85624,0.8608,4.4681761264801025,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,10,0.6373895992219448,0.6158632103055716,0.86168,0.8653,4.46253228187561,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,11,0.5988594448663295,0.5809875443205237,0.86606,0.8706,4.4680564403533936,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,12,0.56722945792526,0.5531023685559631,0.8704,0.8743,4.465823173522949,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,13,0.5407493717551232,0.5289825518876314,0.87436,0.8775,4.433645009994507,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,14,0.5184350189693272,0.5085671517401934,0.8769,0.88,4.437576770782471,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,15,0.4992156980358064,0.49124685730040074,0.87972,0.8814,4.52415657043457,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,16,0.48253037004731597,0.47591889115050434,0.88194,0.8838,4.515989780426025,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,17,0.4679688237503171,0.46230930839665235,0.88384,0.8837,4.529964447021484,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,18,0.455083409640193,0.4506435877215117,0.88562,0.8852,4.448349237442017,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,19,0.44359800765067336,0.4403848926369101,0.888,0.8868,4.441039800643921,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,20,0.4332539690192789,0.4304010837711394,0.88952,0.888,4.4975738525390625,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,21,0.4239266323797405,0.42184849889576437,0.89086,0.8887,4.456990003585815,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,22,0.41544752511531113,0.41371921383589505,0.89248,0.8913,4.44351053237915,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,23,0.407651268998906,0.40632687869668005,0.89366,0.892,4.494136810302734,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,24,0.40055442991480233,0.39959548760950564,0.89496,0.8924,4.467289209365845,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,25,0.3939817814271897,0.3934038743376732,0.89582,0.8941,4.469777822494507,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,26,0.387851023395732,0.3880613885894418,0.89716,0.8958,4.4633262157440186,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,27,0.3822640362387523,0.3824768983554095,0.89884,0.8957,4.46079683303833,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,28,0.37699741199258713,0.3776117726191878,0.89988,0.8979,4.443950653076172,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,29,0.37202798179555685,0.3731037240540609,0.9004,0.8986,4.466237783432007,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,30,0.3674768287025392,0.3684858852494508,0.90168,0.8991,4.484074831008911,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,31,0.3631049707369879,0.3646794475130737,0.90244,0.8999,4.472203254699707,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,32,0.35903371124491096,0.3608081303285435,0.9031,0.9013,4.470346450805664,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,33,0.3551757933449,0.3569625633917749,0.90446,0.9016,4.4836976528167725,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,34,0.3515044633734971,0.3537950663436204,0.9047,0.9017,4.466199159622192,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,35,0.348079926879704,0.3502967369267717,0.90534,0.9032,4.4992356300354,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,36,0.34479988086521624,0.34735661373566834,0.90598,0.9032,4.443176507949829,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,37,0.3416288157232106,0.34452615212928506,0.9068,0.9046,4.461363077163696,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,38,0.33864071386698635,0.341957832778804,0.90762,0.9056,4.450544357299805,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,39,0.3358419279323891,0.33895108456537126,0.90838,0.9055,4.508728981018066,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,40,0.3331146371629089,0.3364810924036428,0.90862,0.9054,4.509024143218994,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,41,0.33059201042465863,0.3338391601564363,0.90926,0.906,4.488091707229614,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,42,0.32805546143054964,0.33170548306405545,0.91076,0.9066,4.532262325286865,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,43,0.32569588317181913,0.3293206514539197,0.91064,0.9073,4.46806526184082,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,44,0.3233660606076941,0.3273536206912249,0.91124,0.9079,4.443802833557129,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,45,0.32121481303460897,0.32513281684648243,0.91204,0.9085,4.440639495849609,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,46,0.3190681391421705,0.3232722856355831,0.91234,0.9087,4.447376489639282,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,47,0.31696147509925066,0.321476130832918,0.9134,0.9099,4.478586912155151,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,48,0.315053612052463,0.31931504592485727,0.91336,0.9092,4.454219102859497,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,49,0.3131543043289334,0.3180684269219637,0.91374,0.9093,4.443525791168213,0.30970080982893705,0.9116
MNIST,sequent_classical_list,5,0.001,64,500,Sigmoid(),Sigmoid(),5,Sigmoid(),0.001,5,50,6,50,0.3112800107452087,0.31579607081227007,0.91474,0.9105,4.4399449825286865,0.30970080982893705,0.9116
