Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,PREPROCESSING_ACTIVATION_FN,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,1,2.184820111811161,2.1113420025110243,0.26194,0.302,533.4520761966705,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,2,2.077820653939247,2.0522757732868193,0.32506,0.3423,523.6001040935516,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,3,2.0452967584967614,2.0357123361825944,0.35156,0.3611,528.367023229599,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,4,2.0320287074446677,2.0246529497504233,0.36276,0.369,525.6619503498077,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,5,2.021754706001282,2.0156609545946123,0.36602,0.3697,524.1074891090393,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,6,2.0129412743210793,2.007659790456295,0.36444,0.3663,528.7492189407349,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,7,2.0047642129421233,1.9999069177508355,0.35974,0.3636,523.4836843013763,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,8,1.9971152326464654,1.9927940561771393,0.35892,0.3618,534.0141961574554,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,9,1.9908646138072015,1.9872617671489716,0.36268,0.3683,523.947092294693,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,10,1.986228018951416,1.9828624331355096,0.37654,0.394,528.3244082927704,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,11,1.9825491727232933,1.9792686551213265,0.39094,0.3903,524.8900213241577,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,12,1.9793890509486198,1.9759912267327309,0.38632,0.3905,523.6157977581024,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,13,1.9765737256765366,1.972923229575157,0.3768,0.3828,523.7504851818085,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,14,1.9739104525089264,1.9700875959396362,0.37278,0.3833,523.9884705543518,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,15,1.9714725855469704,1.9675643686652184,0.3739,0.3796,542.4934406280518,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,16,1.969171949827671,1.9651388506889342,0.37404,0.3854,523.7356097698212,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,17,1.967065404856205,1.9629298498630523,0.3748,0.3865,532.9546635150909,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,18,1.9650288065075874,1.960686840891838,0.3756,0.3894,525.1699314117432,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,19,1.963080677974224,1.958593906223774,0.37818,0.3911,530.3613512516022,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,20,1.9611974803447723,1.9566453766822816,0.38308,0.393,522.8917531967163,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,21,1.9594417884230613,1.9548716483712196,0.38734,0.3984,523.9151623249054,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,22,1.9578743325829506,1.9533470873236656,0.39234,0.4008,536.6538412570953,1.939480565726757,0.4577
MNIST,sequent_quantum_list,8,0.001,64,500,Sigmoid(),Sigmoid(),8,Sigmoid(),0.001,5,50,6,23,1.956520240855217,1.9519462043642997,0.39452,0.4066,524.0116944313049,1.939480565726757,0.4577
